ENLIGHTEN Version,4.1.44
Measurement ID,20260406-121131-730977-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_11_31 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 12:11:30.256206
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,6.1
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,137.18
1,303.00,146.31
2,304.00,141.93
3,305.00,171.33
4,306.00,156.49
5,307.00,184.76
6,308.00,194.20
7,309.00,217.60
8,310.00,211.58
9,311.00,233.65
10,312.00,237.37
11,313.00,253.84
12,314.00,249.61
13,315.00,266.31
14,316.00,277.45
15,317.00,287.99
16,318.00,314.74
17,319.00,349.62
18,320.00,388.86
19,321.00,437.92
20,322.00,492.34
21,323.00,554.84
22,324.00,601.47
23,325.00,661.87
24,326.00,753.64
25,327.00,821.18
26,328.00,877.80
27,329.00,977.56
28,330.00,1054.44
29,331.00,1172.60
30,332.00,1289.15
31,333.00,1443.99
32,334.00,1605.81
33,335.00,1786.01
34,336.00,2003.50
35,337.00,2239.01
36,338.00,2496.65
37,339.00,2785.84
38,340.00,3077.31
39,341.00,3436.29
40,342.00,3790.89
41,343.00,4230.77
42,344.00,4700.29
43,345.00,5181.13
44,346.00,5700.73
45,347.00,6216.88
46,348.00,6705.01
47,349.00,7180.01
48,350.00,7545.29
49,351.00,7898.08
50,352.00,8144.99
51,353.00,8281.80
52,354.00,8372.75
53,355.00,8347.68
54,356.00,8187.90
55,357.00,7975.31
56,358.00,7645.79
57,359.00,7279.81
58,360.00,6850.52
59,361.00,6411.80
60,362.00,5983.62
61,363.00,5571.81
62,364.00,5115.16
63,365.00,4767.42
64,366.00,4363.54
65,367.00,4086.96
66,368.00,3786.45
67,369.00,3556.41
68,370.00,3315.49
69,371.00,3139.28
70,372.00,3008.78
71,373.00,2841.20
72,374.00,2736.14
73,375.00,2633.01
74,376.00,2609.28
75,377.00,2564.32
76,378.00,2644.03
77,379.00,2688.24
78,380.00,2882.38
79,381.00,3031.38
80,382.00,3279.06
81,383.00,3577.94
82,384.00,4005.75
83,385.00,4428.22
84,386.00,5080.76
85,387.00,5779.52
86,388.00,6746.21
87,389.00,7894.76
88,390.00,9368.82
89,391.00,11263.04
90,392.00,13531.12
91,393.00,16093.89
92,394.00,18937.76
93,395.00,21528.80
94,396.00,23749.12
95,397.00,24961.82
96,398.00,24544.64
97,399.00,23281.44
98,400.00,20455.58
99,401.00,17335.59
100,402.00,14060.45
101,403.00,11101.02
102,404.00,8696.35
103,405.00,6857.66
104,406.00,5457.94
105,407.00,4533.66
106,408.00,3827.24
107,409.00,3333.18
108,410.00,3020.30
109,411.00,2720.97
110,412.00,2514.29
111,413.00,2331.19
112,414.00,2172.03
113,415.00,2030.62
114,416.00,1852.24
115,417.00,1693.10
116,418.00,1561.38
117,419.00,1415.85
118,420.00,1256.39
119,421.00,1144.72
120,422.00,1010.94
121,423.00,917.72
122,424.00,856.24
123,425.00,797.04
124,426.00,783.16
125,427.00,746.64
126,428.00,775.69
127,429.00,782.61
128,430.00,851.90
129,431.00,873.92
130,432.00,896.68
131,433.00,945.52
132,434.00,1006.51
133,435.00,1059.30
134,436.00,1172.11
135,437.00,1257.18
136,438.00,1418.90
137,439.00,1593.00
138,440.00,1825.54
139,441.00,2102.25
140,442.00,2452.14
141,443.00,2853.66
142,444.00,3280.07
143,445.00,3742.27
144,446.00,4225.74
145,447.00,4687.71
146,448.00,5121.66
147,449.00,5462.42
148,450.00,5771.14
149,451.00,5960.98
150,452.00,6041.92
151,453.00,6035.94
152,454.00,5874.73
153,455.00,5625.92
154,456.00,5259.29
155,457.00,4871.26
156,458.00,4395.77
157,459.00,3983.37
158,460.00,3568.43
159,461.00,3240.21
160,462.00,2924.02
161,463.00,2689.83
162,464.00,2509.51
163,465.00,2390.80
164,466.00,2315.82
165,467.00,2253.86
166,468.00,2271.65
167,469.00,2289.05
168,470.00,2380.62
169,471.00,2441.62
170,472.00,2584.94
171,473.00,2689.98
172,474.00,2847.55
173,475.00,2990.23
174,476.00,3170.90
175,477.00,3383.24
176,478.00,3632.52
177,479.00,3917.62
178,480.00,4300.74
179,481.00,4707.32
180,482.00,5227.00
181,483.00,5721.28
182,484.00,6252.42
183,485.00,6673.28
184,486.00,6970.79
185,487.00,7103.38
186,488.00,6988.10
187,489.00,6716.76
188,490.00,6282.44
189,491.00,5755.44
190,492.00,5204.57
191,493.00,4694.86
192,494.00,4207.01
193,495.00,3836.90
194,496.00,3506.47
195,497.00,3298.55
196,498.00,3144.14
197,499.00,3066.23
198,500.00,3007.10
199,501.00,3017.12
200,502.00,3003.77
201,503.00,3049.02
202,504.00,3075.63
203,505.00,3176.44
204,506.00,3301.63
205,507.00,3536.27
206,508.00,3842.11
207,509.00,4283.35
208,510.00,4815.82
209,511.00,5482.49
210,512.00,6151.46
211,513.00,6758.48
212,514.00,7241.78
213,515.00,7384.79
214,516.00,7250.66
215,517.00,6791.20
216,518.00,6051.06
217,519.00,5241.29
218,520.00,4394.57
219,521.00,3646.59
220,522.00,2982.64
221,523.00,2474.75
222,524.00,2017.59
223,525.00,1734.46
224,526.00,1483.38
225,527.00,1292.83
226,528.00,1150.65
227,529.00,1028.86
228,530.00,938.48
229,531.00,853.94
230,532.00,751.81
231,533.00,670.74
232,534.00,588.75
233,535.00,499.80
234,536.00,435.77
235,537.00,357.63
236,538.00,327.38
237,539.00,269.77
238,540.00,246.57
239,541.00,212.69
240,542.00,192.21
241,543.00,174.43
242,544.00,147.90
243,545.00,136.11
244,546.00,124.23
245,547.00,119.22
246,548.00,116.91
247,549.00,109.56
248,550.00,115.83
249,551.00,118.10
250,552.00,120.34
251,553.00,119.30
252,554.00,121.33
253,555.00,125.31
254,556.00,130.26
255,557.00,129.74
256,558.00,121.11
257,559.00,126.20
258,560.00,119.98
259,561.00,124.41
260,562.00,113.59
261,563.00,121.81
262,564.00,116.92
263,565.00,121.51
264,566.00,117.15
265,567.00,124.26
266,568.00,124.74
267,569.00,134.16
268,570.00,130.35
269,571.00,139.53
270,572.00,142.26
271,573.00,145.53
272,574.00,143.27
273,575.00,147.32
274,576.00,139.38
275,577.00,137.89
276,578.00,132.58
277,579.00,130.21
278,580.00,130.59
279,581.00,132.77
280,582.00,132.51
281,583.00,134.22
282,584.00,139.10
283,585.00,141.95
284,586.00,144.00
285,587.00,148.04
286,588.00,137.13
287,589.00,137.64
288,590.00,134.50
289,591.00,133.98
290,592.00,130.83
291,593.00,133.49
292,594.00,131.27
293,595.00,129.90
294,596.00,128.18
295,597.00,131.63
296,598.00,135.20
297,599.00,136.53
298,600.00,132.63
299,601.00,131.33
300,602.00,134.64
301,603.00,128.78
302,604.00,128.63
303,605.00,129.73
304,606.00,134.85
305,607.00,134.26
306,608.00,136.36
307,609.00,145.55
308,610.00,156.38
309,611.00,162.54
310,612.00,163.74
311,613.00,168.30
312,614.00,176.11
313,615.00,173.99
314,616.00,173.25
315,617.00,172.36
316,618.00,181.73
317,619.00,186.32
318,620.00,208.26
319,621.00,205.17
320,622.00,214.97
321,623.00,206.95
