ENLIGHTEN Version,4.1.44
Measurement ID,20260406-120803-522351-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_08_03 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,1163
Timestamp,2026-04-06 12:08:01.223788
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,706.69
1,303.00,732.78
2,304.00,717.30
3,305.00,762.24
4,306.00,869.00
5,307.00,949.72
6,308.00,1144.56
7,309.00,1381.97
8,310.00,1654.64
9,311.00,1955.10
10,312.00,2258.76
11,313.00,2508.32
12,314.00,2706.80
13,315.00,2751.33
14,316.00,2797.93
15,317.00,2670.81
16,318.00,2530.34
17,319.00,2277.82
18,320.00,2127.44
19,321.00,1978.31
20,322.00,1823.65
21,323.00,1670.49
22,324.00,1514.65
23,325.00,1437.12
24,326.00,1291.50
25,327.00,1192.09
26,328.00,1021.24
27,329.00,908.09
28,330.00,861.02
29,331.00,801.05
30,332.00,758.42
31,333.00,723.59
32,334.00,720.79
33,335.00,700.09
34,336.00,724.75
35,337.00,746.44
36,338.00,812.88
37,339.00,820.97
38,340.00,945.29
39,341.00,977.80
40,342.00,1013.66
41,343.00,1004.86
42,344.00,1058.31
43,345.00,1025.25
44,346.00,1003.27
45,347.00,971.75
46,348.00,968.59
47,349.00,970.97
48,350.00,965.47
49,351.00,990.32
50,352.00,1038.26
51,353.00,1136.63
52,354.00,1236.39
53,355.00,1388.71
54,356.00,1480.36
55,357.00,1670.30
56,358.00,1819.91
57,359.00,1983.89
58,360.00,2018.75
59,361.00,2077.59
60,362.00,2028.69
61,363.00,1937.85
62,364.00,1713.38
63,365.00,1550.93
64,366.00,1329.02
65,367.00,1104.15
66,368.00,945.82
