ENLIGHTEN Version,4.1.44
Measurement ID,20260406-120655-403663-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_06_55 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 12:06:53.480178
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,6.8
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,905.11
1,303.00,981.79
2,304.00,1083.43
3,305.00,1202.55
4,306.00,1340.56
5,307.00,1495.52
6,308.00,1714.71
7,309.00,1899.66
8,310.00,2151.31
9,311.00,2339.96
10,312.00,2633.67
11,313.00,2889.47
12,314.00,3133.63
13,315.00,3357.60
14,316.00,3560.19
15,317.00,3841.94
16,318.00,4042.54
17,319.00,4312.18
18,320.00,4705.74
19,321.00,5114.36
20,322.00,5452.89
21,323.00,5812.80
22,324.00,6095.92
23,325.00,6373.56
24,326.00,6557.65
25,327.00,6710.16
26,328.00,6771.19
27,329.00,6822.64
28,330.00,6810.34
29,331.00,6754.94
30,332.00,6723.64
31,333.00,6640.31
32,334.00,6548.51
33,335.00,6425.44
34,336.00,6382.88
35,337.00,6212.57
36,338.00,6093.92
37,339.00,5912.35
38,340.00,5712.28
39,341.00,5491.91
40,342.00,5287.52
41,343.00,5132.94
42,344.00,4985.80
43,345.00,4912.84
44,346.00,4849.23
45,347.00,4870.95
46,348.00,5032.36
47,349.00,5200.28
48,350.00,5413.49
49,351.00,5644.22
50,352.00,5981.24
51,353.00,6309.17
52,354.00,6687.79
53,355.00,7070.93
54,356.00,7575.56
55,357.00,8058.49
56,358.00,8644.78
57,359.00,9296.76
58,360.00,10114.42
59,361.00,11059.88
60,362.00,12031.16
61,363.00,13059.11
62,364.00,13965.60
63,365.00,14561.55
64,366.00,14869.39
65,367.00,14467.69
66,368.00,13675.66
67,369.00,12420.11
68,370.00,10952.19
69,371.00,9389.65
70,372.00,7903.47
71,373.00,6576.70
72,374.00,5539.37
73,375.00,4637.95
74,376.00,3955.44
75,377.00,3447.36
76,378.00,3077.72
77,379.00,2794.97
78,380.00,2581.29
79,381.00,2391.42
80,382.00,2273.05
81,383.00,2179.62
82,384.00,2099.61
83,385.00,2045.68
84,386.00,2099.56
85,387.00,2130.31
86,388.00,2244.06
87,389.00,2389.02
88,390.00,2632.67
89,391.00,2983.26
90,392.00,3438.51
91,393.00,4015.50
92,394.00,4777.41
93,395.00,5662.37
94,396.00,6675.30
95,397.00,7712.56
96,398.00,8685.26
97,399.00,9652.39
98,400.00,10191.80
99,401.00,10429.52
100,402.00,10263.75
101,403.00,9664.93
102,404.00,8789.18
103,405.00,7742.24
104,406.00,6662.32
105,407.00,5669.25
106,408.00,4779.71
107,409.00,4089.90
108,410.00,3509.92
109,411.00,3117.72
110,412.00,2797.64
111,413.00,2615.83
112,414.00,2499.64
113,415.00,2458.94
114,416.00,2417.39
115,417.00,2417.93
116,418.00,2474.24
117,419.00,2509.53
118,420.00,2563.80
119,421.00,2626.91
120,422.00,2695.70
121,423.00,2772.51
122,424.00,2904.39
123,425.00,3040.41
124,426.00,3272.39
125,427.00,3542.05
126,428.00,3921.48
127,429.00,4346.07
128,430.00,4820.44
129,431.00,5368.59
130,432.00,5835.41
131,433.00,6287.93
132,434.00,6565.82
133,435.00,6777.76
134,436.00,6763.31
135,437.00,6649.82
136,438.00,6406.84
137,439.00,6066.75
138,440.00,5626.01
139,441.00,5155.55
140,442.00,4575.32
141,443.00,3997.87
142,444.00,3413.32
143,445.00,2840.20
144,446.00,2325.89
145,447.00,1878.05
146,448.00,1466.31
147,449.00,1159.79
148,450.00,906.58
149,451.00,710.30
150,452.00,569.37
151,453.00,464.68
152,454.00,375.97
153,455.00,321.82
154,456.00,282.29
155,457.00,259.90
156,458.00,237.08
157,459.00,220.76
158,460.00,228.90
159,461.00,205.54
160,462.00,222.52
161,463.00,215.36
162,464.00,229.78
163,465.00,245.17
164,466.00,278.95
165,467.00,289.57
166,468.00,328.65
167,469.00,364.92
168,470.00,411.47
169,471.00,444.26
170,472.00,466.43
