ENLIGHTEN Version,4.1.44
Measurement ID,20260406-120730-890569-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_07_30 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,1910
Timestamp,2026-04-06 12:07:29.447098
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,158.25
1,303.00,161.13
2,304.00,147.82
3,305.00,148.61
4,306.00,137.44
5,307.00,134.17
6,308.00,130.07
7,309.00,132.61
8,310.00,123.70
9,311.00,122.54
10,312.00,130.35
11,313.00,143.60
12,314.00,138.90
13,315.00,160.39
14,316.00,162.05
15,317.00,172.02
16,318.00,172.83
17,319.00,185.14
18,320.00,158.64
19,321.00,157.35
20,322.00,142.45
21,323.00,147.06
22,324.00,132.52
23,325.00,137.83
24,326.00,146.67
25,327.00,161.80
26,328.00,234.67
27,329.00,258.39
28,330.00,289.96
29,331.00,296.52
30,332.00,306.86
31,333.00,306.90
32,334.00,318.54
33,335.00,311.56
34,336.00,253.86
35,337.00,229.77
36,338.00,242.21
37,339.00,256.50
38,340.00,256.13
39,341.00,272.91
40,342.00,300.49
41,343.00,335.39
42,344.00,351.20
43,345.00,365.61
44,346.00,389.58
45,347.00,402.85
46,348.00,425.26
47,349.00,417.83
48,350.00,422.88
49,351.00,416.45
50,352.00,390.63
51,353.00,373.57
52,354.00,402.30
53,355.00,412.05
54,356.00,448.82
55,357.00,476.39
56,358.00,519.11
57,359.00,573.47
58,360.00,684.91
59,361.00,757.20
60,362.00,845.69
61,363.00,906.68
62,364.00,1010.27
63,365.00,1079.33
64,366.00,1126.31
65,367.00,1180.33
66,368.00,1263.06
67,369.00,1353.62
68,370.00,1431.85
69,371.00,1540.77
70,372.00,1671.19
71,373.00,1815.41
72,374.00,1974.29
73,375.00,2166.87
74,376.00,2404.80
75,377.00,2650.75
76,378.00,2872.67
77,379.00,3122.75
78,380.00,3319.20
79,381.00,3517.92
80,382.00,3641.07
81,383.00,3761.27
82,384.00,3802.47
83,385.00,3832.80
84,386.00,3757.81
85,387.00,3718.87
86,388.00,3640.19
87,389.00,3553.67
88,390.00,3435.15
89,391.00,3314.29
90,392.00,3136.12
91,393.00,3038.31
92,394.00,2848.32
93,395.00,2739.12
94,396.00,2639.60
95,397.00,2550.66
96,398.00,2463.52
97,399.00,2377.11
98,400.00,2340.07
99,401.00,2267.96
100,402.00,2211.73
