ENLIGHTEN Version,4.1.44
Measurement ID,20260406-120113-374553-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_01_13 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,1799
Timestamp,2026-04-06 12:01:11.117253
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,108.16
1,303.00,102.69
2,304.00,95.56
3,305.00,95.48
4,306.00,95.95
5,307.00,99.42
6,308.00,96.10
7,309.00,96.95
8,310.00,98.77
9,311.00,94.72
10,312.00,92.03
11,313.00,83.04
12,314.00,82.77
13,315.00,78.96
14,316.00,78.77
15,317.00,80.20
16,318.00,85.95
17,319.00,95.25
18,320.00,107.25
19,321.00,112.86
20,322.00,127.84
21,323.00,143.19
22,324.00,154.67
23,325.00,171.85
24,326.00,170.67
25,327.00,184.74
26,328.00,203.55
27,329.00,220.80
28,330.00,228.71
29,331.00,244.38
30,332.00,276.76
31,333.00,301.89
32,334.00,332.35
33,335.00,368.86
34,336.00,419.68
35,337.00,475.05
36,338.00,509.64
37,339.00,558.32
38,340.00,603.67
39,341.00,672.01
40,342.00,720.56
41,343.00,784.72
42,344.00,835.34
43,345.00,918.84
44,346.00,1004.12
45,347.00,1147.79
46,348.00,1266.10
47,349.00,1453.78
48,350.00,1675.75
49,351.00,1964.52
50,352.00,2273.51
51,353.00,2654.06
52,354.00,3073.25
53,355.00,3474.18
54,356.00,3774.52
55,357.00,4074.00
56,358.00,4169.42
57,359.00,4165.74
58,360.00,3995.76
59,361.00,3741.62
60,362.00,3381.25
61,363.00,3036.68
62,364.00,2659.80
63,365.00,2355.57
64,366.00,2064.32
65,367.00,1837.67
66,368.00,1630.63
67,369.00,1475.62
68,370.00,1324.09
69,371.00,1228.34
70,372.00,1156.23
71,373.00,1080.05
72,374.00,1012.48
73,375.00,950.09
74,376.00,856.22
75,377.00,774.73
76,378.00,687.04
77,379.00,622.89
78,380.00,565.88
79,381.00,489.25
80,382.00,432.56
81,383.00,381.17
82,384.00,374.66
83,385.00,329.90
84,386.00,293.71
85,387.00,252.23
86,388.00,236.99
87,389.00,193.18
88,390.00,173.82
89,391.00,133.48
90,392.00,125.45
91,393.00,111.23
92,394.00,111.70
93,395.00,90.67
94,396.00,94.19
95,397.00,71.11
96,398.00,88.27
97,399.00,62.68
98,400.00,78.93
99,401.00,64.84
100,402.00,84.08
101,403.00,67.14
102,404.00,95.82
103,405.00,103.31
104,406.00,127.98
105,407.00,137.09
106,408.00,179.46
107,409.00,207.95
108,410.00,256.29
109,411.00,310.44
110,412.00,405.55
111,413.00,510.20
112,414.00,656.46
113,415.00,821.69
114,416.00,1056.30
115,417.00,1339.32
116,418.00,1626.21
117,419.00,1912.85
118,420.00,2169.68
119,421.00,2412.76
120,422.00,2525.96
121,423.00,2594.43
122,424.00,2529.95
123,425.00,2442.37
124,426.00,2233.05
125,427.00,2040.82
126,428.00,1785.13
127,429.00,1582.23
128,430.00,1395.20
129,431.00,1212.18
130,432.00,1125.04
131,433.00,1007.52
132,434.00,897.67
133,435.00,809.37
134,436.00,723.86
135,437.00,663.06
136,438.00,595.03
137,439.00,544.74
138,440.00,546.05
139,441.00,503.37
140,442.00,504.03
141,443.00,474.98
142,444.00,486.83
143,445.00,465.50
144,446.00,453.71
145,447.00,431.65
146,448.00,436.38
147,449.00,430.98
148,450.00,417.70
149,451.00,420.84
150,452.00,425.87
151,453.00,448.85
152,454.00,476.45
153,455.00,505.54
154,456.00,558.18
155,457.00,601.49
156,458.00,640.66
157,459.00,677.43
158,460.00,704.81
159,461.00,774.58
160,462.00,805.05
161,463.00,874.86
162,464.00,919.33
163,465.00,998.94
164,466.00,1121.47
165,467.00,1250.29
166,468.00,1396.06
167,469.00,1559.50
168,470.00,1724.29
169,471.00,1925.46
170,472.00,2076.17
171,473.00,2319.12
172,474.00,2458.56
173,475.00,2619.25
174,476.00,2746.36
175,477.00,2968.35
176,478.00,3184.95
177,479.00,3520.64
178,480.00,3877.88
179,481.00,4364.74
180,482.00,4923.71
181,483.00,5641.69
182,484.00,6427.21
183,485.00,7328.29
