ENLIGHTEN Version,4.1.44
Measurement ID,20260406-111726-676166-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_17_26 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:17:24.971688
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,8.1
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,846.49
1,303.00,894.00
2,304.00,1030.20
3,305.00,1136.29
4,306.00,1212.18
5,307.00,1285.13
6,308.00,1361.57
7,309.00,1392.73
8,310.00,1398.33
9,311.00,1374.30
10,312.00,1399.26
11,313.00,1376.15
12,314.00,1377.32
13,315.00,1379.48
14,316.00,1411.73
15,317.00,1468.76
16,318.00,1524.78
17,319.00,1610.92
18,320.00,1742.55
19,321.00,1861.66
20,322.00,1882.82
21,323.00,1898.10
22,324.00,1853.08
23,325.00,1803.25
24,326.00,1663.97
25,327.00,1500.49
26,328.00,1368.12
27,329.00,1197.73
28,330.00,1020.11
29,331.00,868.01
30,332.00,771.12
31,333.00,659.17
32,334.00,570.33
33,335.00,497.34
34,336.00,423.61
35,337.00,359.27
36,338.00,338.35
37,339.00,304.82
38,340.00,334.29
39,341.00,338.51
40,342.00,391.13
41,343.00,466.58
42,344.00,622.99
43,345.00,793.63
44,346.00,1013.31
45,347.00,1277.04
46,348.00,1576.75
47,349.00,1874.54
48,350.00,2195.74
49,351.00,2492.03
50,352.00,2768.73
51,353.00,2940.09
52,354.00,3060.90
53,355.00,3064.78
54,356.00,3071.07
55,357.00,2994.82
56,358.00,2851.36
57,359.00,2721.69
58,360.00,2544.86
59,361.00,2455.13
60,362.00,2328.73
61,363.00,2279.49
62,364.00,2264.60
63,365.00,2286.85
64,366.00,2306.41
65,367.00,2347.11
