ENLIGHTEN Version,4.1.44
Measurement ID,20260406-115532-362821-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_55_32 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,457
Timestamp,2026-04-06 11:55:23.796803
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,48.00
1,303.00,44.67
2,304.00,46.07
3,305.00,45.28
4,306.00,44.25
5,307.00,44.98
6,308.00,48.74
7,309.00,42.42
8,310.00,47.37
9,311.00,41.79
10,312.00,42.85
11,313.00,36.69
12,314.00,38.06
13,315.00,35.82
14,316.00,37.34
15,317.00,34.63
16,318.00,42.07
17,319.00,42.18
18,320.00,43.57
19,321.00,42.44
20,322.00,44.40
21,323.00,40.92
22,324.00,44.85
23,325.00,38.48
24,326.00,45.66
25,327.00,39.67
26,328.00,44.39
27,329.00,41.42
28,330.00,46.70
29,331.00,44.72
30,332.00,54.46
31,333.00,51.80
32,334.00,62.30
33,335.00,60.75
34,336.00,65.79
35,337.00,60.66
36,338.00,68.82
37,339.00,68.02
38,340.00,76.19
39,341.00,78.45
40,342.00,92.17
41,343.00,88.38
42,344.00,98.31
43,345.00,104.95
44,346.00,112.87
45,347.00,100.67
46,348.00,111.93
47,349.00,110.56
48,350.00,118.92
49,351.00,119.00
50,352.00,134.25
51,353.00,141.82
52,354.00,149.31
53,355.00,153.73
54,356.00,177.51
55,357.00,179.95
56,358.00,199.20
57,359.00,194.98
58,360.00,225.55
59,361.00,231.13
60,362.00,250.09
61,363.00,255.97
62,364.00,281.07
63,365.00,281.63
64,366.00,300.46
65,367.00,299.23
66,368.00,334.48
67,369.00,345.63
68,370.00,351.17
69,371.00,356.10
70,372.00,383.07
71,373.00,395.26
72,374.00,400.77
73,375.00,419.49
74,376.00,448.23
75,377.00,467.85
76,378.00,490.04
77,379.00,502.70
78,380.00,538.71
79,381.00,545.54
80,382.00,573.90
81,383.00,585.08
82,384.00,622.29
83,385.00,645.12
84,386.00,660.54
85,387.00,693.34
86,388.00,704.87
87,389.00,738.54
88,390.00,751.45
89,391.00,796.78
90,392.00,833.60
91,393.00,866.05
92,394.00,888.36
93,395.00,924.85
94,396.00,957.66
95,397.00,995.30
96,398.00,1057.32
97,399.00,1127.00
98,400.00,1224.73
99,401.00,1318.71
100,402.00,1441.03
101,403.00,1557.72
102,404.00,1705.99
103,405.00,1796.19
104,406.00,1882.09
105,407.00,1908.62
106,408.00,1899.78
107,409.00,1834.09
108,410.00,1752.10
109,411.00,1623.66
110,412.00,1544.07
111,413.00,1422.08
112,414.00,1309.41
113,415.00,1200.66
114,416.00,1151.21
115,417.00,1093.83
116,418.00,1030.26
117,419.00,983.93
118,420.00,950.10
119,421.00,926.49
120,422.00,851.37
121,423.00,818.35
122,424.00,774.42
123,425.00,735.52
124,426.00,699.91
125,427.00,666.78
126,428.00,635.35
127,429.00,593.51
128,430.00,567.34
129,431.00,517.37
130,432.00,498.67
131,433.00,442.12
132,434.00,442.95
133,435.00,398.90
134,436.00,413.38
135,437.00,393.06
136,438.00,408.79
137,439.00,398.31
138,440.00,409.81
139,441.00,408.08
140,442.00,394.80
141,443.00,389.59
142,444.00,401.25
143,445.00,405.15
144,446.00,411.55
145,447.00,406.89
146,448.00,425.66
147,449.00,427.73
148,450.00,448.51
149,451.00,454.12
150,452.00,490.67
151,453.00,505.82
152,454.00,555.14
153,455.00,599.39
154,456.00,661.71
155,457.00,736.39
156,458.00,770.05
157,459.00,839.47
158,460.00,872.27
159,461.00,923.88
160,462.00,960.73
161,463.00,987.10
162,464.00,1044.05
163,465.00,1072.56
164,466.00,1132.82
165,467.00,1163.59
166,468.00,1225.71
167,469.00,1258.08
168,470.00,1306.07
169,471.00,1329.06
170,472.00,1379.53
171,473.00,1409.76
172,474.00,1443.55
173,475.00,1493.44
174,476.00,1541.96
175,477.00,1642.40
176,478.00,1752.47
177,479.00,1925.49
178,480.00,2080.33
179,481.00,2314.48
180,482.00,2470.08
181,483.00,2668.57
182,484.00,2742.11
183,485.00,2763.46
184,486.00,2583.39
185,487.00,2385.19
186,488.00,2037.43
187,489.00,1713.21
188,490.00,1394.87
189,491.00,1124.96
190,492.00,890.80
191,493.00,732.13
192,494.00,610.78
193,495.00,535.16
194,496.00,472.38
195,497.00,419.08
196,498.00,393.44
197,499.00,369.17
198,500.00,321.67
199,501.00,299.45
200,502.00,265.70
201,503.00,244.15
202,504.00,193.55
203,505.00,161.84
204,506.00,136.41
205,507.00,116.39
206,508.00,87.16
207,509.00,83.71
208,510.00,82.16
209,511.00,78.64
210,512.00,85.60
211,513.00,79.27
212,514.00,89.55
213,515.00,86.77
214,516.00,103.24
215,517.00,92.27
216,518.00,102.38
217,519.00,83.60
218,520.00,83.40
219,521.00,64.17
220,522.00,61.21
221,523.00,48.95
222,524.00,47.17
223,525.00,34.89
224,526.00,42.41
225,527.00,33.37
226,528.00,35.74
227,529.00,30.34
228,530.00,35.63
229,531.00,36.50
230,532.00,32.14
231,533.00,29.79
232,534.00,28.22
233,535.00,25.51
234,536.00,23.47
235,537.00,22.90
236,538.00,18.65
237,539.00,20.52
238,540.00,22.05
239,541.00,20.02
240,542.00,23.40
241,543.00,20.87
242,544.00,26.57
243,545.00,24.91
244,546.00,22.72
245,547.00,25.39
246,548.00,24.96
247,549.00,24.37
248,550.00,24.90
249,551.00,24.31
250,552.00,27.44
251,553.00,25.09
252,554.00,26.54
253,555.00,26.83
254,556.00,28.56
255,557.00,29.06
256,558.00,33.74
257,559.00,33.86
258,560.00,39.67
259,561.00,35.67
260,562.00,43.88
261,563.00,42.62
262,564.00,49.46
263,565.00,48.11
264,566.00,58.06
265,567.00,58.77
266,568.00,75.69
267,569.00,90.80
268,570.00,84.78
269,571.00,98.63
270,572.00,118.98
271,573.00,153.41
272,574.00,142.14
273,575.00,173.61
274,576.00,172.01
275,577.00,212.78
276,578.00,204.54
277,579.00,218.42
278,580.00,250.50
279,581.00,288.53
280,582.00,320.75
281,583.00,363.36
282,584.00,460.03
283,585.00,548.89
284,586.00,641.05
285,587.00,739.47
286,588.00,851.68
287,589.00,944.83
288,590.00,1004.20
289,591.00,1006.42
290,592.00,1037.06
291,593.00,990.82
292,594.00,997.22
293,595.00,920.54
294,596.00,921.06
295,597.00,886.25
296,598.00,919.30
297,599.00,906.22
298,600.00,933.04
299,601.00,934.24
300,602.00,965.68
301,603.00,945.19
302,604.00,896.64
303,605.00,854.34
304,606.00,815.03
305,607.00,758.79
306,608.00,743.12
307,609.00,767.60
308,610.00,839.83
309,611.00,952.32
310,612.00,1185.16
311,613.00,1539.87
312,614.00,2100.10
313,615.00,2933.51
314,616.00,4155.00
315,617.00,5645.70
316,618.00,7209.18
317,619.00,8410.26
318,620.00,8793.58
319,621.00,8158.15
320,622.00,6666.42
321,623.00,4914.79
322,624.00,3325.80
323,625.00,2127.44
324,626.00,1352.20
325,627.00,909.90
326,628.00,656.25
327,629.00,515.60
328,630.00,451.86
329,631.00,430.38
330,632.00,451.98
331,633.00,449.65
332,634.00,495.78
333,635.00,516.84
334,636.00,495.89
335,637.00,434.93
336,638.00,370.69
337,639.00,304.89
338,640.00,239.38
339,641.00,169.47
340,642.00,136.60
341,643.00,113.20
342,644.00,92.26
343,645.00,86.31
344,646.00,94.94
345,647.00,93.17
346,648.00,99.59
347,649.00,96.70
348,650.00,111.18
349,651.00,101.87
350,652.00,107.41
351,653.00,91.01
352,654.00,97.41
353,655.00,81.65
354,656.00,83.97
355,657.00,68.36
356,658.00,62.12
357,659.00,51.62
358,660.00,52.08
359,661.00,38.01
360,662.00,35.76
361,663.00,27.75
362,664.00,28.98
363,665.00,22.73
364,666.00,24.21
365,667.00,21.95
366,668.00,26.28
367,669.00,21.45
368,670.00,23.81
369,671.00,24.27
370,672.00,28.73
371,673.00,30.15
372,674.00,27.20
373,675.00,32.95
374,676.00,32.02
375,677.00,32.53
376,678.00,27.25
377,679.00,26.24
378,680.00,29.14
379,681.00,24.29
380,682.00,23.32
381,683.00,24.87
382,684.00,28.20
383,685.00,25.36
384,686.00,31.21
385,687.00,31.02
386,688.00,40.41
387,689.00,37.65
388,690.00,44.53
389,691.00,45.80
390,692.00,57.06
391,693.00,57.99
392,694.00,65.15
393,695.00,76.01
394,696.00,82.00
395,697.00,99.80
396,698.00,103.67
397,699.00,116.06
398,700.00,114.07
399,701.00,119.86
400,702.00,112.41
401,703.00,106.04
402,704.00,111.08
403,705.00,101.38
404,706.00,93.77
405,707.00,90.07
406,708.00,84.83
407,709.00,83.93
408,710.00,86.08
409,711.00,82.16
410,712.00,84.38
411,713.00,83.77
412,714.00,90.75
413,715.00,86.18
414,716.00,93.94
415,717.00,96.14
416,718.00,103.69
417,719.00,106.66
418,720.00,114.48
419,721.00,122.75
420,722.00,124.93
421,723.00,140.28
422,724.00,162.19
423,725.00,177.32
424,726.00,196.21
425,727.00,223.94
426,728.00,263.79
427,729.00,288.55
428,730.00,323.14
429,731.00,364.24
430,732.00,405.93
431,733.00,446.29
432,734.00,495.80
433,735.00,549.15
434,736.00,636.43
435,737.00,723.30
436,738.00,792.40
437,739.00,887.06
438,740.00,1018.13
439,741.00,1138.76
440,742.00,1309.26
441,743.00,1467.37
442,744.00,1664.47
443,745.00,1849.38
444,746.00,2069.66
445,747.00,2295.77
446,748.00,2478.14
447,749.00,2691.17
448,750.00,2794.78
449,751.00,2845.94
450,752.00,2810.92
451,753.00,2692.16
452,754.00,2481.72
453,755.00,2196.28
454,756.00,1951.54
455,757.00,1689.54
456,758.00,1457.56
457,759.00,1240.79
458,760.00,1067.44
459,761.00,944.25
460,762.00,846.25
461,763.00,799.92
