ENLIGHTEN Version,4.1.44
Measurement ID,20260406-121030-978362-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_10_30 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 12:10:27.956786
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,14.8
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,1484.49
1,303.00,1569.72
2,304.00,1705.85
3,305.00,1802.22
4,306.00,1903.97
5,307.00,1936.77
6,308.00,1892.10
7,309.00,1841.56
8,310.00,1726.12
9,311.00,1560.66
10,312.00,1356.63
11,313.00,1147.96
12,314.00,948.74
13,315.00,753.21
14,316.00,584.98
15,317.00,454.33
16,318.00,350.86
17,319.00,255.00
18,320.00,205.63
19,321.00,164.83
20,322.00,138.00
21,323.00,119.25
22,324.00,88.98
23,325.00,83.10
24,326.00,40.21
25,327.00,36.23
26,328.00,15.91
27,329.00,15.04
28,330.00,4.23
29,331.00,4.28
30,332.00,1.44
31,333.00,3.61
32,334.00,3.37
33,335.00,5.34
34,336.00,10.99
35,337.00,20.12
36,338.00,28.44
37,339.00,46.40
38,340.00,79.66
39,341.00,125.04
40,342.00,177.33
41,343.00,270.62
42,344.00,371.45
43,345.00,506.92
44,346.00,661.12
45,347.00,852.86
46,348.00,1044.13
47,349.00,1232.22
48,350.00,1407.64
49,351.00,1547.72
50,352.00,1656.29
51,353.00,1704.94
52,354.00,1733.74
53,355.00,1735.64
54,356.00,1732.30
55,357.00,1725.24
56,358.00,1719.76
57,359.00,1734.96
58,360.00,1763.02
59,361.00,1823.58
60,362.00,1919.34
61,363.00,2044.04
62,364.00,2186.28
63,365.00,2373.76
64,366.00,2610.07
65,367.00,2853.03
66,368.00,3150.01
67,369.00,3467.64
68,370.00,3855.93
69,371.00,4238.39
70,372.00,4750.28
71,373.00,5244.27
72,374.00,5802.87
73,375.00,6435.49
74,376.00,7107.72
75,377.00,7762.04
76,378.00,8444.85
77,379.00,8998.40
78,380.00,9480.91
79,381.00,9716.74
80,382.00,9747.24
81,383.00,9493.03
82,384.00,8996.71
83,385.00,8324.86
84,386.00,7545.55
85,387.00,6699.08
86,388.00,5921.70
87,389.00,5208.57
88,390.00,4627.36
89,391.00,4180.62
90,392.00,3827.34
91,393.00,3613.91
92,394.00,3505.07
93,395.00,3522.84
94,396.00,3629.12
95,397.00,3784.78
96,398.00,3998.49
97,399.00,4192.96
98,400.00,4399.23
99,401.00,4489.23
100,402.00,4498.10
101,403.00,4406.76
102,404.00,4248.53
103,405.00,3994.12
104,406.00,3671.75
105,407.00,3337.56
106,408.00,2998.09
107,409.00,2707.39
108,410.00,2409.73
109,411.00,2161.69
110,412.00,1947.93
111,413.00,1796.80
112,414.00,1736.81
113,415.00,1662.64
114,416.00,1647.98
115,417.00,1638.72
116,418.00,1729.25
117,419.00,1776.08
118,420.00,1861.20
119,421.00,1951.92
120,422.00,2098.82
121,423.00,2204.58
122,424.00,2360.29
123,425.00,2463.24
124,426.00,2618.27
125,427.00,2756.51
126,428.00,2898.60
127,429.00,3091.94
128,430.00,3405.70
129,431.00,3733.28
130,432.00,4217.66
131,433.00,4809.38
132,434.00,5540.13
133,435.00,6402.85
134,436.00,7435.61
135,437.00,8526.65
136,438.00,9643.77
137,439.00,10611.30
138,440.00,11317.69
139,441.00,11739.24
140,442.00,11621.64
141,443.00,11172.34
142,444.00,10409.85
143,445.00,9343.51
144,446.00,8241.05
145,447.00,7105.39
146,448.00,6038.69
147,449.00,5069.96
148,450.00,4220.46
149,451.00,3498.49
150,452.00,2879.42
151,453.00,2372.01
152,454.00,1931.30
153,455.00,1593.19
154,456.00,1297.71
155,457.00,1061.91
156,458.00,865.33
157,459.00,678.43
158,460.00,523.47
159,461.00,389.52
160,462.00,287.15
161,463.00,204.41
162,464.00,151.07
163,465.00,107.77
164,466.00,77.97
165,467.00,61.31
166,468.00,43.32
167,469.00,40.44
168,470.00,29.98
169,471.00,25.13
170,472.00,19.66
171,473.00,16.66
172,474.00,11.18
173,475.00,11.19
174,476.00,11.66
175,477.00,16.67
176,478.00,10.52
177,479.00,16.38
178,480.00,26.25
179,481.00,34.32
180,482.00,50.64
181,483.00,61.33
182,484.00,95.62
183,485.00,136.90
184,486.00,205.72
185,487.00,303.58
186,488.00,396.07
187,489.00,521.02
188,490.00,643.72
189,491.00,807.88
190,492.00,1016.44
191,493.00,1202.37
192,494.00,1418.89
193,495.00,1607.23
194,496.00,1855.99
195,497.00,2071.57
196,498.00,2266.59
197,499.00,2430.13
198,500.00,2665.16
199,501.00,2818.27
200,502.00,2898.78
201,503.00,2938.63
202,504.00,3036.22
203,505.00,3115.32
204,506.00,3172.82
205,507.00,3227.01
206,508.00,3348.76
207,509.00,3474.34
208,510.00,3603.35
209,511.00,3732.17
210,512.00,3859.47
211,513.00,4052.10
212,514.00,4215.98
213,515.00,4438.41
214,516.00,4719.32
215,517.00,5091.71
216,518.00,5453.97
217,519.00,5863.99
218,520.00,6308.67
219,521.00,6664.63
220,522.00,6942.59
221,523.00,6989.72
222,524.00,6839.46
223,525.00,6418.25
224,526.00,5840.17
225,527.00,5109.83
226,528.00,4436.69
227,529.00,3773.27
228,530.00,3145.82
229,531.00,2690.52
230,532.00,2290.40
231,533.00,2017.94
232,534.00,1818.71
233,535.00,1671.50
234,536.00,1618.96
235,537.00,1550.93
236,538.00,1547.81
237,539.00,1549.18
238,540.00,1578.32
239,541.00,1608.49
240,542.00,1675.51
241,543.00,1726.58
242,544.00,1870.22
243,545.00,2005.26
244,546.00,2176.72
245,547.00,2366.91
246,548.00,2650.30
247,549.00,2880.53
248,550.00,3103.19
249,551.00,3319.80
250,552.00,3568.34
251,553.00,3822.40
252,554.00,3973.42
253,555.00,4173.54
254,556.00,4301.14
255,557.00,4527.76
256,558.00,4688.30
257,559.00,4931.23
258,560.00,5231.01
259,561.00,5536.96
260,562.00,5966.70
261,563.00,6456.74
262,564.00,6986.87
263,565.00,7679.31
264,566.00,8381.67
265,567.00,9128.90
266,568.00,9742.72
267,569.00,10336.98
268,570.00,10732.20
269,571.00,10929.12
270,572.00,10903.11
271,573.00,10689.82
272,574.00,10298.75
273,575.00,9787.67
274,576.00,9174.77
275,577.00,8573.10
276,578.00,7969.86
277,579.00,7378.92
278,580.00,6865.80
279,581.00,6415.33
280,582.00,5962.73
281,583.00,5609.90
282,584.00,5249.53
283,585.00,5000.09
284,586.00,4751.40
285,587.00,4601.46
286,588.00,4492.22
287,589.00,4426.42
288,590.00,4394.94
289,591.00,4420.67
290,592.00,4560.32
291,593.00,4658.51
292,594.00,4801.41
293,595.00,4952.51
294,596.00,5068.19
295,597.00,5098.22
296,598.00,5072.11
297,599.00,4928.27
298,600.00,4650.12
299,601.00,4292.01
300,602.00,3820.36
301,603.00,3301.72
302,604.00,2760.40
303,605.00,2262.36
304,606.00,1809.03
305,607.00,1413.38
306,608.00,1075.91
307,609.00,822.53
308,610.00,612.33
309,611.00,453.44
310,612.00,332.04
311,613.00,231.41
312,614.00,155.00
313,615.00,105.47
314,616.00,59.48
315,617.00,41.18
316,618.00,35.13
317,619.00,25.79
318,620.00,24.22
319,621.00,22.23
320,622.00,32.05
321,623.00,23.65
322,624.00,36.36
323,625.00,30.70
324,626.00,50.31
325,627.00,47.25
326,628.00,67.45
327,629.00,77.64
328,630.00,98.31
329,631.00,118.83
330,632.00,176.06
331,633.00,233.75
332,634.00,318.32
333,635.00,429.85
334,636.00,611.23
335,637.00,805.10
336,638.00,1097.13
337,639.00,1410.44
338,640.00,1733.52
339,641.00,2094.14
340,642.00,2440.06
341,643.00,2738.21
342,644.00,2996.20
343,645.00,3260.30
344,646.00,3456.50
345,647.00,3629.72
346,648.00,3829.78
347,649.00,3993.81
348,650.00,4105.23
349,651.00,4260.30
350,652.00,4318.72
351,653.00,4366.80
352,654.00,4336.83
353,655.00,4335.23
354,656.00,4201.59
355,657.00,4093.97
356,658.00,3932.38
357,659.00,3826.92
358,660.00,3755.98
359,661.00,3746.12
360,662.00,3772.27
361,663.00,3910.18
362,664.00,4086.03
363,665.00,4348.54
364,666.00,4648.30
365,667.00,5027.75
366,668.00,5442.13
367,669.00,5809.69
368,670.00,6220.94
369,671.00,6596.62
370,672.00,6952.64
371,673.00,7287.87
372,674.00,7647.11
373,675.00,8011.14
374,676.00,8372.40
375,677.00,8732.48
376,678.00,9048.60
377,679.00,9268.40
378,680.00,9385.10
379,681.00,9372.56
380,682.00,9197.32
381,683.00,8865.85
382,684.00,8438.96
383,685.00,7915.56
384,686.00,7365.72
385,687.00,6797.22
386,688.00,6268.14
387,689.00,5807.41
388,690.00,5371.13
389,691.00,5034.06
390,692.00,4713.08
391,693.00,4512.12
392,694.00,4281.28
393,695.00,4176.17
394,696.00,4028.52
395,697.00,3963.36
396,698.00,3882.83
397,699.00,3851.13
398,700.00,3808.34
399,701.00,3797.16
400,702.00,3781.34
401,703.00,3793.64
