ENLIGHTEN Version,4.1.44
Measurement ID,20260406-111850-605145-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_18_50 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:18:49.693730
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,13.6
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,1382.20
1,303.00,1508.09
2,304.00,1651.93
3,305.00,1753.61
4,306.00,1770.09
5,307.00,1676.51
6,308.00,1530.72
7,309.00,1288.40
8,310.00,1019.16
9,311.00,756.48
10,312.00,566.11
11,313.00,390.51
12,314.00,270.29
13,315.00,188.84
14,316.00,132.85
15,317.00,96.78
16,318.00,66.33
17,319.00,50.29
18,320.00,31.10
19,321.00,21.86
20,322.00,19.24
21,323.00,8.39
22,324.00,15.17
23,325.00,10.28
24,326.00,14.70
25,327.00,14.11
26,328.00,32.35
27,329.00,50.69
28,330.00,78.81
29,331.00,113.73
30,332.00,184.51
31,333.00,250.58
32,334.00,328.54
33,335.00,437.24
34,336.00,555.08
35,337.00,698.77
36,338.00,844.40
37,339.00,1003.51
38,340.00,1181.29
39,341.00,1420.54
40,342.00,1674.84
41,343.00,2060.48
42,344.00,2467.71
43,345.00,3026.83
44,346.00,3594.76
45,347.00,4248.55
46,348.00,4859.09
47,349.00,5401.57
48,350.00,5745.98
49,351.00,5846.94
50,352.00,5727.63
51,353.00,5422.78
52,354.00,5018.87
53,355.00,4603.28
54,356.00,4188.76
55,357.00,3871.76
56,358.00,3602.98
57,359.00,3462.54
58,360.00,3345.64
59,361.00,3313.61
60,362.00,3300.82
61,363.00,3350.92
62,364.00,3417.88
63,365.00,3445.04
64,366.00,3505.80
65,367.00,3507.64
66,368.00,3565.32
67,369.00,3624.96
68,370.00,3768.06
69,371.00,3976.84
70,372.00,4305.86
71,373.00,4765.83
72,374.00,5353.58
73,375.00,6099.36
74,376.00,6955.13
75,377.00,7877.78
76,378.00,8779.63
77,379.00,9440.51
78,380.00,9862.34
79,381.00,9808.42
80,382.00,9312.13
81,383.00,8460.29
82,384.00,7374.89
83,385.00,6249.85
84,386.00,5123.90
85,387.00,4161.87
86,388.00,3327.80
87,389.00,2700.10
88,390.00,2185.12
89,391.00,1804.27
90,392.00,1475.71
91,393.00,1250.24
92,394.00,1071.43
93,395.00,920.43
94,396.00,831.47
95,397.00,746.91
96,398.00,692.00
97,399.00,649.52
98,400.00,593.84
99,401.00,581.25
100,402.00,581.26
101,403.00,582.56
102,404.00,605.37
103,405.00,657.49
104,406.00,694.52
105,407.00,785.96
106,408.00,890.34
107,409.00,1072.47
108,410.00,1291.76
109,411.00,1599.76
110,412.00,1974.35
111,413.00,2436.23
112,414.00,2918.36
113,415.00,3484.16
114,416.00,3888.07
115,417.00,4234.14
116,418.00,4465.92
117,419.00,4568.67
118,420.00,4482.97
119,421.00,4428.21
120,422.00,4260.33
121,423.00,4038.59
122,424.00,3798.13
123,425.00,3532.55
124,426.00,3204.06
