ENLIGHTEN Version,4.1.44
Measurement ID,20260406-111943-318946-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_19_43 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:19:42.191911
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,416.84
1,303.00,466.44
2,304.00,345.14
3,305.00,336.74
4,306.00,319.17
5,307.00,351.96
6,308.00,338.86
7,309.00,387.46
8,310.00,382.62
9,311.00,475.74
10,312.00,538.93
11,313.00,619.48
12,314.00,661.14
13,315.00,700.51
14,316.00,756.82
15,317.00,784.06
16,318.00,805.30
17,319.00,780.25
18,320.00,702.40
19,321.00,665.49
20,322.00,668.23
21,323.00,667.54
22,324.00,673.70
23,325.00,700.65
24,326.00,768.60
25,327.00,820.58
26,328.00,935.92
27,329.00,1028.78
28,330.00,1098.70
29,331.00,1128.40
30,332.00,1076.13
31,333.00,1058.22
32,334.00,1021.40
33,335.00,926.34
34,336.00,858.27
35,337.00,806.14
36,338.00,791.81
37,339.00,752.23
38,340.00,725.75
39,341.00,735.99
40,342.00,728.50
41,343.00,728.33
42,344.00,716.41
43,345.00,743.16
44,346.00,745.11
45,347.00,738.02
46,348.00,737.63
47,349.00,728.13
48,350.00,712.20
49,351.00,692.92
50,352.00,644.31
51,353.00,662.89
52,354.00,642.11
53,355.00,641.24
54,356.00,615.11
55,357.00,645.91
56,358.00,631.52
57,359.00,663.92
58,360.00,647.75
59,361.00,612.32
60,362.00,574.57
61,363.00,499.24
62,364.00,372.13
63,365.00,329.79
64,366.00,304.66
65,367.00,280.41
66,368.00,268.06
67,369.00,261.14
68,370.00,260.04
69,371.00,272.06
70,372.00,288.41
71,373.00,297.53
72,374.00,287.37
73,375.00,301.07
74,376.00,298.98
75,377.00,276.83
76,378.00,266.74
77,379.00,266.97
78,380.00,215.68
79,381.00,231.36
80,382.00,265.28
81,383.00,295.07
82,384.00,340.35
83,385.00,376.78
84,386.00,450.33
85,387.00,481.62
86,388.00,504.58
87,389.00,508.16
88,390.00,486.18
89,391.00,459.67
90,392.00,385.00
91,393.00,350.08
92,394.00,309.10
93,395.00,293.23
94,396.00,268.96
95,397.00,272.07
96,398.00,284.40
97,399.00,298.82
98,400.00,344.95
99,401.00,367.57
100,402.00,410.50
101,403.00,428.52
102,404.00,467.65
103,405.00,491.04
104,406.00,500.01
105,407.00,503.21
106,408.00,498.76
107,409.00,495.89
108,410.00,482.36
109,411.00,479.29
110,412.00,424.42
111,413.00,417.17
112,414.00,415.07
113,415.00,399.08
114,416.00,405.90
115,417.00,402.76
116,418.00,408.72
117,419.00,386.17
118,420.00,403.81
119,421.00,382.62
120,422.00,358.19
121,423.00,298.99
122,424.00,289.15
123,425.00,258.37
124,426.00,206.37
125,427.00,187.35
126,428.00,143.51
127,429.00,148.69
128,430.00,112.25
129,431.00,120.33
130,432.00,147.27
131,433.00,174.31
132,434.00,131.38
133,435.00,173.70
134,436.00,160.16
135,437.00,182.49
136,438.00,155.32
137,439.00,169.74
138,440.00,133.49
139,441.00,145.78
140,442.00,124.25
141,443.00,161.45
142,444.00,209.07
143,445.00,217.83
144,446.00,221.57
145,447.00,255.51
146,448.00,320.91
147,449.00,325.51
148,450.00,318.47
149,451.00,336.06
150,452.00,352.16
151,453.00,360.11
152,454.00,348.97
153,455.00,350.85
154,456.00,343.39
155,457.00,342.61
156,458.00,351.83
157,459.00,352.54
158,460.00,363.92
159,461.00,358.12
160,462.00,365.49
161,463.00,351.33
162,464.00,312.50
163,465.00,295.19
164,466.00,288.52
165,467.00,280.73
166,468.00,280.40
167,469.00,291.21
168,470.00,298.71
169,471.00,319.14
170,472.00,322.59
171,473.00,325.75
172,474.00,321.58
173,475.00,312.30
174,476.00,246.92
175,477.00,248.78
176,478.00,247.10
177,479.00,243.37
178,480.00,236.22
179,481.00,242.28
180,482.00,256.23
181,483.00,272.06
182,484.00,279.32
183,485.00,299.12
184,486.00,332.78
185,487.00,348.75
186,488.00,388.42
187,489.00,403.64
188,490.00,424.63
189,491.00,435.19
190,492.00,444.80
191,493.00,444.35
192,494.00,442.67
193,495.00,427.32
194,496.00,423.56
195,497.00,425.90
196,498.00,425.25
197,499.00,425.47
198,500.00,466.02
199,501.00,483.31
200,502.00,485.00
201,503.00,498.51
202,504.00,470.24
203,505.00,470.99
204,506.00,445.45
205,507.00,452.60
206,508.00,406.03
207,509.00,415.12
208,510.00,408.05
209,511.00,426.39
210,512.00,396.81
211,513.00,405.88
212,514.00,412.97
213,515.00,429.02
214,516.00,419.85
215,517.00,423.73
216,518.00,412.35
217,519.00,391.79
218,520.00,372.12
219,521.00,340.02
220,522.00,297.11
221,523.00,267.23
222,524.00,229.58
223,525.00,213.07
224,526.00,209.51
225,527.00,214.37
226,528.00,242.21
227,529.00,265.07
228,530.00,300.26
229,531.00,315.15
230,532.00,335.71
231,533.00,338.34
232,534.00,312.42
233,535.00,283.39
234,536.00,240.14
235,537.00,203.34
236,538.00,151.28
237,539.00,127.00
238,540.00,102.70
239,541.00,95.04
240,542.00,80.67
241,543.00,92.72
242,544.00,150.89
243,545.00,193.76
244,546.00,228.46
245,547.00,292.66
246,548.00,333.26
247,549.00,395.82
248,550.00,401.46
249,551.00,421.37
250,552.00,376.70
251,553.00,358.70
252,554.00,326.51
253,555.00,305.10
254,556.00,262.25
255,557.00,255.90
256,558.00,256.60
257,559.00,269.21
258,560.00,280.47
259,561.00,309.99
260,562.00,325.72
261,563.00,333.87
262,564.00,356.17
263,565.00,357.61
264,566.00,313.12
265,567.00,282.17
266,568.00,245.09
267,569.00,227.00
268,570.00,187.34
269,571.00,161.79
270,572.00,110.49
271,573.00,112.77
272,574.00,98.75
273,575.00,98.05
274,576.00,144.55
275,577.00,180.81
276,578.00,184.51
277,579.00,222.91
278,580.00,217.65
279,581.00,241.26
280,582.00,253.44
281,583.00,237.99
282,584.00,194.33
283,585.00,178.33
284,586.00,164.67
285,587.00,153.37
286,588.00,150.23
287,589.00,150.77
288,590.00,126.02
289,591.00,127.56
290,592.00,89.28
291,593.00,89.66
292,594.00,81.29
293,595.00,70.16
294,596.00,78.66
295,597.00,83.08
296,598.00,75.75
297,599.00,90.97
298,600.00,103.27
299,601.00,114.35
300,602.00,104.12
301,603.00,128.02
302,604.00,131.77
303,605.00,156.71
304,606.00,141.29
305,607.00,162.09
306,608.00,137.14
307,609.00,152.09
308,610.00,139.21
309,611.00,140.61
310,612.00,142.20
311,613.00,152.22
312,614.00,143.96
313,615.00,151.32
314,616.00,127.90
315,617.00,146.03
316,618.00,143.56
317,619.00,150.25
318,620.00,154.15
319,621.00,175.54
320,622.00,176.13
321,623.00,187.52
322,624.00,195.55
323,625.00,209.86
324,626.00,214.80
325,627.00,229.77
326,628.00,224.56
327,629.00,245.49
328,630.00,244.19
329,631.00,250.94
330,632.00,259.91
331,633.00,279.89
332,634.00,279.32
333,635.00,292.81
334,636.00,298.69
335,637.00,312.64
336,638.00,303.93
337,639.00,305.74
338,640.00,296.97
339,641.00,295.78
340,642.00,270.04
341,643.00,261.45
342,644.00,243.87
343,645.00,231.60
344,646.00,202.39
345,647.00,183.29
346,648.00,159.43
347,649.00,139.62
348,650.00,108.07
349,651.00,107.91
350,652.00,85.40
351,653.00,77.59
352,654.00,70.77
353,655.00,64.84
354,656.00,62.05
355,657.00,57.09
356,658.00,49.68
357,659.00,51.45
358,660.00,50.80
359,661.00,47.91
360,662.00,47.26
361,663.00,42.19
362,664.00,50.68
363,665.00,42.72
364,666.00,41.73
365,667.00,42.68
366,668.00,50.67
367,669.00,47.45
368,670.00,47.12
369,671.00,48.08
370,672.00,61.86
371,673.00,56.88
372,674.00,49.39
373,675.00,55.71
374,676.00,63.86
375,677.00,59.77
376,678.00,59.62
377,679.00,56.55
378,680.00,64.26
379,681.00,55.48
380,682.00,55.60
381,683.00,62.38
382,684.00,76.02
383,685.00,85.87
384,686.00,85.06
385,687.00,113.20
386,688.00,113.85
387,689.00,133.04
388,690.00,158.40
389,691.00,177.23
390,692.00,203.81
391,693.00,224.51
392,694.00,245.44
393,695.00,271.53
394,696.00,297.80
395,697.00,328.97
396,698.00,365.06
397,699.00,406.93
398,700.00,425.84
399,701.00,467.57
400,702.00,497.50
401,703.00,536.45
402,704.00,540.05
403,705.00,572.12
404,706.00,602.93
405,707.00,648.71
406,708.00,671.31
407,709.00,711.56
408,710.00,786.61
409,711.00,824.71
410,712.00,920.71
411,713.00,996.22
412,714.00,1086.96
413,715.00,1180.74
414,716.00,1283.44
415,717.00,1365.66
416,718.00,1447.39
417,719.00,1501.59
418,720.00,1545.81
419,721.00,1571.90
