ENLIGHTEN Version,4.1.44
Measurement ID,20260406-120908-939674-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_09_08 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,1014
Timestamp,2026-04-06 12:09:07.992374
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,59.69
1,303.00,56.16
2,304.00,51.13
3,305.00,49.95
4,306.00,54.71
5,307.00,53.34
6,308.00,48.05
7,309.00,52.11
8,310.00,61.22
9,311.00,66.93
10,312.00,75.17
11,313.00,81.03
12,314.00,83.09
13,315.00,92.13
14,316.00,106.11
15,317.00,114.20
16,318.00,130.05
17,319.00,143.97
18,320.00,133.35
19,321.00,142.70
20,322.00,137.39
21,323.00,145.75
22,324.00,161.61
23,325.00,173.41
24,326.00,184.07
25,327.00,201.11
26,328.00,266.80
27,329.00,298.37
28,330.00,370.79
29,331.00,431.92
30,332.00,529.40
31,333.00,605.79
32,334.00,695.04
33,335.00,767.26
34,336.00,779.56
35,337.00,805.71
36,338.00,862.82
37,339.00,881.09
38,340.00,899.84
39,341.00,890.74
40,342.00,891.48
41,343.00,843.06
42,344.00,761.73
43,345.00,691.65
44,346.00,613.66
45,347.00,534.03
46,348.00,498.98
47,349.00,432.86
48,350.00,413.31
49,351.00,378.96
50,352.00,393.42
51,353.00,376.12
52,354.00,328.28
53,355.00,303.43
54,356.00,279.46
55,357.00,252.76
56,358.00,233.15
57,359.00,207.73
58,360.00,213.43
59,361.00,194.99
60,362.00,195.46
61,363.00,175.59
62,364.00,171.91
63,365.00,164.64
64,366.00,163.23
65,367.00,153.45
66,368.00,167.77
67,369.00,162.79
68,370.00,165.52
69,371.00,172.32
70,372.00,184.46
