ENLIGHTEN Version,4.1.44
Measurement ID,20260406-120529-511693-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_05_29 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,478
Timestamp,2026-04-06 12:05:27.330010
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,1586.87
1,303.00,1473.15
2,304.00,1320.18
3,305.00,1158.68
4,306.00,973.63
5,307.00,837.67
6,308.00,694.17
7,309.00,591.32
8,310.00,510.37
9,311.00,450.87
10,312.00,427.40
11,313.00,383.45
12,314.00,359.33
13,315.00,340.08
14,316.00,312.77
15,317.00,294.14
16,318.00,263.94
17,319.00,246.73
18,320.00,214.70
19,321.00,198.15
20,322.00,175.25
21,323.00,163.83
22,324.00,145.40
23,325.00,148.06
24,326.00,134.98
25,327.00,134.22
26,328.00,122.58
27,329.00,119.15
28,330.00,99.76
29,331.00,98.21
30,332.00,96.74
31,333.00,82.67
32,334.00,78.46
33,335.00,59.79
34,336.00,54.58
35,337.00,38.84
36,338.00,42.31
37,339.00,40.97
38,340.00,38.04
39,341.00,31.53
40,342.00,31.21
41,343.00,22.99
42,344.00,18.95
43,345.00,16.76
44,346.00,12.61
45,347.00,20.84
46,348.00,9.89
47,349.00,8.61
48,350.00,11.77
49,351.00,8.32
50,352.00,10.70
51,353.00,5.50
52,354.00,9.19
53,355.00,6.63
54,356.00,10.24
55,357.00,6.63
56,358.00,15.53
57,359.00,8.81
58,360.00,14.31
59,361.00,6.50
60,362.00,14.03
61,363.00,7.39
62,364.00,12.48
63,365.00,9.99
64,366.00,17.48
65,367.00,12.17
66,368.00,16.27
67,369.00,10.81
68,370.00,19.48
69,371.00,10.28
70,372.00,21.41
71,373.00,13.30
72,374.00,23.17
73,375.00,14.42
74,376.00,21.45
75,377.00,15.41
76,378.00,21.54
77,379.00,15.60
78,380.00,24.88
79,381.00,20.64
80,382.00,26.40
81,383.00,21.35
82,384.00,24.49
83,385.00,19.92
84,386.00,24.25
85,387.00,19.86
86,388.00,24.04
87,389.00,17.70
88,390.00,23.80
89,391.00,21.06
90,392.00,23.52
91,393.00,20.65
92,394.00,26.09
93,395.00,24.84
94,396.00,29.00
95,397.00,25.24
96,398.00,29.01
97,399.00,24.75
98,400.00,26.12
99,401.00,24.54
100,402.00,24.34
101,403.00,24.08
102,404.00,25.31
103,405.00,22.39
104,406.00,26.16
105,407.00,24.29
106,408.00,29.36
107,409.00,25.83
108,410.00,28.71
109,411.00,26.10
110,412.00,29.14
111,413.00,26.78
112,414.00,28.33
113,415.00,26.41
114,416.00,29.04
115,417.00,25.31
116,418.00,29.06
117,419.00,27.43
118,420.00,31.59
119,421.00,28.93
120,422.00,30.89
121,423.00,29.91
122,424.00,33.24
123,425.00,29.87
124,426.00,30.23
125,427.00,29.24
126,428.00,29.81
127,429.00,27.65
128,430.00,29.85
129,431.00,29.23
130,432.00,31.03
131,433.00,29.18
132,434.00,31.24
133,435.00,29.01
134,436.00,30.83
135,437.00,29.43
136,438.00,30.01
137,439.00,29.58
138,440.00,31.88
139,441.00,27.91
140,442.00,29.36
141,443.00,27.97
142,444.00,29.73
143,445.00,28.55
144,446.00,30.39
145,447.00,30.52
146,448.00,32.18
147,449.00,30.52
148,450.00,31.15
149,451.00,29.53
150,452.00,30.64
151,453.00,29.57
152,454.00,30.12
153,455.00,30.00
154,456.00,32.87
155,457.00,28.86
156,458.00,31.04
157,459.00,29.45
158,460.00,31.44
159,461.00,30.10
160,462.00,31.42
161,463.00,31.41
162,464.00,32.77
163,465.00,30.81
164,466.00,31.59
165,467.00,30.42
166,468.00,32.01
167,469.00,30.46
168,470.00,30.88
169,471.00,30.90
170,472.00,33.50
171,473.00,29.69
172,474.00,31.06
173,475.00,29.34
174,476.00,30.48
175,477.00,29.62
176,478.00,30.98
177,479.00,30.79
178,480.00,32.26
179,481.00,30.12
180,482.00,31.20
181,483.00,29.58
182,484.00,31.36
183,485.00,29.71
184,486.00,30.45
185,487.00,30.64
186,488.00,33.44
187,489.00,29.61
188,490.00,30.82
189,491.00,29.48
190,492.00,29.98
191,493.00,28.93
192,494.00,30.00
193,495.00,29.53
194,496.00,31.03
195,497.00,28.62
196,498.00,29.87
197,499.00,28.22
198,500.00,30.48
199,501.00,28.70
200,502.00,29.38
201,503.00,29.98
202,504.00,32.92
203,505.00,28.93
204,506.00,30.42
205,507.00,29.22
206,508.00,29.70
207,509.00,28.34
208,510.00,29.36
209,511.00,28.46
210,512.00,30.14
211,513.00,27.72
212,514.00,29.17
213,515.00,27.58
214,516.00,30.03
215,517.00,28.36
216,518.00,29.07
217,519.00,30.43
218,520.00,33.22
219,521.00,29.00
220,522.00,31.00
221,523.00,29.83
222,524.00,30.66
223,525.00,28.69
224,526.00,29.98
225,527.00,29.27
226,528.00,30.75
227,529.00,27.94
228,530.00,29.55
229,531.00,27.76
230,532.00,30.17
231,533.00,28.04
232,534.00,28.83
233,535.00,30.36
234,536.00,33.24
235,537.00,28.26
236,538.00,30.68
237,539.00,29.10
238,540.00,30.27
239,541.00,27.78
240,542.00,29.51
241,543.00,28.08
242,544.00,29.10
243,545.00,24.16
244,546.00,26.50
245,547.00,22.92
246,548.00,27.32
247,549.00,23.75
248,550.00,24.17
249,551.00,24.59
250,552.00,31.46
251,553.00,25.88
252,554.00,30.39
253,555.00,28.42
254,556.00,29.87
255,557.00,28.96
256,558.00,29.66
257,559.00,25.74
258,560.00,24.84
259,561.00,21.69
260,562.00,21.01
261,563.00,19.58
262,564.00,20.09
263,565.00,18.19
264,566.00,20.09
265,567.00,21.73
266,568.00,25.77
267,569.00,23.77
268,570.00,26.47
