ENLIGHTEN Version,4.1.44
Measurement ID,20260406-120553-583009-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_05_53 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,1156
Timestamp,2026-04-06 12:05:51.354723
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,52.96
1,303.00,47.41
2,304.00,47.47
3,305.00,44.66
4,306.00,51.64
5,307.00,49.13
6,308.00,51.47
7,309.00,49.28
8,310.00,62.56
9,311.00,57.36
10,312.00,59.88
11,313.00,51.00
12,314.00,57.01
13,315.00,48.54
14,316.00,49.31
15,317.00,43.70
16,318.00,50.65
17,319.00,45.26
18,320.00,46.62
19,321.00,42.65
20,322.00,52.00
21,323.00,43.72
22,324.00,48.11
23,325.00,43.31
24,326.00,58.54
25,327.00,58.08
26,328.00,68.28
27,329.00,77.11
28,330.00,92.70
29,331.00,91.36
30,332.00,97.58
31,333.00,105.19
32,334.00,110.30
33,335.00,116.29
34,336.00,109.77
35,337.00,117.79
36,338.00,125.02
37,339.00,135.27
38,340.00,150.74
39,341.00,159.80
40,342.00,188.51
41,343.00,205.99
42,344.00,241.86
43,345.00,258.21
44,346.00,296.93
45,347.00,307.15
46,348.00,328.80
47,349.00,343.93
48,350.00,350.45
49,351.00,361.11
50,352.00,400.00
51,353.00,419.23
52,354.00,443.84
53,355.00,475.50
54,356.00,532.00
55,357.00,597.72
56,358.00,646.55
57,359.00,726.98
58,360.00,830.50
59,361.00,906.80
60,362.00,981.26
61,363.00,1053.26
62,364.00,1115.12
63,365.00,1152.72
64,366.00,1185.83
65,367.00,1202.72
66,368.00,1213.61
67,369.00,1195.73
68,370.00,1184.80
69,371.00,1166.98
70,372.00,1141.66
71,373.00,1122.13
72,374.00,1085.92
73,375.00,1082.09
74,376.00,1031.06
75,377.00,999.31
76,378.00,944.45
77,379.00,902.84
78,380.00,820.92
79,381.00,747.14
80,382.00,681.32
81,383.00,590.46
82,384.00,554.84
83,385.00,470.82
84,386.00,435.70
85,387.00,401.68
86,388.00,369.48
87,389.00,329.20
88,390.00,284.38
89,391.00,275.04
90,392.00,223.13
91,393.00,189.61
92,394.00,145.75
93,395.00,157.55
94,396.00,142.07
95,397.00,129.16
96,398.00,131.65
97,399.00,125.03
98,400.00,142.50
99,401.00,127.86
100,402.00,117.43
101,403.00,101.19
102,404.00,101.70
103,405.00,70.37
104,406.00,74.83
105,407.00,64.85
106,408.00,60.99
107,409.00,59.15
108,410.00,66.15
109,411.00,55.92
110,412.00,45.55
111,413.00,41.14
112,414.00,40.71
113,415.00,33.23
114,416.00,22.54
115,417.00,21.69
116,418.00,20.19
117,419.00,19.89
118,420.00,20.48
119,421.00,15.70
120,422.00,22.03
121,423.00,17.67
122,424.00,20.08
123,425.00,20.77
124,426.00,23.18
125,427.00,21.09
126,428.00,22.11
127,429.00,22.23
128,430.00,17.38
129,431.00,8.40
130,432.00,18.57
131,433.00,9.23
132,434.00,9.97
133,435.00,5.48
134,436.00,7.97
135,437.00,1.62
136,438.00,4.95
137,439.00,2.09
138,440.00,5.03
139,441.00,6.46
140,442.00,10.83
141,443.00,13.08
142,444.00,16.38
143,445.00,23.68
144,446.00,28.78
145,447.00,27.54
146,448.00,26.67
147,449.00,24.07
148,450.00,16.30
149,451.00,15.40
150,452.00,13.52
151,453.00,14.84
152,454.00,18.38
153,455.00,22.18
154,456.00,25.11
155,457.00,35.90
156,458.00,50.04
157,459.00,65.80
158,460.00,84.80
159,461.00,95.93
160,462.00,121.34
161,463.00,159.64
162,464.00,208.36
163,465.00,221.06
164,466.00,275.36
165,467.00,340.19
166,468.00,311.25
167,469.00,247.85
168,470.00,196.54
169,471.00,297.77
170,472.00,180.31
171,473.00,113.33
172,474.00,138.84
173,475.00,147.27
174,476.00,114.07
175,477.00,134.62
176,478.00,227.65
177,479.00,238.26
178,480.00,252.00
179,481.00,423.87
180,482.00,630.32
181,483.00,733.94
182,484.00,862.22
183,485.00,1089.81
184,486.00,1207.72
185,487.00,1174.91
186,488.00,1164.78
187,489.00,1224.04
188,490.00,1254.32
189,491.00,1227.78
190,492.00,1272.99
191,493.00,1404.47
192,494.00,1545.91
193,495.00,1675.58
194,496.00,1773.85
195,497.00,2062.52
196,498.00,2230.80
197,499.00,2464.82
198,500.00,2630.58
199,501.00,3105.66
200,502.00,3407.76
201,503.00,3729.26
202,504.00,4093.64
203,505.00,4564.82
204,506.00,5156.66
205,507.00,5926.70
206,508.00,7097.40
207,509.00,8776.75
208,510.00,11233.22
209,511.00,14988.01
210,512.00,20283.50
211,513.00,27179.72
212,514.00,36167.08
213,515.00,44980.07
214,516.00,52551.39
215,517.00,55504.04
216,518.00,52881.71
217,519.00,44961.60
