ENLIGHTEN Version,4.1.44
Measurement ID,20260406-120343-106898-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_03_43 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,392
Timestamp,2026-04-06 12:03:41.321778
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,2028.94
1,303.00,2158.05
2,304.00,2319.00
3,305.00,2515.26
4,306.00,2715.16
5,307.00,2892.14
6,308.00,3040.59
7,309.00,3115.09
8,310.00,3097.27
9,311.00,3021.52
10,312.00,2909.89
11,313.00,2753.85
12,314.00,2601.11
13,315.00,2469.99
14,316.00,2410.75
15,317.00,2346.99
16,318.00,2281.73
17,319.00,2251.88
18,320.00,2248.29
19,321.00,2303.14
20,322.00,2375.48
21,323.00,2497.24
22,324.00,2743.97
23,325.00,3060.59
24,326.00,3545.95
25,327.00,4112.69
26,328.00,4874.66
27,329.00,5715.07
28,330.00,6725.95
29,331.00,7673.45
30,332.00,8558.76
31,333.00,9263.11
32,334.00,9475.97
33,335.00,9535.62
34,336.00,9035.28
35,337.00,8363.17
36,338.00,7425.11
37,339.00,6463.03
38,340.00,5441.59
39,341.00,4608.97
40,342.00,3846.59
41,343.00,3247.06
42,344.00,2756.26
43,345.00,2403.97
44,346.00,2093.28
45,347.00,1879.39
46,348.00,1700.14
47,349.00,1553.62
48,350.00,1392.30
49,351.00,1274.80
50,352.00,1122.01
51,353.00,1000.22
52,354.00,874.66
53,355.00,747.08
54,356.00,633.11
55,357.00,536.20
56,358.00,469.74
57,359.00,423.16
58,360.00,383.69
59,361.00,357.02
60,362.00,335.33
61,363.00,307.55
62,364.00,321.75
63,365.00,313.59
64,366.00,337.42
65,367.00,343.76
66,368.00,370.01
67,369.00,392.07
68,370.00,443.61
69,371.00,504.05
70,372.00,597.93
71,373.00,762.87
72,374.00,968.01
73,375.00,1233.88
74,376.00,1592.20
75,377.00,2054.00
76,378.00,2627.31
77,379.00,3204.67
78,380.00,3827.77
79,381.00,4287.68
80,382.00,4499.55
81,383.00,4508.82
82,384.00,4271.71
83,385.00,3845.81
84,386.00,3347.35
85,387.00,2793.18
86,388.00,2332.91
87,389.00,1928.05
88,390.00,1606.15
89,391.00,1352.52
90,392.00,1160.32
91,393.00,1022.50
92,394.00,880.07
93,395.00,760.33
94,396.00,685.25
95,397.00,602.96
96,398.00,550.41
97,399.00,474.49
98,400.00,429.26
99,401.00,358.87
100,402.00,331.25
101,403.00,271.62
102,404.00,226.37
103,405.00,185.98
104,406.00,149.65
105,407.00,133.33
106,408.00,106.09
107,409.00,98.11
108,410.00,84.23
109,411.00,72.28
110,412.00,73.16
111,413.00,54.42
112,414.00,53.84
113,415.00,36.21
114,416.00,45.58
115,417.00,30.06
116,418.00,40.24
117,419.00,31.00
118,420.00,34.71
119,421.00,26.71
120,422.00,25.00
121,423.00,15.03
122,424.00,12.62
123,425.00,9.74
124,426.00,11.63
125,427.00,12.86
126,428.00,12.39
127,429.00,14.40
128,430.00,15.65
129,431.00,16.33
130,432.00,13.12
131,433.00,16.09
132,434.00,12.68
133,435.00,13.99
134,436.00,7.14
135,437.00,4.64
136,438.00,8.90
137,439.00,6.81
138,440.00,7.26
139,441.00,5.95
140,442.00,4.24
141,443.00,4.78
142,444.00,5.74
143,445.00,3.77
144,446.00,7.43
145,447.00,2.45
146,448.00,6.74
147,449.00,1.72
148,450.00,6.50
149,451.00,2.33
150,452.00,7.50
151,453.00,5.26
