ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112036-183910-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_20_36 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:20:34.610017
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,14.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,1039.10
1,303.00,1032.07
2,304.00,1029.61
3,305.00,1000.83
4,306.00,965.23
5,307.00,910.79
6,308.00,862.90
7,309.00,807.81
8,310.00,780.07
9,311.00,746.80
10,312.00,729.52
11,313.00,705.68
12,314.00,679.76
13,315.00,683.79
14,316.00,717.90
15,317.00,732.82
16,318.00,765.10
17,319.00,813.78
18,320.00,901.39
19,321.00,988.45
20,322.00,1098.76
21,323.00,1207.86
22,324.00,1339.06
23,325.00,1460.46
24,326.00,1655.82
25,327.00,1823.71
26,328.00,2011.47
27,329.00,2264.31
28,330.00,2527.93
29,331.00,2831.31
30,332.00,3202.55
31,333.00,3621.79
32,334.00,4118.89
33,335.00,4624.97
34,336.00,5170.50
35,337.00,5744.67
36,338.00,6278.10
37,339.00,6802.58
38,340.00,7296.40
39,341.00,7723.72
40,342.00,8098.35
41,343.00,8402.88
42,344.00,8590.53
43,345.00,8733.37
44,346.00,8739.43
45,347.00,8643.03
46,348.00,8434.06
47,349.00,8073.67
48,350.00,7661.97
49,351.00,7106.73
50,352.00,6622.43
51,353.00,6014.10
52,354.00,5468.83
53,355.00,4942.05
54,356.00,4430.95
55,357.00,3983.11
56,358.00,3581.26
57,359.00,3197.08
58,360.00,2824.32
59,361.00,2485.34
60,362.00,2168.30
61,363.00,1865.73
62,364.00,1581.68
63,365.00,1349.72
64,366.00,1170.74
65,367.00,1029.99
66,368.00,898.44
67,369.00,818.31
68,370.00,763.02
69,371.00,741.54
70,372.00,710.69
71,373.00,687.44
72,374.00,686.77
73,375.00,665.08
74,376.00,628.01
75,377.00,583.90
76,378.00,542.19
77,379.00,473.56
78,380.00,422.86
79,381.00,381.30
80,382.00,347.36
81,383.00,339.66
82,384.00,318.45
83,385.00,325.98
84,386.00,317.54
85,387.00,347.11
86,388.00,343.68
87,389.00,386.29
88,390.00,398.14
89,391.00,410.04
90,392.00,408.78
91,393.00,408.09
92,394.00,397.16
93,395.00,386.19
94,396.00,343.32
95,397.00,331.81
96,398.00,280.92
97,399.00,254.53
98,400.00,213.00
99,401.00,198.08
100,402.00,178.40
101,403.00,161.33
102,404.00,157.73
103,405.00,159.63
104,406.00,173.53
105,407.00,180.67
106,408.00,231.78
107,409.00,241.62
108,410.00,301.02
109,411.00,332.40
110,412.00,380.43
111,413.00,401.40
112,414.00,474.20
113,415.00,501.45
114,416.00,547.31
115,417.00,544.70
116,418.00,590.48
117,419.00,569.37
118,420.00,621.48
119,421.00,584.50
120,422.00,604.51
121,423.00,589.45
122,424.00,619.75
123,425.00,603.63
124,426.00,580.76
125,427.00,571.57
126,428.00,559.38
127,429.00,529.94
128,430.00,549.49
129,431.00,545.39
130,432.00,586.65
131,433.00,635.22
132,434.00,682.60
133,435.00,786.89
134,436.00,870.47
135,437.00,1004.91
136,438.00,1113.26
137,439.00,1265.35
138,440.00,1401.26
139,441.00,1553.83
140,442.00,1700.13
141,443.00,1818.54
142,444.00,1987.68
143,445.00,2134.87
144,446.00,2288.64
145,447.00,2458.43
146,448.00,2610.76
147,449.00,2798.29
148,450.00,3002.57
149,451.00,3226.00
150,452.00,3540.50
151,453.00,3863.91
152,454.00,4269.87
153,455.00,4753.00
154,456.00,5399.00
155,457.00,6177.64
156,458.00,7054.31
157,459.00,8088.27
158,460.00,9171.73
159,461.00,10185.13
160,462.00,10962.22
161,463.00,11465.05
162,464.00,11630.67
163,465.00,11321.40
164,466.00,10774.53
165,467.00,10046.55
166,468.00,9207.62
167,469.00,8435.01
168,470.00,7717.75
169,471.00,7202.14
170,472.00,6841.53
171,473.00,6690.10
172,474.00,6673.28
173,475.00,6820.74
174,476.00,7110.07
175,477.00,7509.41
176,478.00,7958.17
177,479.00,8403.78
178,480.00,8808.57
179,481.00,9159.97
180,482.00,9419.36
181,483.00,9542.88
182,484.00,9611.53
183,485.00,9476.18
184,486.00,9307.72
185,487.00,8935.80
186,488.00,8555.85
187,489.00,8071.73
188,490.00,7609.35
189,491.00,7067.66
190,492.00,6589.80
191,493.00,6037.64
192,494.00,5560.46
193,495.00,5017.56
194,496.00,4537.68
195,497.00,4015.93
196,498.00,3558.07
197,499.00,3083.87
198,500.00,2638.70
199,501.00,2249.12
200,502.00,1932.18
201,503.00,1639.62
202,504.00,1416.67
203,505.00,1238.17
204,506.00,1077.35
205,507.00,952.51
206,508.00,834.58
207,509.00,740.43
208,510.00,659.11
209,511.00,588.33
210,512.00,529.40
211,513.00,490.98
212,514.00,440.07
213,515.00,430.05
214,516.00,381.25
215,517.00,361.97
216,518.00,347.16
217,519.00,346.33
218,520.00,355.55
219,521.00,366.39
220,522.00,365.61
221,523.00,387.48
222,524.00,378.57
223,525.00,383.07
224,526.00,359.86
225,527.00,351.65
226,528.00,324.41
227,529.00,315.33
228,530.00,312.48
229,531.00,315.61
230,532.00,312.30
231,533.00,318.21
232,534.00,338.16
233,535.00,341.30
234,536.00,336.60
235,537.00,345.29
236,538.00,358.21
237,539.00,355.77
238,540.00,377.54
239,541.00,388.37
240,542.00,433.52
241,543.00,464.43
242,544.00,533.70
243,545.00,579.51
244,546.00,649.73
245,547.00,734.33
246,548.00,802.30
247,549.00,889.41
248,550.00,972.61
249,551.00,1045.07
250,552.00,1130.92
251,553.00,1205.89
252,554.00,1244.94
253,555.00,1299.65
254,556.00,1307.10
255,557.00,1367.85
256,558.00,1360.89
257,559.00,1423.24
258,560.00,1394.99
259,561.00,1432.74
260,562.00,1418.29
261,563.00,1414.02
262,564.00,1342.62
263,565.00,1290.69
264,566.00,1190.86
265,567.00,1116.63
266,568.00,1008.04
267,569.00,910.51
268,570.00,850.36
269,571.00,792.08
270,572.00,739.47
271,573.00,693.97
272,574.00,676.74
273,575.00,700.41
274,576.00,707.22
275,577.00,711.82
276,578.00,758.41
277,579.00,803.84
278,580.00,889.64
279,581.00,897.92
280,582.00,958.24
281,583.00,987.57
282,584.00,1052.38
283,585.00,1037.97
284,586.00,1080.04
285,587.00,1100.78
286,588.00,1144.76
287,589.00,1108.96
288,590.00,1165.84
289,591.00,1194.30
290,592.00,1290.16
291,593.00,1391.27
292,594.00,1534.19
293,595.00,1731.77
294,596.00,1917.73
295,597.00,2128.53
296,598.00,2294.22
297,599.00,2452.15
298,600.00,2511.78
299,601.00,2616.78
300,602.00,2624.39
301,603.00,2697.31
302,604.00,2730.14
303,605.00,2880.28
304,606.00,3081.31
305,607.00,3364.97
306,608.00,3705.60
307,609.00,4085.09
308,610.00,4522.63
309,611.00,4947.49
310,612.00,5311.21
311,613.00,5592.82
312,614.00,5773.18
313,615.00,5895.91
314,616.00,5858.89
315,617.00,5818.03
316,618.00,5615.69
317,619.00,5391.04
318,620.00,5065.74
319,621.00,4726.47
320,622.00,4282.10
321,623.00,3855.01
322,624.00,3380.08
323,625.00,2933.15
324,626.00,2507.08
325,627.00,2126.15
326,628.00,1769.40
327,629.00,1488.05
328,630.00,1251.08
329,631.00,1040.28
330,632.00,897.60
331,633.00,758.69
332,634.00,656.67
333,635.00,549.19
334,636.00,469.06
335,637.00,404.89
336,638.00,363.89
337,639.00,319.41
338,640.00,286.58
339,641.00,263.49
340,642.00,244.02
341,643.00,220.73
342,644.00,186.98
343,645.00,174.28
344,646.00,151.67
345,647.00,139.67
346,648.00,133.36
347,649.00,123.85
348,650.00,116.76
349,651.00,130.29
350,652.00,129.94
351,653.00,141.08
352,654.00,159.97
353,655.00,169.86
354,656.00,185.98
355,657.00,199.68
356,658.00,205.70
357,659.00,231.93
358,660.00,244.43
359,661.00,236.23
360,662.00,243.82
361,663.00,256.10
362,664.00,256.03
363,665.00,239.36
364,666.00,236.63
365,667.00,245.43
366,668.00,260.33
367,669.00,261.74
368,670.00,286.44
369,671.00,293.23
370,672.00,324.96
371,673.00,346.03
372,674.00,367.52
373,675.00,391.86
374,676.00,410.49
375,677.00,440.95
376,678.00,467.02
377,679.00,501.25
378,680.00,540.39
379,681.00,602.98
380,682.00,675.43
381,683.00,763.29
382,684.00,846.38
383,685.00,940.79
384,686.00,1014.76
385,687.00,1111.69
386,688.00,1214.22
387,689.00,1299.91
388,690.00,1432.02
389,691.00,1544.86
390,692.00,1684.66
391,693.00,1880.31
392,694.00,2112.85
393,695.00,2413.78
394,696.00,2747.33
395,697.00,3155.56
396,698.00,3595.97
397,699.00,4081.79
398,700.00,4567.52
399,701.00,4991.82
400,702.00,5309.06
401,703.00,5506.53
402,704.00,5521.36
403,705.00,5457.34
404,706.00,5293.42
405,707.00,5150.04
406,708.00,5008.66
407,709.00,4934.45
408,710.00,4916.80
409,711.00,4963.69
410,712.00,5015.89
411,713.00,5085.64
412,714.00,5060.53
413,715.00,4998.16
414,716.00,4757.23
415,717.00,4490.13
416,718.00,4081.57
417,719.00,3697.80
418,720.00,3245.37
419,721.00,2875.14
420,722.00,2505.16
421,723.00,2205.14
422,724.00,1913.93
423,725.00,1678.90
424,726.00,1478.23
425,727.00,1279.26
426,728.00,1120.81
427,729.00,962.56
428,730.00,843.24
429,731.00,723.21
430,732.00,637.27
431,733.00,544.34
432,734.00,483.61
433,735.00,432.89
434,736.00,398.01
435,737.00,369.84
436,738.00,340.97
437,739.00,311.88
438,740.00,289.21
439,741.00,273.07
440,742.00,252.65
441,743.00,237.92
442,744.00,219.30
443,745.00,205.47
444,746.00,203.91
445,747.00,195.39
446,748.00,190.98
447,749.00,176.07
448,750.00,180.15
449,751.00,167.72
450,752.00,174.28
451,753.00,157.83
452,754.00,165.80
453,755.00,157.55
454,756.00,168.83
455,757.00,151.45
456,758.00,159.45
457,759.00,154.38
458,760.00,159.83
459,761.00,148.65
460,762.00,149.84
461,763.00,143.19
462,764.00,143.71
463,765.00,135.03
464,766.00,132.06
465,767.00,135.43
466,768.00,146.64
467,769.00,162.19
468,770.00,174.58
469,771.00,190.82
470,772.00,199.39
471,773.00,214.23
472,774.00,219.17
473,775.00,223.12
474,776.00,228.51
475,777.00,242.40
476,778.00,238.66
477,779.00,247.49
478,780.00,255.41
479,781.00,271.80
480,782.00,271.97
481,783.00,264.70
482,784.00,253.53
483,785.00,244.93
484,786.00,253.05
485,787.00,236.72
486,788.00,240.80
487,789.00,218.76
488,790.00,234.17
489,791.00,215.12
490,792.00,222.05
491,793.00,217.13
492,794.00,234.39
493,795.00,227.02
494,796.00,238.83
495,797.00,231.32
496,798.00,236.47
497,799.00,231.06
498,800.00,229.28
499,801.00,209.56
500,802.00,211.82
501,803.00,187.95
502,804.00,190.90
503,805.00,164.86
504,806.00,179.50
505,807.00,167.28
506,808.00,184.13
507,809.00,181.54
508,810.00,189.75
509,811.00,208.50
510,812.00,217.78
511,813.00,217.94
512,814.00,214.23
513,815.00,230.93
514,816.00,210.72
515,817.00,213.91
516,818.00,205.64
517,819.00,203.34
518,820.00,207.36
519,821.00,218.78
520,822.00,239.62
521,823.00,248.94
522,824.00,294.20
523,825.00,287.16
524,826.00,338.87
525,827.00,300.82
526,828.00,324.84
527,829.00,261.80
528,830.00,247.09
529,831.00,194.85
530,832.00,168.23
531,833.00,138.18
532,834.00,125.59
533,835.00,112.44
534,836.00,110.64
535,837.00,102.80
536,838.00,119.24
537,839.00,108.41
538,840.00,123.67
539,841.00,121.97
540,842.00,134.78
541,843.00,126.95
542,844.00,126.91
543,845.00,121.98
544,846.00,126.89
545,847.00,124.77
546,848.00,122.52
547,849.00,114.31
548,850.00,116.13
549,851.00,118.02
550,852.00,126.19
551,853.00,130.02
552,854.00,146.43
553,855.00,157.64
554,856.00,178.12
555,857.00,190.54
556,858.00,216.19
557,859.00,216.16
558,860.00,237.52
559,861.00,238.44
560,862.00,254.44
561,863.00,256.36
562,864.00,263.30
563,865.00,279.01
564,866.00,308.99
565,867.00,324.75
566,868.00,379.14
567,869.00,450.54
568,870.00,521.68
569,871.00,595.55
570,872.00,681.04
571,873.00,762.37
572,874.00,854.69
573,875.00,941.17
574,876.00,1015.61
575,877.00,1109.39
576,878.00,1190.19
577,879.00,1358.32
578,880.00,1509.66
579,881.00,1710.08
580,882.00,1970.00
581,883.00,2221.28
582,884.00,2558.67
583,885.00,2968.15
584,886.00,3333.98
585,887.00,3842.84
586,888.00,4308.47
587,889.00,4940.56
588,890.00,5698.23
589,891.00,6541.58
590,892.00,7543.58
591,893.00,9084.86
592,894.00,11075.61
593,895.00,13549.47
594,896.00,16525.21
595,897.00,19621.24
596,898.00,22865.48
597,899.00,24976.42
598,900.00,26148.44
599,901.00,25369.75
600,902.00,23338.11
601,903.00,20155.50
602,904.00,16852.20
603,905.00,13594.64
604,906.00,11039.38
605,907.00,9145.23
606,908.00,7995.53
607,909.00,7563.26
608,910.00,7755.72
609,911.00,8715.24
610,912.00,10480.34
611,913.00,13185.61
612,914.00,16854.07
613,915.00,20999.96
614,916.00,25197.46
615,917.00,28253.36
616,918.00,29397.00
617,919.00,28091.19
618,920.00,24679.19
619,921.00,20398.55
620,922.00,15878.05
621,923.00,12064.88
622,924.00,8929.70
623,925.00,6771.10
624,926.00,5216.59
625,927.00,4237.13
626,928.00,3591.72
627,929.00,3236.92
628,930.00,3101.89
629,931.00,3117.90
630,932.00,3204.62
631,933.00,3445.99
632,934.00,3787.26
633,935.00,4241.76
634,936.00,4771.16
635,937.00,5508.41
636,938.00,6506.23
637,939.00,7666.81
638,940.00,9125.23
639,941.00,10776.70
640,942.00,12418.15
641,943.00,13815.09
642,944.00,14616.50
643,945.00,14554.80
644,946.00,13717.49
645,947.00,12219.44
646,948.00,10527.38
647,949.00,8969.44
648,950.00,7878.32
649,951.00,7289.67
650,952.00,7318.73
651,953.00,8037.71
652,954.00,9556.61
653,955.00,11871.54
654,956.00,15121.02
655,957.00,18965.63
656,958.00,22864.64
657,959.00,25614.77
658,960.00,26474.42
659,961.00,24939.77
660,962.00,21489.54
661,963.00,17214.25
662,964.00,12979.60
663,965.00,9498.77
664,966.00,6869.18
665,967.00,4990.01
666,968.00,3741.37
667,969.00,2922.43
668,970.00,2375.48
669,971.00,2019.38
670,972.00,1780.64
671,973.00,1585.12
672,974.00,1451.90
673,975.00,1337.03
674,976.00,1218.94
675,977.00,1123.14
676,978.00,1040.79
677,979.00,999.43
678,980.00,971.05
679,981.00,1001.48
680,982.00,1075.62
681,983.00,1239.45
682,984.00,1519.90
683,985.00,1951.72
684,986.00,2588.41
685,987.00,3511.39
686,988.00,4703.20
687,989.00,6109.58
688,990.00,7445.95
689,991.00,8551.04
690,992.00,8854.89
691,993.00,8499.07
692,994.00,7307.98
693,995.00,5874.99
694,996.00,4389.82
695,997.00,3169.66
696,998.00,2209.41
697,999.00,1569.44
698,1000.00,1125.68
699,1001.00,875.78
700,1002.00,715.57
701,1003.00,598.99
702,1004.00,530.79
703,1005.00,465.51
704,1006.00,418.11
705,1007.00,350.87
706,1008.00,249.58
707,1009.00,160.36
708,1010.00,80.32
709,1011.00,38.24
710,1012.00,8.46
711,1013.00,2.22
712,1014.00,0.38
713,1015.00,0.08
714,1016.00,0.00
715,1017.00,0.00
716,1018.00,0.00
717,1019.00,0.00
718,1020.00,0.00
719,1021.00,0.00
720,1022.00,0.02
721,1023.00,0.09
722,1024.00,0.72
723,1025.00,2.45
724,1026.00,14.72
725,1027.00,30.83
726,1028.00,92.88
727,1029.00,157.69
728,1030.00,225.09
729,1031.00,314.70
730,1032.00,349.48
731,1033.00,416.46
732,1034.00,461.16
733,1035.00,538.85
734,1036.00,679.32
735,1037.00,876.39
736,1038.00,1131.00
737,1039.00,1573.85
738,1040.00,2134.45
739,1041.00,2873.19
740,1042.00,3672.73
741,1043.00,4431.48
742,1044.00,4865.76
743,1045.00,4873.00
744,1046.00,4436.19
745,1047.00,3596.90
746,1048.00,2725.64
747,1049.00,1892.35
748,1050.00,1235.03
749,1051.00,800.05
750,1052.00,508.57
751,1053.00,335.20
752,1054.00,237.78
753,1055.00,175.23
754,1056.00,147.05
755,1057.00,130.77
756,1058.00,123.97
757,1059.00,146.19
758,1060.00,156.63
759,1061.00,179.05
760,1062.00,250.14
761,1063.00,298.80
762,1064.00,364.38
763,1065.00,422.14
764,1066.00,515.78
765,1067.00,624.50
766,1068.00,707.32
767,1069.00,831.32
768,1070.00,995.42
769,1071.00,1230.27
770,1072.00,1612.23
771,1073.00,2174.06
772,1074.00,3067.70
773,1075.00,4352.47
774,1076.00,6143.17
775,1077.00,8407.46
776,1078.00,11111.58
777,1079.00,13393.88
778,1080.00,15320.40
779,1081.00,15751.81
780,1082.00,15168.00
781,1083.00,13499.72
782,1084.00,11317.86
783,1085.00,9225.34
784,1086.00,7285.78
785,1087.00,5862.87
786,1088.00,4852.95
787,1089.00,4181.78
788,1090.00,3737.94
789,1091.00,3556.92
790,1092.00,3471.95
791,1093.00,3574.10
792,1094.00,3718.43
793,1095.00,4004.27
794,1096.00,4388.71
795,1097.00,4973.54
796,1098.00,5833.81
797,1099.00,7007.05
798,1100.00,8781.68
799,1101.00,11096.70
800,1102.00,14206.06
801,1103.00,17717.85
802,1104.00,21232.75
803,1105.00,23933.38
804,1106.00,24773.04
805,1107.00,23744.43
806,1108.00,20754.59
807,1109.00,17040.20
808,1110.00,13229.59
809,1111.00,10017.45
810,1112.00,7555.51
811,1113.00,5834.79
812,1114.00,4664.43
813,1115.00,3925.97
814,1116.00,3411.98
815,1117.00,3097.15
816,1118.00,2935.29
817,1119.00,2826.86
818,1120.00,2692.74
819,1121.00,2598.06
820,1122.00,2505.32
821,1123.00,2409.96
822,1124.00,2312.74
823,1125.00,2255.67
824,1126.00,2297.62
825,1127.00,2443.30
826,1128.00,2780.27
827,1129.00,3329.01
828,1130.00,4289.73
829,1131.00,5656.59
830,1132.00,7597.52
831,1133.00,10048.63
832,1134.00,12711.29
833,1135.00,15064.71
834,1136.00,16340.03
835,1137.00,16084.50
836,1138.00,14426.84
837,1139.00,11714.69
838,1140.00,8846.47
839,1141.00,6275.05
840,1142.00,4252.81
841,1143.00,2908.65
842,1144.00,1988.35
843,1145.00,1418.28
844,1146.00,1048.41
845,1147.00,798.47
846,1148.00,650.57
847,1149.00,535.08
848,1150.00,449.64
849,1151.00,392.56
850,1152.00,326.35
851,1153.00,231.54
852,1154.00,237.95
853,1155.00,195.42
854,1156.00,163.72
855,1157.00,126.25
856,1158.00,116.76
857,1159.00,105.81
858,1160.00,90.09
859,1161.00,76.30
860,1162.00,89.41
861,1163.00,110.38
862,1164.00,118.14
863,1165.00,127.49
864,1166.00,153.45
865,1167.00,172.67
866,1168.00,162.59
867,1169.00,144.72
868,1170.00,146.52
869,1171.00,153.19
870,1172.00,123.92
871,1173.00,104.47
872,1174.00,116.25
873,1175.00,119.73
874,1176.00,121.41
875,1177.00,123.00
876,1178.00,139.73
877,1179.00,141.61
878,1180.00,151.49
879,1181.00,140.06
880,1182.00,145.29
881,1183.00,149.20
882,1184.00,120.86
883,1185.00,121.03
