ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112329-291879-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_23_29 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:23:28.030870
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,226.28
1,303.00,247.52
2,304.00,302.10
3,305.00,365.24
4,306.00,456.86
5,307.00,578.05
6,308.00,730.45
7,309.00,920.29
8,310.00,1127.97
9,311.00,1366.80
10,312.00,1639.22
11,313.00,1916.30
12,314.00,2189.51
13,315.00,2469.01
14,316.00,2702.51
15,317.00,2885.00
16,318.00,2980.69
17,319.00,2965.03
18,320.00,2905.31
19,321.00,2694.05
20,322.00,2455.86
21,323.00,2133.21
22,324.00,1844.02
23,325.00,1556.23
24,326.00,1340.83
25,327.00,1155.30
26,328.00,1049.06
27,329.00,953.03
28,330.00,943.31
29,331.00,929.40
30,332.00,997.17
31,333.00,1036.37
32,334.00,1138.12
33,335.00,1232.51
34,336.00,1376.50
35,337.00,1524.60
36,338.00,1696.01
37,339.00,1918.68
38,340.00,2155.41
39,341.00,2483.49
40,342.00,2863.36
41,343.00,3279.11
42,344.00,3759.60
43,345.00,4204.75
44,346.00,4588.53
45,347.00,4882.21
46,348.00,5013.80
47,349.00,4999.75
48,350.00,4838.46
49,351.00,4567.23
50,352.00,4260.39
51,353.00,3926.21
52,354.00,3653.06
53,355.00,3408.01
54,356.00,3239.12
55,357.00,3127.00
56,358.00,3098.78
57,359.00,3091.31
58,360.00,3181.95
59,361.00,3278.69
60,362.00,3454.26
61,363.00,3591.82
62,364.00,3728.66
63,365.00,3853.43
64,366.00,3948.15
65,367.00,3980.51
66,368.00,3955.14
67,369.00,3857.17
68,370.00,3714.85
69,371.00,3557.45
70,372.00,3375.94
71,373.00,3186.51
72,374.00,3025.62
73,375.00,2829.92
74,376.00,2682.36
75,377.00,2487.24
76,378.00,2312.64
77,379.00,2109.58
78,380.00,1917.94
79,381.00,1699.02
80,382.00,1497.57
81,383.00,1302.96
82,384.00,1140.33
83,385.00,982.64
84,386.00,851.14
85,387.00,759.69
86,388.00,689.92
87,389.00,630.68
88,390.00,572.66
89,391.00,522.00
90,392.00,497.33
91,393.00,473.34
92,394.00,448.81
93,395.00,431.86
94,396.00,390.81
95,397.00,369.31
96,398.00,330.67
97,399.00,295.68
98,400.00,263.50
99,401.00,232.73
100,402.00,202.06
101,403.00,174.31
102,404.00,144.33
103,405.00,142.69
104,406.00,141.91
105,407.00,155.52
106,408.00,153.21
107,409.00,192.30
108,410.00,239.56
109,411.00,297.23
110,412.00,366.30
111,413.00,452.32
112,414.00,534.96
113,415.00,656.35
114,416.00,778.49
115,417.00,961.06
116,418.00,1149.32
117,419.00,1389.87
118,420.00,1660.89
119,421.00,1971.79
120,422.00,2249.78
121,423.00,2584.13
122,424.00,2880.41
123,425.00,3168.18
124,426.00,3392.70
125,427.00,3601.15
126,428.00,3734.00
127,429.00,3894.35
128,430.00,3982.03
129,431.00,4069.19
130,432.00,4104.16
131,433.00,4119.06
132,434.00,4062.20
133,435.00,3967.01
134,436.00,3806.72
135,437.00,3608.37
136,438.00,3385.59
137,439.00,3133.54
138,440.00,2887.22
139,441.00,2635.20
140,442.00,2429.51
141,443.00,2226.61
142,444.00,2079.80
143,445.00,1939.89
144,446.00,1848.41
145,447.00,1754.52
146,448.00,1688.66
147,449.00,1619.90
148,450.00,1566.76
149,451.00,1516.48
150,452.00,1500.63
151,453.00,1484.50
152,454.00,1491.76
153,455.00,1516.78
154,456.00,1583.36
155,457.00,1647.57
156,458.00,1739.23
157,459.00,1831.26
158,460.00,1927.15
159,461.00,1989.33
160,462.00,2001.57
161,463.00,2001.24
162,464.00,1924.56
163,465.00,1815.26
164,466.00,1660.61
165,467.00,1494.41
166,468.00,1308.59
167,469.00,1146.09
168,470.00,986.24
169,471.00,837.80
170,472.00,714.65
171,473.00,578.66
172,474.00,471.07
173,475.00,383.32
174,476.00,306.31
175,477.00,241.73
176,478.00,179.86
177,479.00,127.19
178,480.00,102.51
179,481.00,56.97
180,482.00,52.75
181,483.00,27.31
182,484.00,24.53
183,485.00,6.81
184,486.00,12.62
185,487.00,5.36
186,488.00,11.99
187,489.00,9.18
188,490.00,21.64
189,491.00,26.68
190,492.00,51.62
191,493.00,75.11
192,494.00,141.19
193,495.00,201.51
194,496.00,243.94
195,497.00,328.70
196,498.00,351.22
197,499.00,384.34
198,500.00,351.20
199,501.00,371.32
200,502.00,327.18
201,503.00,325.62
202,504.00,273.81
203,505.00,277.74
204,506.00,251.32
205,507.00,263.19
206,508.00,248.14
207,509.00,273.09
208,510.00,292.27
209,511.00,332.39
210,512.00,358.56
211,513.00,432.43
212,514.00,492.55
213,515.00,589.07
214,516.00,700.93
215,517.00,855.47
216,518.00,1027.18
217,519.00,1230.04
218,520.00,1459.04
219,521.00,1736.35
220,522.00,2039.72
221,523.00,2420.68
222,524.00,2838.49
223,525.00,3335.40
224,526.00,3861.93
225,527.00,4430.94
226,528.00,5033.09
227,529.00,5517.09
228,530.00,5854.13
229,531.00,6024.56
230,532.00,5965.65
231,533.00,5742.21
232,534.00,5364.59
233,535.00,4984.16
234,536.00,4625.02
235,537.00,4341.52
236,538.00,4212.18
237,539.00,4157.78
238,540.00,4271.81
239,541.00,4463.14
240,542.00,4716.22
241,543.00,5018.10
242,544.00,5294.68
243,545.00,5516.87
244,546.00,5550.91
245,547.00,5487.62
246,548.00,5239.42
247,549.00,4953.94
248,550.00,4570.91
249,551.00,4244.03
250,552.00,3875.34
251,553.00,3609.07
252,554.00,3345.27
253,555.00,3168.58
254,556.00,2984.86
255,557.00,2830.55
256,558.00,2682.72
257,559.00,2537.08
258,560.00,2382.75
259,561.00,2209.10
260,562.00,2047.12
261,563.00,1877.51
262,564.00,1711.45
263,565.00,1551.60
264,566.00,1407.38
265,567.00,1273.59
266,568.00,1196.38
267,569.00,1096.98
268,570.00,1058.68
269,571.00,1006.75
270,572.00,1003.14
271,573.00,992.34
272,574.00,1028.80
273,575.00,1066.77
274,576.00,1165.34
275,577.00,1266.53
276,578.00,1441.24
277,579.00,1631.08
278,580.00,1868.18
279,581.00,2084.50
280,582.00,2316.57
281,583.00,2460.16
282,584.00,2538.00
283,585.00,2481.57
284,586.00,2325.45
285,587.00,2087.10
286,588.00,1807.75
287,589.00,1543.98
288,590.00,1308.92
289,591.00,1109.51
290,592.00,983.73
291,593.00,900.58
292,594.00,898.57
293,595.00,937.95
294,596.00,1070.04
295,597.00,1288.30
296,598.00,1629.86
297,599.00,2109.59
298,600.00,2720.11
299,601.00,3368.68
300,602.00,3996.77
301,603.00,4461.31
302,604.00,4556.73
303,605.00,4338.89
304,606.00,3849.50
305,607.00,3220.98
306,608.00,2583.09
307,609.00,2021.14
308,610.00,1555.85
309,611.00,1241.35
310,612.00,993.90
311,613.00,848.85
312,614.00,743.88
313,615.00,690.52
314,616.00,688.23
315,617.00,698.42
316,618.00,710.08
317,619.00,759.09
318,620.00,800.18
319,621.00,863.73
320,622.00,936.30
321,623.00,1023.94
322,624.00,1120.51
323,625.00,1191.58
324,626.00,1272.82
325,627.00,1393.44
326,628.00,1533.01
327,629.00,1734.29
328,630.00,2007.54
329,631.00,2365.40
330,632.00,2809.90
331,633.00,3416.10
332,634.00,4163.05
333,635.00,5070.69
334,636.00,6113.86
335,637.00,7193.85
336,638.00,8235.75
337,639.00,9164.14
338,640.00,9809.80
339,641.00,10108.63
340,642.00,10152.54
341,643.00,9860.70
342,644.00,9440.32
343,645.00,8817.21
344,646.00,8216.90
345,647.00,7546.73
346,648.00,6928.02
347,649.00,6313.12
348,650.00,5709.23
349,651.00,5205.52
350,652.00,4768.25
351,653.00,4482.94
352,654.00,4353.29
353,655.00,4369.61
354,656.00,4635.11
355,657.00,5042.02
356,658.00,5676.76
357,659.00,6468.32
358,660.00,7356.13
359,661.00,8165.05
360,662.00,8769.09
361,663.00,9051.92
362,664.00,8936.79
363,665.00,8452.59
364,666.00,7715.00
365,667.00,6829.54
366,668.00,5866.05
367,669.00,4981.96
368,670.00,4167.64
369,671.00,3450.24
370,672.00,2843.31
371,673.00,2326.66
372,674.00,1923.85
373,675.00,1607.83
374,676.00,1353.21
375,677.00,1135.07
376,678.00,960.89
377,679.00,809.32
378,680.00,694.96
379,681.00,596.87
380,682.00,535.63
381,683.00,463.12
382,684.00,402.53
383,685.00,360.83
384,686.00,318.88
385,687.00,292.21
386,688.00,260.39
387,689.00,239.05
388,690.00,222.28
389,691.00,211.41
390,692.00,199.29
391,693.00,200.65
392,694.00,207.05
393,695.00,209.61
394,696.00,245.08
395,697.00,252.05
396,698.00,264.85
397,699.00,247.80
398,700.00,298.32
399,701.00,277.75
400,702.00,291.46
401,703.00,249.66
402,704.00,281.41
403,705.00,250.65
404,706.00,269.69
405,707.00,238.94
406,708.00,262.32
407,709.00,234.86
408,710.00,239.77
409,711.00,180.18
410,712.00,177.56
411,713.00,124.64
412,714.00,123.06
413,715.00,82.94
414,716.00,75.76
415,717.00,62.89
416,718.00,53.77
417,719.00,56.03
418,720.00,46.62
419,721.00,40.55
420,722.00,36.95
421,723.00,34.73
422,724.00,39.04
423,725.00,42.67
424,726.00,49.11
425,727.00,63.65
426,728.00,77.52
427,729.00,100.86
428,730.00,129.66
429,731.00,169.77
430,732.00,192.77
431,733.00,224.01
432,734.00,250.19
433,735.00,276.03
434,736.00,288.78
435,737.00,325.72
436,738.00,368.98
437,739.00,416.96
438,740.00,486.65
439,741.00,569.96
440,742.00,662.53
441,743.00,788.64
442,744.00,890.81
443,745.00,1029.51
444,746.00,1133.48
445,747.00,1242.79
446,748.00,1310.67
447,749.00,1361.93
448,750.00,1401.06
449,751.00,1453.67
450,752.00,1464.93
451,753.00,1523.67
452,754.00,1563.02
453,755.00,1626.28
454,756.00,1707.89
455,757.00,1823.34
456,758.00,1957.29
457,759.00,2128.31
458,760.00,2312.54
459,761.00,2559.75
460,762.00,2813.78
461,763.00,3174.31
462,764.00,3560.89
463,765.00,4007.50
464,766.00,4519.74
465,767.00,5035.30
466,768.00,5565.28
467,769.00,6049.63
468,770.00,6435.69
469,771.00,6736.88
470,772.00,6911.37
471,773.00,6933.64
472,774.00,6804.11
473,775.00,6571.69
474,776.00,6212.78
475,777.00,5813.59
476,778.00,5334.56
477,779.00,4866.06
478,780.00,4365.35
479,781.00,3914.65
480,782.00,3462.51
481,783.00,3081.82
482,784.00,2696.76
483,785.00,2392.81
484,786.00,2138.22
485,787.00,1936.36
486,788.00,1795.13
487,789.00,1690.83
488,790.00,1670.65
489,791.00,1690.56
490,792.00,1772.60
491,793.00,1932.80
492,794.00,2173.70
493,795.00,2476.89
494,796.00,2878.96
495,797.00,3359.45
496,798.00,3877.98
497,799.00,4400.67
498,800.00,4788.68
499,801.00,5042.10
500,802.00,5035.07
501,803.00,4805.74
502,804.00,4295.94
503,805.00,3666.29
504,806.00,3009.71
505,807.00,2380.01
506,808.00,1878.92
507,809.00,1460.40
508,810.00,1141.74
509,811.00,888.18
510,812.00,717.77
511,813.00,592.69
512,814.00,487.18
513,815.00,400.75
514,816.00,325.72
515,817.00,265.53
516,818.00,219.14
517,819.00,178.20
518,820.00,161.13
519,821.00,134.42
520,822.00,135.56
521,823.00,120.75
522,824.00,134.50
523,825.00,156.17
524,826.00,203.59
525,827.00,275.07
526,828.00,359.97
527,829.00,490.57
528,830.00,626.09
529,831.00,692.35
530,832.00,642.50
531,833.00,539.20
532,834.00,364.94
533,835.00,211.61
534,836.00,102.21
535,837.00,42.34
536,838.00,25.87
537,839.00,7.52
538,840.00,5.00
539,841.00,2.70
540,842.00,2.21
541,843.00,2.71
542,844.00,3.91
543,845.00,9.69
544,846.00,16.95
545,847.00,35.31
546,848.00,65.37
547,849.00,105.35
548,850.00,174.18
549,851.00,264.47
550,852.00,361.39
551,853.00,494.34
552,854.00,665.99
553,855.00,903.45
554,856.00,1254.61
555,857.00,1720.96
556,858.00,2355.84
557,859.00,3069.27
558,860.00,3760.49
559,861.00,4233.97
560,862.00,4331.40
561,863.00,3977.46
562,864.00,3382.84
563,865.00,2567.10
564,866.00,1817.30
565,867.00,1259.42
566,868.00,861.86
567,869.00,601.01
568,870.00,436.41
569,871.00,331.50
570,872.00,280.65
571,873.00,257.55
572,874.00,263.77
573,875.00,270.03
574,876.00,329.70
575,877.00,378.22
576,878.00,477.10
577,879.00,568.43
578,880.00,692.18
579,881.00,808.30
580,882.00,905.60
581,883.00,1016.27
582,884.00,1120.79
583,885.00,1208.40
584,886.00,1310.56
585,887.00,1427.37
586,888.00,1545.35
587,889.00,1681.08
588,890.00,1790.07
589,891.00,1971.37
590,892.00,2092.82
591,893.00,2304.11
592,894.00,2484.89
593,895.00,2765.16
594,896.00,3045.85
595,897.00,3374.14
596,898.00,3681.10
597,899.00,3959.27
598,900.00,4065.07
599,901.00,4008.35
600,902.00,3732.87
601,903.00,3282.10
602,904.00,2797.49
603,905.00,2269.76
604,906.00,1802.16
605,907.00,1457.52
606,908.00,1231.97
607,909.00,1089.89
608,910.00,1037.02
609,911.00,1071.16
610,912.00,1196.12
611,913.00,1427.10
612,914.00,1726.90
613,915.00,2168.46
614,916.00,2713.99
615,917.00,3343.61
616,918.00,4022.07
617,919.00,4637.86
618,920.00,5126.90
619,921.00,5427.56
620,922.00,5396.89
621,923.00,5206.44
622,924.00,4750.16
623,925.00,4292.91
624,926.00,3772.05
625,927.00,3348.71
626,928.00,2996.01
627,929.00,2778.81
628,930.00,2639.05
629,931.00,2615.02
630,932.00,2684.59
631,933.00,2855.89
632,934.00,3070.80
633,935.00,3337.42
634,936.00,3603.30
635,937.00,3856.64
636,938.00,4044.16
637,939.00,4189.48
638,940.00,4330.19
639,941.00,4494.17
640,942.00,4765.44
641,943.00,5173.93
642,944.00,5828.16
643,945.00,6733.76
644,946.00,7941.02
645,947.00,9427.47
646,948.00,10908.09
647,949.00,12255.40
648,950.00,12795.99
649,951.00,12517.22
650,952.00,11183.70
651,953.00,9273.60
652,954.00,7087.33
653,955.00,5157.56
654,956.00,3693.13
655,957.00,2687.10
656,958.00,2050.79
657,959.00,1687.42
658,960.00,1546.73
659,961.00,1566.33
660,962.00,1785.71
661,963.00,2141.03
662,964.00,2697.75
663,965.00,3406.24
664,966.00,4155.27
665,967.00,4683.86
666,968.00,4879.46
667,969.00,4632.44
668,970.00,4051.77
669,971.00,3284.67
670,972.00,2612.15
671,973.00,2003.37
672,974.00,1609.25
673,975.00,1307.49
674,976.00,1181.80
675,977.00,1148.27
676,978.00,1231.45
677,979.00,1477.67
678,980.00,1890.28
679,981.00,2624.25
680,982.00,3609.12
681,983.00,4979.35
682,984.00,6432.03
683,985.00,7765.14
684,986.00,8335.05
685,987.00,8042.99
686,988.00,6873.63
687,989.00,5311.47
688,990.00,3795.89
689,991.00,2556.42
690,992.00,1685.45
691,993.00,1106.20
692,994.00,757.38
693,995.00,543.00
694,996.00,419.52
695,997.00,362.75
696,998.00,349.52
697,999.00,386.90
698,1000.00,466.29
699,1001.00,626.34
700,1002.00,868.10
701,1003.00,1250.35
702,1004.00,1816.02
703,1005.00,2497.85
704,1006.00,3329.72
705,1007.00,3889.88
