ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112405-321717-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_24_05 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:24:04.268576
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,10.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,520.07
1,303.00,588.05
2,304.00,709.62
3,305.00,868.25
4,306.00,1082.99
5,307.00,1324.31
6,308.00,1557.82
7,309.00,1744.63
8,310.00,1805.64
9,311.00,1752.83
10,312.00,1585.20
11,313.00,1346.21
12,314.00,1097.77
13,315.00,873.04
14,316.00,686.02
15,317.00,551.43
16,318.00,458.45
17,319.00,397.47
18,320.00,374.16
19,321.00,363.19
20,322.00,357.63
21,323.00,369.68
22,324.00,371.96
23,325.00,388.21
24,326.00,360.10
25,327.00,375.32
26,328.00,338.35
27,329.00,331.36
28,330.00,296.61
29,331.00,290.03
30,332.00,267.72
31,333.00,277.14
32,334.00,275.32
33,335.00,287.75
34,336.00,301.04
35,337.00,330.75
36,338.00,326.95
37,339.00,365.84
38,340.00,373.08
39,341.00,395.33
40,342.00,394.63
41,343.00,435.45
42,344.00,418.43
43,345.00,459.35
44,346.00,475.25
45,347.00,535.90
46,348.00,589.12
47,349.00,686.08
48,350.00,813.32
49,351.00,984.07
50,352.00,1214.93
51,353.00,1491.96
52,354.00,1820.68
53,355.00,2169.48
54,356.00,2529.41
55,357.00,2840.94
56,358.00,3079.11
57,359.00,3202.82
58,360.00,3197.81
59,361.00,3085.33
60,362.00,2883.33
61,363.00,2602.43
62,364.00,2279.96
63,365.00,1962.79
64,366.00,1668.49
65,367.00,1400.15
66,368.00,1157.46
67,369.00,990.00
68,370.00,840.41
