ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112430-975212-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_24_30 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:24:28.484125
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,2881.12
1,303.00,2857.55
2,304.00,2806.41
3,305.00,2675.38
4,306.00,2461.81
5,307.00,2237.86
6,308.00,2010.45
7,309.00,1823.14
8,310.00,1666.57
9,311.00,1549.68
10,312.00,1447.24
11,313.00,1404.65
12,314.00,1364.89
13,315.00,1334.70
14,316.00,1276.02
15,317.00,1250.10
16,318.00,1209.53
17,319.00,1134.04
18,320.00,1041.24
19,321.00,928.33
20,322.00,846.41
21,323.00,722.83
22,324.00,635.36
23,325.00,534.42
24,326.00,462.08
25,327.00,389.39
26,328.00,343.14
27,329.00,302.15
28,330.00,275.54
29,331.00,247.47
30,332.00,212.54
31,333.00,207.52
32,334.00,178.77
33,335.00,174.42
34,336.00,144.43
35,337.00,151.06
36,338.00,118.46
37,339.00,134.84
38,340.00,106.58
39,341.00,126.43
40,342.00,113.44
41,343.00,126.67
42,344.00,114.06
43,345.00,133.58
44,346.00,123.38
45,347.00,129.34
46,348.00,130.42
47,349.00,129.61
48,350.00,130.81
49,351.00,127.19
50,352.00,133.45
51,353.00,130.50
52,354.00,139.26
53,355.00,143.45
54,356.00,157.21
55,357.00,185.54
56,358.00,211.76
57,359.00,251.07
58,360.00,305.79
59,361.00,378.55
60,362.00,462.06
61,363.00,579.34
62,364.00,719.24
63,365.00,874.19
64,366.00,1055.54
65,367.00,1237.55
66,368.00,1430.23
67,369.00,1640.45
68,370.00,1822.88
69,371.00,2044.96
70,372.00,2235.81
71,373.00,2454.63
72,374.00,2680.64
73,375.00,2932.63
74,376.00,3229.35
75,377.00,3494.38
76,378.00,3805.31
77,379.00,4085.55
78,380.00,4346.69
79,381.00,4577.84
80,382.00,4781.82
81,383.00,4944.32
82,384.00,5083.50
83,385.00,5186.85
84,386.00,5278.79
85,387.00,5333.95
86,388.00,5403.65
87,389.00,5402.36
88,390.00,5388.32
89,391.00,5324.24
90,392.00,5254.49
91,393.00,5092.81
92,394.00,4873.70
93,395.00,4623.90
94,396.00,4330.60
95,397.00,4011.60
96,398.00,3678.40
97,399.00,3336.01
98,400.00,3025.39
99,401.00,2708.35
100,402.00,2431.56
101,403.00,2150.06
102,404.00,1932.88
103,405.00,1703.83
104,406.00,1525.48
105,407.00,1361.89
106,408.00,1209.00
107,409.00,1090.32
108,410.00,998.74
109,411.00,929.76
110,412.00,850.65
111,413.00,808.81
112,414.00,754.35
113,415.00,738.57
114,416.00,715.00
115,417.00,726.74
116,418.00,740.30
117,419.00,777.29
118,420.00,816.87
119,421.00,881.73
120,422.00,967.98
121,423.00,1047.59
122,424.00,1142.55
123,425.00,1218.75
124,426.00,1323.06
125,427.00,1391.06
126,428.00,1441.19
127,429.00,1480.14
128,430.00,1496.67
129,431.00,1487.38
130,432.00,1416.20
131,433.00,1344.96
132,434.00,1210.67
133,435.00,1052.25
134,436.00,862.97
135,437.00,688.92
136,438.00,520.61
137,439.00,391.21
138,440.00,278.70
139,441.00,224.91
140,442.00,164.55
141,443.00,143.38
142,444.00,104.67
143,445.00,103.78
144,446.00,85.14
145,447.00,87.83
146,448.00,81.12
147,449.00,84.07
148,450.00,84.02
149,451.00,104.11
150,452.00,115.27
151,453.00,140.67
152,454.00,174.58
153,455.00,215.14
154,456.00,285.69
155,457.00,363.87
156,458.00,439.44
157,459.00,533.24
158,460.00,606.19
159,461.00,687.76
160,462.00,744.85
161,463.00,827.06
162,464.00,889.21
163,465.00,950.35
164,466.00,1000.16
165,467.00,1068.95
166,468.00,1075.96
167,469.00,1146.24
168,470.00,1219.35
169,471.00,1300.34
170,472.00,1381.47
171,473.00,1513.44
172,474.00,1653.64
173,475.00,1857.91
174,476.00,2109.58
175,477.00,2396.77
176,478.00,2742.88
177,479.00,3136.82
178,480.00,3583.62
179,481.00,4042.05
180,482.00,4508.76
181,483.00,4969.41
182,484.00,5354.37
183,485.00,5716.62
184,486.00,5982.23
185,487.00,6173.98
186,488.00,6299.26
187,489.00,6349.49
188,490.00,6368.95
189,491.00,6333.01
190,492.00,6271.34
191,493.00,6136.65
192,494.00,5957.96
193,495.00,5713.10
194,496.00,5572.12
195,497.00,5281.93
196,498.00,4998.44
197,499.00,4700.26
198,500.00,4322.60
199,501.00,4012.97
200,502.00,3688.84
201,503.00,3454.95
202,504.00,3256.49
203,505.00,3115.57
204,506.00,3005.56
205,507.00,2941.16
206,508.00,2891.38
207,509.00,2859.32
208,510.00,2816.86
209,511.00,2782.30
210,512.00,2651.67
211,513.00,2573.13
212,514.00,2437.82
213,515.00,2324.42
214,516.00,2194.85
215,517.00,2092.95
216,518.00,2014.63
217,519.00,1948.08
218,520.00,1885.70
219,521.00,1859.18
220,522.00,1854.11
221,523.00,1868.83
222,524.00,1894.82
223,525.00,1924.42
224,526.00,1953.09
225,527.00,1993.38
226,528.00,2015.91
227,529.00,2074.27
228,530.00,2129.14
229,531.00,2197.77
230,532.00,2241.12
231,533.00,2289.61
232,534.00,2294.67
233,535.00,2296.84
234,536.00,2264.59
235,537.00,2207.02
236,538.00,2129.38
237,539.00,2029.20
238,540.00,1903.94
239,541.00,1794.75
240,542.00,1707.24
241,543.00,1605.68
242,544.00,1547.89
243,545.00,1482.10
244,546.00,1461.27
245,547.00,1436.60
246,548.00,1456.74
247,549.00,1491.55
248,550.00,1582.45
249,551.00,1678.41
250,552.00,1825.08
251,553.00,1989.42
252,554.00,2173.39
253,555.00,2374.93
254,556.00,2608.15
255,557.00,2837.22
256,558.00,3061.80
257,559.00,3328.97
