ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112547-666587-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_25_47 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:25:45.993152
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,15.2
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,53.97
1,303.00,61.44
2,304.00,83.48
3,305.00,112.13
4,306.00,123.23
5,307.00,173.89
6,308.00,208.44
7,309.00,275.98
8,310.00,309.96
9,311.00,375.59
10,312.00,382.81
11,313.00,427.59
12,314.00,470.54
13,315.00,501.09
14,316.00,536.80
15,317.00,574.28
16,318.00,627.29
17,319.00,689.71
18,320.00,782.18
19,321.00,859.85
20,322.00,948.44
21,323.00,1060.72
22,324.00,1118.91
23,325.00,1205.66
24,326.00,1254.22
25,327.00,1317.90
26,328.00,1336.60
27,329.00,1375.27
28,330.00,1385.78
29,331.00,1422.30
30,332.00,1462.66
31,333.00,1512.09
32,334.00,1587.65
33,335.00,1687.02
34,336.00,1796.97
35,337.00,1935.00
36,338.00,2064.36
37,339.00,2191.60
38,340.00,2336.71
39,341.00,2463.72
40,342.00,2572.65
41,343.00,2711.67
42,344.00,2847.00
43,345.00,2982.22
44,346.00,3146.06
45,347.00,3302.36
46,348.00,3505.25
47,349.00,3685.20
48,350.00,3871.36
49,351.00,4060.74
50,352.00,4246.51
51,353.00,4387.34
52,354.00,4502.41
53,355.00,4568.89
54,356.00,4601.76
55,357.00,4580.60
56,358.00,4525.76
57,359.00,4446.18
58,360.00,4402.45
59,361.00,4311.65
60,362.00,4239.95
61,363.00,4169.86
62,364.00,4076.35
63,365.00,4000.62
64,366.00,3930.01
65,367.00,3882.22
66,368.00,3799.78
