ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112516-885988-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_25_16 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:25:15.755785
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,629.40
1,303.00,647.73
2,304.00,671.91
3,305.00,702.40
4,306.00,738.34
5,307.00,774.00
6,308.00,800.84
7,309.00,828.07
8,310.00,849.71
9,311.00,867.26
10,312.00,858.35
11,313.00,864.80
12,314.00,845.10
13,315.00,832.36
14,316.00,772.88
15,317.00,736.97
16,318.00,653.92
17,319.00,592.92
18,320.00,501.22
19,321.00,423.00
20,322.00,344.54
21,323.00,291.33
22,324.00,222.76
23,325.00,194.50
24,326.00,158.74
25,327.00,140.58
26,328.00,117.79
27,329.00,102.81
28,330.00,87.90
29,331.00,72.11
30,332.00,49.26
31,333.00,30.28
32,334.00,22.11
33,335.00,15.67
34,336.00,9.40
35,337.00,3.71
36,338.00,6.11
37,339.00,5.28
38,340.00,6.29
39,341.00,0.00
40,342.00,13.54
41,343.00,13.89
42,344.00,22.94
43,345.00,16.34
44,346.00,32.55
45,347.00,31.98
46,348.00,32.34
47,349.00,28.25
48,350.00,37.43
49,351.00,39.50
50,352.00,42.95
51,353.00,43.64
52,354.00,56.96
53,355.00,61.34
54,356.00,83.05
55,357.00,97.79
56,358.00,124.13
57,359.00,165.75
58,360.00,208.54
59,361.00,266.71
60,362.00,346.66
61,363.00,422.85
62,364.00,517.76
63,365.00,590.50
64,366.00,662.03
65,367.00,712.14
66,368.00,725.83
67,369.00,714.56
68,370.00,678.96
69,371.00,652.27
70,372.00,598.36
