ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112653-357200-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_26_53 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:26:50.562718
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,5.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,339.07
1,303.00,355.54
2,304.00,535.77
3,305.00,669.92
4,306.00,742.85
5,307.00,882.33
6,308.00,976.49
7,309.00,1069.11
8,310.00,1138.91
9,311.00,1190.51
10,312.00,1219.66
11,313.00,1253.27
12,314.00,1290.48
13,315.00,1336.73
14,316.00,1435.25
15,317.00,1500.21
16,318.00,1600.24
17,319.00,1659.89
18,320.00,1749.91
19,321.00,1835.71
20,322.00,1911.38
21,323.00,1963.18
22,324.00,2100.20
23,325.00,2190.42
24,326.00,2273.63
25,327.00,2353.39
26,328.00,2492.56
27,329.00,2596.82
28,330.00,2670.82
29,331.00,2731.67
30,332.00,2824.99
31,333.00,2927.52
32,334.00,3011.08
33,335.00,3085.61
34,336.00,3221.07
35,337.00,3329.40
36,338.00,3401.03
37,339.00,3481.25
38,340.00,3512.45
39,341.00,3561.44
40,342.00,3521.76
41,343.00,3512.32
42,344.00,3468.01
43,345.00,3437.97
44,346.00,3352.53
45,347.00,3311.78
46,348.00,3259.43
47,349.00,3231.87
48,350.00,3166.05
49,351.00,3147.20
50,352.00,3076.52
51,353.00,3041.29
52,354.00,2967.42
53,355.00,2936.93
54,356.00,2904.46
55,357.00,2889.76
56,358.00,2854.24
57,359.00,2860.19
58,360.00,2851.17
59,361.00,2864.16
60,362.00,2844.72
61,363.00,2870.45
62,364.00,2839.39
63,365.00,2853.98
64,366.00,2864.79
65,367.00,2908.15
66,368.00,2906.44
67,369.00,2949.66
68,370.00,2981.11
69,371.00,3039.88
70,372.00,3071.54
71,373.00,3159.90
72,374.00,3239.16
73,375.00,3332.46
74,376.00,3446.21
75,377.00,3579.52
76,378.00,3639.36
77,379.00,3749.29
78,380.00,3813.94
79,381.00,3890.47
80,382.00,3925.03
81,383.00,3988.28
82,384.00,4035.56
83,385.00,4074.15
84,386.00,4064.28
85,387.00,4057.93
86,388.00,3971.15
87,389.00,3963.19
88,390.00,3931.86
89,391.00,3907.80
90,392.00,3865.21
91,393.00,3853.96
92,394.00,3795.85
93,395.00,3797.38
94,396.00,3778.53
95,397.00,3737.16
96,398.00,3680.04
97,399.00,3621.20
98,400.00,3474.95
99,401.00,3382.19
100,402.00,3318.26
101,403.00,3243.67
102,404.00,3174.80
103,405.00,3125.52
104,406.00,3071.22
105,407.00,3041.86
106,408.00,2964.51
107,409.00,2935.14
108,410.00,2907.66
109,411.00,2880.94
110,412.00,2846.70
111,413.00,2803.18
112,414.00,2742.43
113,415.00,2691.31
114,416.00,2627.14
115,417.00,2591.24
116,418.00,2546.69
117,419.00,2532.14
118,420.00,2475.67
119,421.00,2474.38
120,422.00,2451.05
121,423.00,2464.96
122,424.00,2461.89
123,425.00,2466.54
124,426.00,2475.92
125,427.00,2465.04
126,428.00,2445.51
127,429.00,2414.19
128,430.00,2337.31
129,431.00,2266.61
130,432.00,2168.84
131,433.00,2097.86
132,434.00,1987.26
133,435.00,1907.60
134,436.00,1793.90
135,437.00,1733.52
136,438.00,1643.77
137,439.00,1582.28
138,440.00,1477.06
139,441.00,1432.65
140,442.00,1339.32
141,443.00,1280.92
142,444.00,1200.44
143,445.00,1149.83
144,446.00,1097.51
145,447.00,1062.92
146,448.00,1042.61
147,449.00,1015.18
148,450.00,1003.50
149,451.00,1025.77
150,452.00,1073.70
151,453.00,1109.99
152,454.00,1154.66
