ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112837-899912-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_28_37 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:28:36.405342
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,2318.24
1,303.00,2521.65
2,304.00,2804.96
3,305.00,2983.45
4,306.00,3129.11
5,307.00,3155.90
6,308.00,3032.67
7,309.00,2801.29
8,310.00,2487.89
9,311.00,2134.69
10,312.00,1825.82
11,313.00,1521.92
12,314.00,1316.13
13,315.00,1119.63
14,316.00,991.82
15,317.00,870.16
16,318.00,794.21
17,319.00,734.79
18,320.00,689.37
19,321.00,671.38
20,322.00,656.72
21,323.00,672.98
22,324.00,661.41
23,325.00,674.60
24,326.00,676.16
25,327.00,724.35
26,328.00,736.03
27,329.00,793.81
28,330.00,843.59
29,331.00,937.06
30,332.00,1031.99
31,333.00,1150.89
32,334.00,1299.52
33,335.00,1468.09
34,336.00,1652.74
35,337.00,1838.47
36,338.00,2017.68
37,339.00,2156.25
38,340.00,2259.83
39,341.00,2331.25
40,342.00,2391.09
41,343.00,2436.69
42,344.00,2507.46
43,345.00,2605.92
44,346.00,2754.76
45,347.00,2940.55
46,348.00,3087.71
47,349.00,3259.95
48,350.00,3369.62
49,351.00,3376.23
50,352.00,3276.40
51,353.00,3019.15
52,354.00,2726.64
53,355.00,2345.46
54,356.00,1952.74
55,357.00,1610.21
56,358.00,1319.78
57,359.00,1078.31
58,360.00,896.98
59,361.00,742.36
60,362.00,624.29
61,363.00,527.52
62,364.00,457.28
63,365.00,387.09
64,366.00,336.46
65,367.00,316.71
66,368.00,282.51
