ENLIGHTEN Version,4.1.44
Measurement ID,20260406-115348-957889-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_53_48 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,1736
Timestamp,2026-04-06 11:53:43.646720
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,67.73
1,303.00,63.40
2,304.00,65.27
3,305.00,65.82
4,306.00,65.06
5,307.00,63.24
6,308.00,58.41
7,309.00,55.89
8,310.00,56.65
9,311.00,53.84
10,312.00,56.61
11,313.00,56.14
12,314.00,59.42
13,315.00,59.27
14,316.00,66.54
15,317.00,63.43
16,318.00,63.58
17,319.00,58.67
18,320.00,61.39
19,321.00,61.31
20,322.00,59.96
21,323.00,56.01
22,324.00,53.54
23,325.00,53.58
24,326.00,54.61
25,327.00,53.50
26,328.00,55.71
27,329.00,55.42
28,330.00,62.03
29,331.00,60.96
30,332.00,64.93
31,333.00,65.06
32,334.00,67.23
33,335.00,69.77
34,336.00,73.73
35,337.00,73.79
36,338.00,75.16
37,339.00,79.38
38,340.00,84.18
39,341.00,88.97
40,342.00,86.64
41,343.00,88.90
42,344.00,77.64
43,345.00,77.43
44,346.00,67.17
45,347.00,69.05
46,348.00,63.59
47,349.00,77.52
48,350.00,73.15
49,351.00,90.55
50,352.00,121.62
51,353.00,137.95
52,354.00,143.68
53,355.00,152.89
54,356.00,161.67
55,357.00,161.88
56,358.00,167.03
57,359.00,158.56
58,360.00,182.15
59,361.00,183.93
60,362.00,193.81
61,363.00,203.78
62,364.00,224.99
63,365.00,241.08
64,366.00,270.63
65,367.00,293.40
66,368.00,317.45
67,369.00,323.63
68,370.00,374.06
69,371.00,383.59
70,372.00,403.28
71,373.00,417.78
72,374.00,449.41
73,375.00,473.53
74,376.00,487.66
75,377.00,525.25
76,378.00,552.68
77,379.00,593.38
78,380.00,634.08
79,381.00,696.55
80,382.00,756.83
81,383.00,826.91
82,384.00,883.72
83,385.00,975.24
84,386.00,1049.99
85,387.00,1174.74
86,388.00,1270.61
87,389.00,1424.50
88,390.00,1578.17
89,391.00,1774.33
90,392.00,1965.08
91,393.00,2188.78
92,394.00,2400.24
93,395.00,2666.31
94,396.00,2950.58
95,397.00,3293.99
96,398.00,3665.01
97,399.00,4138.75
98,400.00,4686.30
99,401.00,5340.35
100,402.00,6061.22
101,403.00,6884.25
102,404.00,7682.20
103,405.00,8425.50
104,406.00,9042.70
105,407.00,9350.60
106,408.00,9369.24
107,409.00,9034.56
108,410.00,8368.30
109,411.00,7522.55
110,412.00,6533.42
111,413.00,5588.11
112,414.00,4724.09
113,415.00,3978.50
114,416.00,3365.58
115,417.00,2876.05
116,418.00,2470.20
117,419.00,2194.90
118,420.00,1938.37
119,421.00,1735.37
120,422.00,1599.73
121,423.00,1439.62
122,424.00,1318.36
123,425.00,1230.94
124,426.00,1108.42
125,427.00,1024.13
126,428.00,905.94
127,429.00,837.49
128,430.00,736.55
129,431.00,647.70
130,432.00,611.78
131,433.00,541.87
132,434.00,508.95
133,435.00,457.63
134,436.00,433.80
135,437.00,400.80
136,438.00,382.83
137,439.00,351.69
138,440.00,344.35
139,441.00,321.63
140,442.00,317.90
141,443.00,287.43
142,444.00,260.40
143,445.00,239.00
144,446.00,230.62
145,447.00,209.29
146,448.00,203.45
147,449.00,201.70
148,450.00,208.99
149,451.00,199.15
150,452.00,209.54
151,453.00,212.78
152,454.00,221.64
153,455.00,221.57
154,456.00,247.23
155,457.00,254.44
156,458.00,273.78
157,459.00,293.67
158,460.00,333.74
159,461.00,366.08
160,462.00,399.48
161,463.00,428.48
162,464.00,478.79
163,465.00,497.52
164,466.00,558.88
165,467.00,587.99
166,468.00,653.16
167,469.00,706.01
168,470.00,740.58
169,471.00,756.25
170,472.00,772.05
171,473.00,746.71
172,474.00,680.02
173,475.00,614.92
174,476.00,533.05
175,477.00,473.00
176,478.00,416.11
177,479.00,357.60
178,480.00,318.56
179,481.00,274.67
180,482.00,259.77
181,483.00,228.06
182,484.00,209.25
183,485.00,177.29
184,486.00,180.08
185,487.00,156.52
186,488.00,144.08
187,489.00,123.40
188,490.00,115.25
189,491.00,105.08
190,492.00,95.45
191,493.00,90.92
192,494.00,91.69
193,495.00,103.95
194,496.00,135.33
195,497.00,156.14
196,498.00,196.79
197,499.00,228.35
198,500.00,271.87
199,501.00,308.22
200,502.00,344.63
201,503.00,387.00
202,504.00,443.20
203,505.00,504.97
204,506.00,590.68
205,507.00,678.44
206,508.00,804.97
207,509.00,947.75
208,510.00,1135.96
209,511.00,1350.00
210,512.00,1580.72
211,513.00,1786.22
212,514.00,1970.29
213,515.00,2101.12
214,516.00,2152.06
215,517.00,2128.88
216,518.00,2041.15
217,519.00,1866.55
218,520.00,1670.29
219,521.00,1444.42
220,522.00,1246.15
221,523.00,1072.42
222,524.00,931.82
223,525.00,816.76
224,526.00,710.98
225,527.00,642.06
226,528.00,615.49
227,529.00,545.44
228,530.00,517.69
229,531.00,480.92
230,532.00,473.17
231,533.00,449.99
232,534.00,434.67
233,535.00,412.65
234,536.00,424.30
235,537.00,421.36
236,538.00,407.40
237,539.00,397.95
238,540.00,384.41
239,541.00,383.76
240,542.00,387.64
241,543.00,400.20
242,544.00,422.62
243,545.00,454.62
244,546.00,482.20
245,547.00,517.48
246,548.00,552.85
247,549.00,592.44
248,550.00,643.50
249,551.00,675.05
250,552.00,733.69
251,553.00,802.07
252,554.00,859.83
253,555.00,925.77
254,556.00,1004.29
255,557.00,1093.69
256,558.00,1175.34
257,559.00,1296.06
258,560.00,1365.99
259,561.00,1501.34
260,562.00,1628.02
261,563.00,1758.47
262,564.00,1915.96
263,565.00,2091.64
264,566.00,2271.30
265,567.00,2455.91
266,568.00,2665.24
267,569.00,2861.15
268,570.00,3050.22
269,571.00,3251.57
270,572.00,3434.47
271,573.00,3682.76
272,574.00,3916.11
273,575.00,4229.19
274,576.00,4547.34
275,577.00,4942.11
276,578.00,5396.08
277,579.00,5949.21
278,580.00,6530.39
279,581.00,7215.29
280,582.00,7957.52
281,583.00,8785.89
282,584.00,9627.58
283,585.00,10545.20
284,586.00,11415.70
285,587.00,12218.59
286,588.00,12895.02
287,589.00,13313.21
288,590.00,13495.13
289,591.00,13256.97
290,592.00,12834.22
291,593.00,11920.98
292,594.00,10926.50
293,595.00,9678.95
294,596.00,8487.33
295,597.00,7318.91
296,598.00,6265.75
297,599.00,5358.35
298,600.00,4600.21
299,601.00,3965.55
300,602.00,3469.22
