ENLIGHTEN Version,4.1.44
Measurement ID,20260406-115650-597290-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_56_50 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:56:44.345418
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,973.92
1,303.00,1030.96
2,304.00,1138.88
3,305.00,1324.01
4,306.00,1593.72
5,307.00,1972.14
6,308.00,2520.94
7,309.00,3247.16
8,310.00,4190.28
9,311.00,5322.64
10,312.00,6608.30
11,313.00,8016.42
12,314.00,9412.73
13,315.00,10757.71
14,316.00,11907.31
15,317.00,12660.26
16,318.00,13167.33
17,319.00,13147.89
18,320.00,12671.22
19,321.00,11922.39
20,322.00,10706.74
21,323.00,9467.53
22,324.00,8097.92
23,325.00,6808.28
24,326.00,5701.41
25,327.00,4735.88
26,328.00,3998.36
27,329.00,3429.59
28,330.00,2971.29
29,331.00,2643.00
30,332.00,2388.05
31,333.00,2178.74
32,334.00,2005.94
33,335.00,1872.79
34,336.00,1740.51
35,337.00,1667.11
36,338.00,1588.19
37,339.00,1554.27
38,340.00,1553.23
39,341.00,1605.09
40,342.00,1696.33
41,343.00,1824.46
42,344.00,2002.34
43,345.00,2198.82
44,346.00,2413.64
45,347.00,2555.33
46,348.00,2660.46
47,349.00,2639.15
48,350.00,2517.36
49,351.00,2262.50
50,352.00,1979.08
51,353.00,1668.50
52,354.00,1385.13
53,355.00,1122.31
54,356.00,950.76
55,357.00,797.85
56,358.00,704.37
57,359.00,615.02
58,360.00,560.13
59,361.00,515.13
60,362.00,488.18
61,363.00,435.48
62,364.00,411.94
63,365.00,337.26
64,366.00,323.94
65,367.00,272.86
66,368.00,257.55
67,369.00,222.55
68,370.00,194.87
69,371.00,172.58
70,372.00,155.45
71,373.00,141.56
72,374.00,120.52
73,375.00,125.06
74,376.00,145.09
75,377.00,153.02
76,378.00,165.92
77,379.00,186.43
78,380.00,193.87
79,381.00,225.53
80,382.00,215.29
81,383.00,237.99
82,384.00,233.55
83,385.00,256.41
84,386.00,250.76
85,387.00,284.22
86,388.00,309.34
87,389.00,345.45
88,390.00,383.33
89,391.00,423.78
90,392.00,439.11
91,393.00,524.20
92,394.00,592.48
93,395.00,721.53
94,396.00,807.18
95,397.00,940.20
96,398.00,1040.12
97,399.00,1176.80
98,400.00,1239.97
99,401.00,1341.56
100,402.00,1407.04
101,403.00,1485.01
102,404.00,1558.62
103,405.00,1673.59
104,406.00,1835.30
105,407.00,2038.37
106,408.00,2327.68
107,409.00,2686.35
108,410.00,3176.46
109,411.00,3771.59
110,412.00,4515.54
111,413.00,5333.37
112,414.00,6233.41
113,415.00,7148.88
114,416.00,7975.16
115,417.00,8571.78
116,418.00,8913.06
117,419.00,8869.03
118,420.00,8657.61
119,421.00,8096.66
120,422.00,7466.66
121,423.00,6787.33
122,424.00,6126.13
123,425.00,5535.38
124,426.00,5052.66
125,427.00,4664.65
126,428.00,4390.30
127,429.00,4226.08
128,430.00,4164.02
129,431.00,4186.03
130,432.00,4276.51
131,433.00,4415.91
