ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112933-416512-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_29_33 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,500
Timestamp,2026-04-06 11:29:31.428814
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,644.60
1,303.00,710.40
2,304.00,750.74
3,305.00,881.21
4,306.00,1049.57
5,307.00,1274.38
6,308.00,1563.73
7,309.00,1870.29
8,310.00,2174.35
9,311.00,2438.99
10,312.00,2663.28
11,313.00,2767.21
12,314.00,2737.39
13,315.00,2628.31
14,316.00,2442.13
15,317.00,2264.03
16,318.00,2065.67
17,319.00,1902.66
18,320.00,1756.04
19,321.00,1668.75
20,322.00,1597.43
21,323.00,1556.77
22,324.00,1561.99
23,325.00,1570.91
24,326.00,1601.41
25,327.00,1614.85
26,328.00,1650.61
27,329.00,1685.67
28,330.00,1694.59
29,331.00,1686.41
30,332.00,1663.14
31,333.00,1610.50
32,334.00,1516.98
33,335.00,1427.16
34,336.00,1329.52
35,337.00,1245.16
36,338.00,1184.41
37,339.00,1128.38
38,340.00,1116.86
39,341.00,1113.98
40,342.00,1152.72
41,343.00,1204.76
42,344.00,1308.68
43,345.00,1408.01
44,346.00,1508.28
45,347.00,1606.46
46,348.00,1653.68
47,349.00,1679.94
48,350.00,1616.03
49,351.00,1531.48
50,352.00,1401.35
51,353.00,1224.73
52,354.00,1036.20
53,355.00,868.55
54,356.00,702.42
55,357.00,592.48
56,358.00,476.86
57,359.00,407.79
58,360.00,356.63
59,361.00,309.68
60,362.00,263.76
61,363.00,236.64
62,364.00,210.34
63,365.00,176.87
64,366.00,155.34
65,367.00,127.04
