ENLIGHTEN Version,4.1.44
Measurement ID,20260406-113026-871317-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_30_26 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:30:24.929637
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,8.6
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,77.55
1,303.00,89.30
2,304.00,80.34
3,305.00,93.10
4,306.00,80.22
5,307.00,89.57
6,308.00,85.37
7,309.00,89.73
8,310.00,79.49
9,311.00,85.97
10,312.00,77.77
11,313.00,83.11
12,314.00,72.90
13,315.00,82.03
14,316.00,82.89
15,317.00,85.75
16,318.00,80.91
17,319.00,87.51
18,320.00,80.98
19,321.00,89.39
20,322.00,82.55
21,323.00,87.76
22,324.00,84.94
23,325.00,92.41
24,326.00,87.46
25,327.00,94.43
26,328.00,87.79
27,329.00,93.37
28,330.00,84.60
29,331.00,89.40
30,332.00,87.64
31,333.00,88.53
32,334.00,89.04
33,335.00,95.37
34,336.00,105.98
35,337.00,111.19
36,338.00,117.13
37,339.00,122.96
38,340.00,122.81
39,341.00,127.44
40,342.00,135.97
41,343.00,135.23
42,344.00,136.43
43,345.00,134.40
44,346.00,144.39
45,347.00,140.80
46,348.00,136.09
47,349.00,141.92
48,350.00,158.54
49,351.00,163.42
50,352.00,201.14
51,353.00,199.13
52,354.00,220.67
53,355.00,213.73
54,356.00,212.50
55,357.00,210.53
56,358.00,233.82
57,359.00,236.44
58,360.00,230.51
59,361.00,228.66
60,362.00,247.21
61,363.00,260.27
62,364.00,255.30
63,365.00,258.42
64,366.00,278.78
65,367.00,291.66
66,368.00,288.24
67,369.00,287.46
68,370.00,290.57
69,371.00,297.79
70,372.00,297.72
71,373.00,303.86
72,374.00,326.52
73,375.00,337.61
74,376.00,340.98
75,377.00,347.39
76,378.00,370.76
77,379.00,377.61
78,380.00,389.62
79,381.00,400.02
80,382.00,422.71
81,383.00,438.92
82,384.00,468.73
83,385.00,488.32
