ENLIGHTEN Version,4.1.44
Measurement ID,20260406-113153-164272-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_31_53 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:31:41.411110
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,20.5
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,502.37
1,303.00,501.50
2,304.00,496.90
3,305.00,473.43
4,306.00,428.65
5,307.00,405.12
6,308.00,373.59
7,309.00,340.46
8,310.00,315.63
9,311.00,295.84
10,312.00,301.36
11,313.00,289.59
12,314.00,288.18
13,315.00,290.70
14,316.00,283.72
15,317.00,287.52
16,318.00,286.84
17,319.00,290.85
18,320.00,285.70
19,321.00,282.13
20,322.00,280.73
21,323.00,282.47
22,324.00,293.47
23,325.00,288.73
24,326.00,306.69
25,327.00,316.07
26,328.00,349.68
27,329.00,354.67
28,330.00,378.43
29,331.00,399.17
30,332.00,462.15
31,333.00,504.72
32,334.00,536.15
33,335.00,580.96
34,336.00,616.64
35,337.00,647.10
36,338.00,646.77
37,339.00,688.21
38,340.00,685.27
39,341.00,703.55
40,342.00,736.23
41,343.00,807.83
42,344.00,818.88
43,345.00,910.63
44,346.00,1004.26
45,347.00,1149.75
46,348.00,1327.50
47,349.00,1545.35
48,350.00,1814.42
49,351.00,2126.06
50,352.00,2426.48
51,353.00,2844.82
52,354.00,3211.58
53,355.00,3597.38
54,356.00,3971.66
55,357.00,4341.21
56,358.00,4668.42
57,359.00,4983.62
58,360.00,5239.72
59,361.00,5478.23
60,362.00,5624.21
61,363.00,5690.98
62,364.00,5643.61
63,365.00,5445.47
64,366.00,5146.30
65,367.00,4731.07
66,368.00,4250.07
67,369.00,3769.21
68,370.00,3249.72
69,371.00,2825.41
70,372.00,2398.68
71,373.00,2065.40
72,374.00,1766.16
73,375.00,1517.31
74,376.00,1301.29
75,377.00,1123.95
76,378.00,982.11
77,379.00,839.41
78,380.00,737.20
79,381.00,642.59
80,382.00,551.87
81,383.00,483.27
82,384.00,416.78
83,385.00,354.20
84,386.00,314.91
85,387.00,281.38
86,388.00,233.91
87,389.00,209.79
88,390.00,182.35
89,391.00,175.12
90,392.00,154.53
91,393.00,150.70
92,394.00,137.53
93,395.00,137.98
94,396.00,131.69
95,397.00,133.72
96,398.00,130.62
97,399.00,136.25
98,400.00,131.84
99,401.00,139.64
100,402.00,132.11
101,403.00,139.24
102,404.00,133.83
103,405.00,140.67
104,406.00,142.72
105,407.00,151.38
106,408.00,166.43
107,409.00,166.75
108,410.00,193.63
109,411.00,196.83
110,412.00,229.99
111,413.00,231.22
112,414.00,285.46
113,415.00,289.60
114,416.00,335.22
115,417.00,347.94
116,418.00,375.04
117,419.00,383.59
118,420.00,415.23
119,421.00,415.54
120,422.00,461.46
121,423.00,481.63
122,424.00,512.46
123,425.00,519.79
124,426.00,551.04
125,427.00,575.28
126,428.00,608.22
127,429.00,613.64
128,430.00,657.48
129,431.00,674.31
130,432.00,727.84
131,433.00,771.46
132,434.00,823.28
133,435.00,858.73
134,436.00,933.00
135,437.00,955.08
136,438.00,996.65
137,439.00,952.36
138,440.00,934.02
139,441.00,821.13
140,442.00,738.35
141,443.00,613.60
142,444.00,511.34
143,445.00,418.78
144,446.00,358.70
145,447.00,304.91
146,448.00,303.94
147,449.00,286.40
148,450.00,306.16
149,451.00,313.56
150,452.00,349.72
151,453.00,363.14
152,454.00,378.05
153,455.00,377.52
154,456.00,362.47
155,457.00,338.51
156,458.00,324.23
157,459.00,307.80
158,460.00,324.88
159,461.00,296.32
160,462.00,307.75
161,463.00,304.20
162,464.00,305.48
163,465.00,312.72
164,466.00,321.36
165,467.00,332.68
166,468.00,346.24
167,469.00,350.81
168,470.00,382.69
169,471.00,389.36
170,472.00,456.33
171,473.00,455.11
172,474.00,450.19
173,475.00,437.65
174,476.00,435.58
175,477.00,396.11
176,478.00,409.04
177,479.00,367.91
178,480.00,423.57
179,481.00,412.85
180,482.00,435.00
181,483.00,469.93
182,484.00,548.28
183,485.00,573.92
184,486.00,615.72
185,487.00,637.32
186,488.00,710.36
187,489.00,740.05
188,490.00,775.43
189,491.00,807.50
190,492.00,872.20
191,493.00,860.81
192,494.00,851.36
193,495.00,790.07
194,496.00,760.71
195,497.00,670.73
196,498.00,595.36
197,499.00,507.47
198,500.00,474.02
199,501.00,421.04
200,502.00,407.64
201,503.00,366.76
202,504.00,376.73
203,505.00,369.13
204,506.00,389.14
205,507.00,384.45
206,508.00,432.82
207,509.00,415.63
208,510.00,452.07
209,511.00,434.94
210,512.00,439.94
211,513.00,418.70
212,514.00,420.88
213,515.00,433.37
214,516.00,454.35
215,517.00,495.79
216,518.00,525.31
217,519.00,604.56
218,520.00,699.60
219,521.00,812.57
220,522.00,910.29
221,523.00,1040.79
222,524.00,1172.30
223,525.00,1258.67
224,526.00,1350.50
225,527.00,1453.56
226,528.00,1580.49
227,529.00,1703.37
228,530.00,1898.75
229,531.00,2122.54
230,532.00,2396.97
231,533.00,2748.53
232,534.00,3140.15
233,535.00,3475.93
234,536.00,3856.00
235,537.00,4104.77
236,538.00,4172.70
237,539.00,4013.82
238,540.00,3706.71
239,541.00,3248.68
240,542.00,2766.19
241,543.00,2249.84
242,544.00,1827.32
243,545.00,1436.77
244,546.00,1133.64
245,547.00,899.56
246,548.00,729.03
247,549.00,589.26
248,550.00,485.06
249,551.00,396.15
250,552.00,330.95
251,553.00,289.19
252,554.00,253.44
253,555.00,249.38
254,556.00,253.27
255,557.00,249.50
256,558.00,254.78
257,559.00,289.37
258,560.00,315.93
259,561.00,355.16
260,562.00,385.38
261,563.00,402.79
262,564.00,458.02
263,565.00,457.08
264,566.00,510.91
265,567.00,523.02
