ENLIGHTEN Version,4.1.44
Measurement ID,20260406-113104-439121-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_31_04 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:31:03.099128
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,20.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,128.41
1,303.00,128.69
2,304.00,136.04
3,305.00,135.77
4,306.00,142.69
5,307.00,149.13
6,308.00,150.50
7,309.00,146.47
8,310.00,146.27
9,311.00,141.54
10,312.00,143.94
11,313.00,135.25
12,314.00,133.38
13,315.00,136.98
14,316.00,144.64
15,317.00,134.76
16,318.00,141.23
17,319.00,143.09
18,320.00,145.85
19,321.00,149.37
20,322.00,153.26
21,323.00,159.42
22,324.00,152.37
23,325.00,155.11
24,326.00,157.12
25,327.00,149.28
26,328.00,154.03
27,329.00,150.10
28,330.00,146.83
29,331.00,151.87
30,332.00,163.74
31,333.00,162.71
32,334.00,165.26
33,335.00,167.13
34,336.00,168.10
35,337.00,173.70
36,338.00,182.27
37,339.00,186.93
38,340.00,190.07
39,341.00,190.60
40,342.00,190.47
41,343.00,197.48
42,344.00,201.93
43,345.00,200.94
44,346.00,182.69
45,347.00,189.13
46,348.00,183.65
47,349.00,185.42
48,350.00,179.32
49,351.00,189.41
50,352.00,266.03
51,353.00,289.88
52,354.00,310.52
53,355.00,366.72
54,356.00,378.47
55,357.00,400.06
56,358.00,418.65
57,359.00,428.62
58,360.00,383.67
59,361.00,390.01
60,362.00,376.10
61,363.00,385.81
62,364.00,396.68
63,365.00,398.32
64,366.00,414.84
65,367.00,420.93
66,368.00,543.19
67,369.00,574.90
68,370.00,606.49
69,371.00,653.50
70,372.00,641.54
