ENLIGHTEN Version,4.1.44
Measurement ID,20260406-113231-935626-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_32_31 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:32:29.811521
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,15.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,287.41
1,303.00,333.29
2,304.00,386.67
3,305.00,478.32
4,306.00,595.82
5,307.00,748.01
6,308.00,938.25
7,309.00,1111.02
8,310.00,1262.82
9,311.00,1364.91
10,312.00,1393.25
11,313.00,1404.81
12,314.00,1400.34
13,315.00,1391.50
14,316.00,1404.64
15,317.00,1432.31
16,318.00,1490.72
17,319.00,1560.23
18,320.00,1605.94
19,321.00,1648.70
20,322.00,1657.65
21,323.00,1602.43
22,324.00,1443.74
23,325.00,1268.44
24,326.00,1081.59
25,327.00,890.11
26,328.00,719.11
27,329.00,578.25
28,330.00,458.66
29,331.00,377.75
30,332.00,313.81
31,333.00,282.49
32,334.00,245.46
33,335.00,233.85
34,336.00,216.85
35,337.00,214.26
36,338.00,209.56
37,339.00,208.07
38,340.00,195.03
39,341.00,187.77
40,342.00,181.85
41,343.00,173.09
42,344.00,162.50
43,345.00,158.46
44,346.00,153.36
45,347.00,149.07
46,348.00,155.67
47,349.00,157.43
48,350.00,164.40
49,351.00,173.60
50,352.00,194.81
51,353.00,219.53
52,354.00,249.78
53,355.00,298.51
54,356.00,363.90
55,357.00,437.66
56,358.00,506.01
57,359.00,613.16
58,360.00,725.37
59,361.00,826.08
60,362.00,925.98
61,363.00,1011.94
62,364.00,1091.93
63,365.00,1147.73
64,366.00,1218.92
65,367.00,1276.35
66,368.00,1373.56
67,369.00,1460.24
68,370.00,1580.64
69,371.00,1700.03
70,372.00,1859.48
71,373.00,2036.47
72,374.00,2247.40
73,375.00,2458.15
74,376.00,2694.91
75,377.00,2914.69
76,378.00,3123.87
77,379.00,3344.85
78,380.00,3543.24
79,381.00,3744.10
80,382.00,3914.03
81,383.00,4114.89
82,384.00,4282.78
83,385.00,4467.96
84,386.00,4709.69
85,387.00,5002.58
86,388.00,5368.69
87,389.00,5837.58
88,390.00,6409.38
89,391.00,7091.32
90,392.00,7842.75
91,393.00,8664.20
92,394.00,9498.33
93,395.00,10250.71
94,396.00,10824.52
95,397.00,11207.21
96,398.00,11207.69
97,399.00,10913.15
98,400.00,10313.95
99,401.00,9446.72
100,402.00,8539.30
101,403.00,7539.31
102,404.00,6673.35
103,405.00,5820.77
104,406.00,5117.27
105,407.00,4527.90
106,408.00,4051.80
107,409.00,3680.12
108,410.00,3364.86
109,411.00,3146.46
110,412.00,2920.80
111,413.00,2757.76
112,414.00,2597.34
113,415.00,2461.79
114,416.00,2336.57
115,417.00,2219.34
116,418.00,2102.65
117,419.00,1986.79
118,420.00,1925.95
119,421.00,1856.91
120,422.00,1809.08
121,423.00,1758.96
122,424.00,1770.81
123,425.00,1766.96
124,426.00,1792.21
125,427.00,1800.35
126,428.00,1838.86
127,429.00,1845.62
128,430.00,1880.00
129,431.00,1880.59
130,432.00,1891.68
131,433.00,1915.99
132,434.00,1937.44
133,435.00,1953.42
134,436.00,2029.77
135,437.00,2067.53
136,438.00,2115.73
137,439.00,2125.29
138,440.00,2136.98
139,441.00,2133.76
140,442.00,2147.90
141,443.00,2160.74
142,444.00,2232.89
143,445.00,2319.64
144,446.00,2481.61
145,447.00,2693.04
146,448.00,2977.18
147,449.00,3298.92
148,450.00,3697.75
149,451.00,4056.46
150,452.00,4342.88
151,453.00,4612.00
152,454.00,4697.28
153,455.00,4669.54
154,456.00,4465.51
155,457.00,4207.51
156,458.00,3813.79
157,459.00,3442.36
158,460.00,3073.96
159,461.00,2701.45
160,462.00,2390.09
161,463.00,2115.24
162,464.00,1865.25
163,465.00,1647.67
164,466.00,1463.15
165,467.00,1334.46
166,468.00,1228.15
167,469.00,1156.91
168,470.00,1092.10
169,471.00,1071.21
170,472.00,1052.53
171,473.00,1070.55
172,474.00,1068.40
173,475.00,1074.01
174,476.00,1103.63
175,477.00,1072.20
176,478.00,1051.29
177,479.00,990.52
178,480.00,944.68
179,481.00,865.36
180,482.00,852.92
181,483.00,796.64
182,484.00,778.93
183,485.00,763.60
184,486.00,774.86
185,487.00,802.11
186,488.00,825.34
187,489.00,857.45
188,490.00,883.43
189,491.00,907.81
190,492.00,843.72
191,493.00,881.89
192,494.00,911.29
193,495.00,978.45
194,496.00,1041.28
195,497.00,1134.00
196,498.00,1192.76
197,499.00,1290.85
198,500.00,1344.62
199,501.00,1402.14
200,502.00,1413.39
201,503.00,1446.76
202,504.00,1451.26
203,505.00,1452.00
204,506.00,1445.05
205,507.00,1450.55
206,508.00,1460.47
207,509.00,1506.03
208,510.00,1572.76
209,511.00,1664.75
210,512.00,1748.77
211,513.00,1866.26
212,514.00,1983.54
213,515.00,2099.61
214,516.00,2240.37
215,517.00,2369.36
216,518.00,2526.38
217,519.00,2649.91
218,520.00,2803.65
219,521.00,2928.69
220,522.00,3072.25
221,523.00,3158.89
222,524.00,3212.19
223,525.00,3208.42
224,526.00,3206.18
225,527.00,3139.25
226,528.00,3081.26
227,529.00,2985.04
228,530.00,2897.16
229,531.00,2789.02
230,532.00,2696.13
231,533.00,2579.50
232,534.00,2457.92
233,535.00,2307.50
234,536.00,2132.02
235,537.00,1934.19
236,538.00,1741.03
237,539.00,1515.39
238,540.00,1328.81
239,541.00,1129.51
240,542.00,963.38
241,543.00,818.76
242,544.00,702.54
243,545.00,612.56
244,546.00,525.42
245,547.00,486.91
246,548.00,439.99
247,549.00,427.44
248,550.00,383.57
249,551.00,387.03
250,552.00,346.13
251,553.00,335.41
252,554.00,301.37
253,555.00,285.59
254,556.00,220.21
255,557.00,204.33
256,558.00,184.84
257,559.00,171.41
258,560.00,147.06
259,561.00,133.91
260,562.00,130.96
261,563.00,124.36
262,564.00,125.93
263,565.00,116.02
264,566.00,113.71
265,567.00,120.23
266,568.00,112.17
267,569.00,124.46
268,570.00,119.09
269,571.00,127.60
270,572.00,128.92
271,573.00,118.83
272,574.00,118.08
273,575.00,126.25
274,576.00,117.93
275,577.00,115.54
276,578.00,117.92
277,579.00,122.69
278,580.00,124.54
279,581.00,122.20
280,582.00,124.95
281,583.00,128.71
282,584.00,132.05
283,585.00,127.54
284,586.00,127.34
285,587.00,123.99
286,588.00,129.46
287,589.00,122.58
288,590.00,129.74
289,591.00,129.47
290,592.00,134.62
291,593.00,139.90
292,594.00,140.47
293,595.00,152.40
294,596.00,152.95
295,597.00,158.56
296,598.00,167.50
297,599.00,163.99
298,600.00,167.28
299,601.00,158.96
300,602.00,171.22
301,603.00,160.58
302,604.00,157.67
303,605.00,153.92
304,606.00,160.88
305,607.00,159.40
306,608.00,165.49
307,609.00,161.82
308,610.00,161.16
309,611.00,157.81
310,612.00,153.69
311,613.00,144.25
312,614.00,141.94
313,615.00,132.79
314,616.00,131.76
315,617.00,122.52
316,618.00,122.73
317,619.00,121.63
318,620.00,127.33
319,621.00,127.80
320,622.00,129.78
321,623.00,130.09
322,624.00,135.10
323,625.00,137.27
324,626.00,132.82
325,627.00,130.98
326,628.00,134.82
327,629.00,131.00
328,630.00,132.33
329,631.00,126.37
330,632.00,133.59
331,633.00,131.12
332,634.00,132.06
333,635.00,129.23
334,636.00,136.75
335,637.00,135.78
336,638.00,142.18
337,639.00,143.01
338,640.00,143.63
339,641.00,135.11
340,642.00,133.43
341,643.00,130.35
342,644.00,137.15
343,645.00,124.81
344,646.00,128.62
345,647.00,122.66
346,648.00,129.90
347,649.00,127.39
348,650.00,129.22
349,651.00,126.95
350,652.00,132.19
