ENLIGHTEN Version,4.1.44
Measurement ID,20260406-114123-675822-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_41_23 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:41:19.296610
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,24.1
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,29.96
1,303.00,31.19
2,304.00,32.11
3,305.00,30.81
4,306.00,34.06
5,307.00,33.78
6,308.00,31.80
7,309.00,27.47
8,310.00,32.54
9,311.00,35.68
10,312.00,39.22
11,313.00,42.29
12,314.00,51.79
13,315.00,53.83
14,316.00,52.82
15,317.00,53.95
16,318.00,55.69
17,319.00,55.73
18,320.00,62.55
19,321.00,67.78
20,322.00,81.04
21,323.00,92.92
22,324.00,110.35
23,325.00,128.24
24,326.00,143.09
25,327.00,164.86
26,328.00,158.92
27,329.00,179.89
28,330.00,178.01
29,331.00,172.20
30,332.00,174.44
31,333.00,174.05
32,334.00,190.63
33,335.00,179.20
34,336.00,232.19
35,337.00,255.77
36,338.00,280.18
37,339.00,308.23
38,340.00,347.18
39,341.00,345.82
40,342.00,376.32
41,343.00,371.38
42,344.00,383.92
43,345.00,370.25
44,346.00,382.00
45,347.00,384.13
46,348.00,420.50
47,349.00,424.88
48,350.00,461.57
49,351.00,488.06
50,352.00,689.38
51,353.00,791.24
52,354.00,860.77
53,355.00,982.59
54,356.00,1023.60
55,357.00,1041.16
56,358.00,1008.47
57,359.00,986.49
58,360.00,905.42
59,361.00,850.65
60,362.00,833.38
61,363.00,811.97
62,364.00,826.30
63,365.00,825.76
64,366.00,833.19
65,367.00,839.41
66,368.00,885.08
67,369.00,912.27
68,370.00,883.43
69,371.00,875.28
70,372.00,841.89
71,373.00,806.93
72,374.00,778.15
73,375.00,764.68
74,376.00,750.20
75,377.00,740.28
76,378.00,776.63
77,379.00,801.91
78,380.00,846.98
79,381.00,872.94
80,382.00,927.82
81,383.00,969.29
82,384.00,1025.39
83,385.00,1053.99
84,386.00,1071.87
85,387.00,1099.05
86,388.00,1101.34
87,389.00,1084.79
88,390.00,1089.91
89,391.00,1098.81
90,392.00,1103.23
91,393.00,1131.66
92,394.00,1169.18
93,395.00,1208.90
94,396.00,1244.75
95,397.00,1311.29
96,398.00,1346.04
97,399.00,1402.27
98,400.00,1446.31
99,401.00,1504.52
100,402.00,1504.31
101,403.00,1528.04
102,404.00,1510.83
103,405.00,1510.26
104,406.00,1494.08
105,407.00,1484.17
106,408.00,1463.58
107,409.00,1448.31
108,410.00,1466.75
109,411.00,1456.21
110,412.00,1468.30
111,413.00,1485.62
112,414.00,1524.66
113,415.00,1555.83
114,416.00,1598.84
115,417.00,1621.26
116,418.00,1645.48
117,419.00,1653.86
118,420.00,1618.55
119,421.00,1629.97
120,422.00,1658.12
121,423.00,1682.94
122,424.00,1716.04
123,425.00,1765.62
124,426.00,1827.07
125,427.00,1881.46
126,428.00,1932.03
127,429.00,2006.10
128,430.00,2042.07
129,431.00,2114.27
130,432.00,2110.81
131,433.00,2152.10
132,434.00,2146.34
133,435.00,2152.99
134,436.00,2113.75
135,437.00,2134.32
136,438.00,2116.89
137,439.00,2148.48
138,440.00,2135.49
139,441.00,2202.93
140,442.00,2218.48
141,443.00,2281.45
142,444.00,2316.12
143,445.00,2421.07
144,446.00,2426.47
145,447.00,2486.93
146,448.00,2507.21
147,449.00,2562.28
148,450.00,2532.44
149,451.00,2556.57
150,452.00,2483.64
151,453.00,2505.89
152,454.00,2466.37
153,455.00,2471.08
154,456.00,2419.50
155,457.00,2432.83
156,458.00,2375.45
157,459.00,2369.41
158,460.00,2296.69
159,461.00,2305.56
160,462.00,2257.85
161,463.00,2256.84
162,464.00,2217.56
163,465.00,2233.54
164,466.00,2201.19
165,467.00,2207.82
166,468.00,2154.62
167,469.00,2172.65
168,470.00,2142.69
169,471.00,2166.35
170,472.00,2142.09
171,473.00,2183.00
172,474.00,2186.02
173,475.00,2220.58
174,476.00,2232.19
175,477.00,2281.90
176,478.00,2296.85
177,479.00,2333.43
178,480.00,2320.82
179,481.00,2366.95
180,482.00,2367.86
181,483.00,2375.82
182,484.00,2328.20
183,485.00,2331.22
184,486.00,2302.86
185,487.00,2260.36
186,488.00,2193.99
187,489.00,2124.82
188,490.00,2072.65
189,491.00,2002.27
190,492.00,1914.12
191,493.00,1873.24
192,494.00,1861.20
193,495.00,1846.80
194,496.00,1820.53
195,497.00,1780.77
196,498.00,1738.63
197,499.00,1686.50
198,500.00,1595.95
199,501.00,1503.34
200,502.00,1407.93
201,503.00,1324.41
202,504.00,1231.64
203,505.00,1153.25
204,506.00,1095.89
205,507.00,1076.79
206,508.00,1047.03
207,509.00,1043.85
208,510.00,1020.65
209,511.00,1029.47
210,512.00,1018.21
211,513.00,1011.95
212,514.00,982.87
213,515.00,931.47
214,516.00,854.58
215,517.00,788.67
216,518.00,724.84
217,519.00,624.92
218,520.00,555.10
219,521.00,498.07
220,522.00,443.24
221,523.00,401.50
222,524.00,327.91
223,525.00,311.91
224,526.00,297.46
225,527.00,267.71
226,528.00,281.46
227,529.00,273.52
228,530.00,267.92
229,531.00,240.83
230,532.00,240.26
231,533.00,207.47
232,534.00,199.39
233,535.00,174.85
234,536.00,174.96
235,537.00,177.32
236,538.00,195.13
237,539.00,179.41
238,540.00,191.47
239,541.00,213.38
240,542.00,206.81
241,543.00,200.82
242,544.00,200.62
243,545.00,208.89
244,546.00,209.32
245,547.00,204.29
246,548.00,235.98
247,549.00,248.83
248,550.00,261.30
249,551.00,238.55
250,552.00,230.46
251,553.00,214.09
252,554.00,176.01
253,555.00,134.60
254,556.00,98.12
255,557.00,92.62
256,558.00,79.12
257,559.00,66.63
258,560.00,75.21
259,561.00,64.20
260,562.00,74.82
261,563.00,63.61
262,564.00,61.86
263,565.00,48.27
264,566.00,45.16
265,567.00,40.69
266,568.00,50.42
267,569.00,48.36
268,570.00,54.70
269,571.00,61.40
270,572.00,81.49
271,573.00,96.45
272,574.00,101.71
273,575.00,113.94
274,576.00,106.15
275,577.00,112.22
276,578.00,111.57
277,579.00,103.03
278,580.00,90.22
279,581.00,87.76
280,582.00,84.63
281,583.00,81.84
282,584.00,87.56
283,585.00,81.98
284,586.00,91.44
285,587.00,83.31
286,588.00,71.07
287,589.00,62.34
288,590.00,65.50
289,591.00,55.79
290,592.00,59.74
291,593.00,53.99
292,594.00,61.31
293,595.00,59.51
294,596.00,68.64
295,597.00,63.43
296,598.00,75.78
297,599.00,71.49
298,600.00,80.16
299,601.00,85.46
300,602.00,94.27
301,603.00,92.53
302,604.00,99.67
303,605.00,102.04
304,606.00,115.36
305,607.00,114.33
306,608.00,130.18
307,609.00,124.30
308,610.00,144.63
309,611.00,143.75
310,612.00,152.82
311,613.00,163.94
312,614.00,194.09
313,615.00,225.53
314,616.00,251.70
315,617.00,290.03
316,618.00,324.74
317,619.00,348.82
318,620.00,325.54
319,621.00,342.11
320,622.00,293.20
321,623.00,273.72
322,624.00,210.23
323,625.00,179.80
324,626.00,129.70
325,627.00,110.30
326,628.00,75.57
327,629.00,70.21
328,630.00,56.01
329,631.00,56.79
330,632.00,45.89
331,633.00,44.95
332,634.00,41.91
333,635.00,39.41
334,636.00,33.66
335,637.00,29.07
336,638.00,33.59
337,639.00,32.19
338,640.00,32.37
339,641.00,30.46
340,642.00,34.79
341,643.00,37.70
342,644.00,40.22
343,645.00,36.61
344,646.00,43.70
345,647.00,39.47
346,648.00,38.86
347,649.00,33.61
348,650.00,35.83
349,651.00,31.98
350,652.00,32.84
351,653.00,26.07
352,654.00,32.93
353,655.00,30.43
354,656.00,32.91
355,657.00,28.83
356,658.00,34.93
357,659.00,34.74
358,660.00,40.16
359,661.00,33.03
360,662.00,38.17
361,663.00,32.04
362,664.00,38.70
363,665.00,30.56
364,666.00,35.24
365,667.00,27.79
366,668.00,35.85
367,669.00,24.88
368,670.00,34.48
369,671.00,25.05
370,672.00,34.46
371,673.00,24.38
372,674.00,33.21
373,675.00,28.14
374,676.00,32.54
375,677.00,27.18
376,678.00,39.16
377,679.00,31.39
378,680.00,34.48
379,681.00,26.14
380,682.00,34.11
381,683.00,28.55
382,684.00,28.72
383,685.00,24.03
384,686.00,29.01
385,687.00,24.56
386,688.00,28.76
387,689.00,17.93
388,690.00,29.23
389,691.00,18.42
390,692.00,30.44
391,693.00,21.57
392,694.00,34.52
393,695.00,16.56
394,696.00,32.15
395,697.00,15.56
396,698.00,33.88
397,699.00,16.02
398,700.00,25.86
399,701.00,16.54
400,702.00,30.66
401,703.00,21.85
402,704.00,30.79
403,705.00,20.37
404,706.00,37.85
405,707.00,31.39
406,708.00,50.48
407,709.00,34.43
408,710.00,60.23
409,711.00,36.47
410,712.00,52.79
411,713.00,25.76
412,714.00,38.53
413,715.00,22.54
414,716.00,25.08
415,717.00,20.49
416,718.00,25.73
417,719.00,27.57
418,720.00,31.81
419,721.00,40.51
420,722.00,50.93
421,723.00,66.07
422,724.00,72.48
423,725.00,87.38
424,726.00,86.72
425,727.00,116.51
426,728.00,126.76
427,729.00,154.96
428,730.00,155.09
429,731.00,172.75
430,732.00,174.51
431,733.00,185.44
432,734.00,192.31
433,735.00,195.44
434,736.00,188.52
435,737.00,203.56
436,738.00,196.13
437,739.00,190.15
438,740.00,234.85
439,741.00,202.78
440,742.00,273.97
441,743.00,325.77
442,744.00,294.80
443,745.00,382.48
444,746.00,474.49
445,747.00,486.51
446,748.00,454.58
447,749.00,474.87
448,750.00,483.60
449,751.00,521.25
450,752.00,557.86
451,753.00,641.69
452,754.00,682.82
453,755.00,790.48
454,756.00,799.24
455,757.00,946.42
456,758.00,1052.44
457,759.00,1196.04
458,760.00,1389.47
459,761.00,1693.97
460,762.00,2124.75
461,763.00,2550.48
462,764.00,3076.23
463,765.00,3643.86
464,766.00,3967.63
465,767.00,4186.19
466,768.00,4021.19
467,769.00,3907.38
468,770.00,3601.78
469,771.00,3393.81
470,772.00,3064.74
471,773.00,2964.36
472,774.00,3073.37
473,775.00,3323.35
474,776.00,3683.68
475,777.00,4211.20
476,778.00,5147.40
477,779.00,6327.69
478,780.00,7533.06
479,781.00,9143.81
480,782.00,11063.23
481,783.00,13153.42
482,784.00,15719.22
483,785.00,18873.60
484,786.00,22568.28
485,787.00,27484.56
486,788.00,33285.59
487,789.00,40354.21
488,790.00,47626.28
489,791.00,54664.83
490,792.00,58839.61
491,793.00,59930.01
492,794.00,55672.29
493,795.00,47687.94
494,796.00,37423.39
495,797.00,27483.11
496,798.00,19062.31
497,799.00,12868.06
498,800.00,8710.18
499,801.00,6106.99
500,802.00,4560.18
501,803.00,3592.71
502,804.00,3028.61
503,805.00,2735.16
504,806.00,2524.45
505,807.00,2437.39
506,808.00,2344.71
507,809.00,2174.52
508,810.00,1968.15
509,811.00,1718.39
510,812.00,1438.84
511,813.00,1187.93
512,814.00,898.07
513,815.00,721.63
514,816.00,632.78
515,817.00,537.37
516,818.00,505.86
517,819.00,471.82
518,820.00,529.04
519,821.00,537.36
520,822.00,630.00
521,823.00,674.94
522,824.00,733.41
523,825.00,771.89
524,826.00,750.24
525,827.00,746.41
526,828.00,673.71
527,829.00,580.56
528,830.00,508.45
529,831.00,403.95
530,832.00,301.11
531,833.00,216.68
532,834.00,161.32
533,835.00,104.47
534,836.00,69.61
535,837.00,54.90
536,838.00,45.70
537,839.00,44.05
538,840.00,64.19
539,841.00,63.23
540,842.00,79.56
541,843.00,86.05
