ENLIGHTEN Version,4.1.44
Measurement ID,20260406-113811-743982-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_38_11 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,1590
Timestamp,2026-04-06 11:38:08.285648
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,36.12
1,303.00,33.49
2,304.00,34.93
3,305.00,32.93
4,306.00,33.96
5,307.00,33.79
6,308.00,35.14
7,309.00,32.35
8,310.00,32.25
9,311.00,31.18
10,312.00,33.65
11,313.00,34.07
12,314.00,36.84
13,315.00,38.81
14,316.00,41.98
15,317.00,37.25
16,318.00,37.94
17,319.00,35.57
18,320.00,29.15
19,321.00,30.89
20,322.00,27.78
21,323.00,29.79
22,324.00,29.73
23,325.00,28.77
24,326.00,25.97
25,327.00,25.78
26,328.00,28.00
27,329.00,28.22
28,330.00,29.37
29,331.00,32.07
30,332.00,31.57
31,333.00,31.06
32,334.00,31.74
33,335.00,30.87
34,336.00,29.14
35,337.00,34.02
36,338.00,32.04
37,339.00,32.60
38,340.00,29.84
39,341.00,31.56
40,342.00,31.93
41,343.00,31.43
42,344.00,31.30
43,345.00,31.55
44,346.00,35.41
45,347.00,33.91
46,348.00,35.81
47,349.00,36.72
48,350.00,41.05
49,351.00,41.99
50,352.00,42.99
51,353.00,45.49
52,354.00,45.14
53,355.00,45.61
54,356.00,45.53
55,357.00,41.74
56,358.00,43.74
57,359.00,39.57
58,360.00,39.43
59,361.00,39.66
60,362.00,41.46
61,363.00,43.33
62,364.00,44.68
63,365.00,47.62
64,366.00,51.67
65,367.00,56.46
66,368.00,65.33
67,369.00,66.41
68,370.00,72.06
69,371.00,75.37
70,372.00,78.21
