ENLIGHTEN Version,4.1.44
Measurement ID,20260406-115436-768727-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_54_36 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:54:31.206195
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,6.5
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,908.67
1,303.00,933.01
2,304.00,967.65
3,305.00,989.81
4,306.00,1026.64
5,307.00,1035.36
6,308.00,1036.64
7,309.00,1012.53
8,310.00,1013.58
9,311.00,988.22
10,312.00,1001.60
11,313.00,993.33
12,314.00,1000.16
13,315.00,1004.10
14,316.00,1050.33
15,317.00,1077.91
16,318.00,1170.71
17,319.00,1231.84
18,320.00,1358.93
19,321.00,1476.89
20,322.00,1646.56
21,323.00,1774.24
22,324.00,1951.92
23,325.00,2112.07
24,326.00,2266.81
25,327.00,2396.53
26,328.00,2528.34
27,329.00,2665.17
28,330.00,2810.99
29,331.00,2973.34
30,332.00,3190.53
31,333.00,3431.14
32,334.00,3824.04
33,335.00,4230.65
34,336.00,4775.92
35,337.00,5414.35
36,338.00,6160.31
37,339.00,6966.46
38,340.00,7834.12
39,341.00,8641.14
40,342.00,9408.95
41,343.00,9967.10
42,344.00,10334.30
43,345.00,10427.81
44,346.00,10182.48
45,347.00,9817.77
46,348.00,9129.35
47,349.00,8309.35
48,350.00,7455.22
49,351.00,6492.52
50,352.00,5608.78
51,353.00,4733.37
52,354.00,3945.00
53,355.00,3248.32
54,356.00,2657.95
55,357.00,2161.63
56,358.00,1744.30
57,359.00,1403.09
58,360.00,1136.65
59,361.00,914.51
60,362.00,743.54
61,363.00,603.32
62,364.00,479.39
63,365.00,409.18
64,366.00,340.71
65,367.00,309.58
