ENLIGHTEN Version,4.1.44
Measurement ID,20260406-111752-702503-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_17_52 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:17:51.166187
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,309.57
1,303.00,343.56
2,304.00,395.31
3,305.00,466.72
4,306.00,552.80
5,307.00,659.52
6,308.00,758.85
7,309.00,886.54
8,310.00,996.72
9,311.00,1088.31
10,312.00,1111.78
11,313.00,1131.29
12,314.00,1103.54
13,315.00,1051.32
14,316.00,984.67
15,317.00,867.60
16,318.00,790.95
17,319.00,697.65
18,320.00,587.87
19,321.00,525.28
20,322.00,416.85
21,323.00,360.92
22,324.00,282.66
23,325.00,220.61
24,326.00,187.98
25,327.00,144.41
26,328.00,108.44
27,329.00,65.91
28,330.00,44.43
29,331.00,17.28
30,332.00,11.30
31,333.00,2.35
32,334.00,4.35
33,335.00,0.63
34,336.00,2.27
35,337.00,0.00
36,338.00,6.00
37,339.00,2.40
38,340.00,12.76
39,341.00,9.67
40,342.00,36.57
41,343.00,41.40
42,344.00,86.32
43,345.00,95.83
44,346.00,133.55
45,347.00,136.14
46,348.00,173.72
47,349.00,182.16
48,350.00,207.98
49,351.00,240.66
50,352.00,292.03
51,353.00,371.16
52,354.00,463.78
53,355.00,591.63
54,356.00,705.24
55,357.00,869.02
56,358.00,1030.72
57,359.00,1253.35
58,360.00,1454.68
59,361.00,1671.16
60,362.00,1913.04
61,363.00,2147.82
62,364.00,2371.40
63,365.00,2612.28
64,366.00,2812.13
65,367.00,2984.13
66,368.00,3119.04
67,369.00,3170.34
68,370.00,3138.56
69,371.00,3046.72
70,372.00,2871.86
71,373.00,2691.32
72,374.00,2510.34
73,375.00,2337.61
74,376.00,2227.00
75,377.00,2115.60
76,378.00,2067.00
77,379.00,2036.71
78,380.00,2053.99
79,381.00,2118.25
80,382.00,2211.73
81,383.00,2362.72
82,384.00,2510.58
83,385.00,2708.07
84,386.00,2892.49
85,387.00,3039.98
86,388.00,3180.22
87,389.00,3194.19
88,390.00,3152.43
89,391.00,3008.42
90,392.00,2796.84
91,393.00,2516.26
92,394.00,2262.71
93,395.00,1973.64
94,396.00,1733.01
95,397.00,1502.34
