ENLIGHTEN Version,4.1.44
Measurement ID,20260406-111817-706938-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_18_17 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:18:15.458971
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,1382.89
1,303.00,1306.33
2,304.00,1170.95
3,305.00,1004.40
4,306.00,835.98
5,307.00,705.40
6,308.00,572.21
7,309.00,479.28
8,310.00,398.38
9,311.00,354.71
10,312.00,318.53
11,313.00,283.01
12,314.00,280.52
13,315.00,257.62
14,316.00,248.47
15,317.00,227.11
16,318.00,226.87
17,319.00,188.74
18,320.00,173.70
19,321.00,142.53
20,322.00,135.73
21,323.00,99.27
22,324.00,80.56
23,325.00,63.30
24,326.00,60.33
25,327.00,52.66
26,328.00,55.27
27,329.00,43.35
28,330.00,51.77
29,331.00,45.91
30,332.00,47.51
31,333.00,41.48
32,334.00,46.19
33,335.00,38.32
34,336.00,38.55
35,337.00,34.15
36,338.00,35.21
37,339.00,28.28
38,340.00,28.14
39,341.00,23.01
40,342.00,28.70
41,343.00,17.43
42,344.00,20.09
43,345.00,12.96
44,346.00,23.34
45,347.00,16.89
46,348.00,20.28
47,349.00,14.16
48,350.00,25.90
49,351.00,25.79
50,352.00,20.14
51,353.00,14.14
52,354.00,22.39
53,355.00,17.73
54,356.00,17.27
55,357.00,12.16
56,358.00,28.13
57,359.00,18.79
58,360.00,24.76
59,361.00,19.20
60,362.00,28.26
61,363.00,19.15
62,364.00,8.77
63,365.00,4.33
64,366.00,5.47
65,367.00,4.57
66,368.00,4.11
67,369.00,4.54
68,370.00,8.64
69,371.00,10.65
70,372.00,12.78
