ENLIGHTEN Version,4.1.44
Measurement ID,20260406-120221-751243-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_02_21 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 12:02:20.636720
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.8
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,210.64
1,303.00,243.26
2,304.00,288.96
3,305.00,330.00
4,306.00,372.76
5,307.00,423.40
6,308.00,432.94
7,309.00,446.58
8,310.00,456.36
9,311.00,435.26
10,312.00,422.02
11,313.00,385.82
12,314.00,374.27
13,315.00,359.66
14,316.00,343.86
15,317.00,322.81
16,318.00,297.01
17,319.00,280.33
18,320.00,275.42
19,321.00,256.11
20,322.00,243.49
21,323.00,224.49
22,324.00,228.62
23,325.00,214.19
24,326.00,213.11
25,327.00,213.48
26,328.00,239.10
27,329.00,236.51
28,330.00,245.93
29,331.00,247.38
30,332.00,238.84
31,333.00,254.79
32,334.00,282.40
33,335.00,307.65
34,336.00,321.54
35,337.00,371.59
36,338.00,413.77
37,339.00,458.98
38,340.00,488.45
39,341.00,547.05
40,342.00,607.06
41,343.00,648.59
42,344.00,721.45
43,345.00,761.40
44,346.00,850.19
45,347.00,915.89
46,348.00,999.29
47,349.00,1072.57
48,350.00,1162.06
49,351.00,1255.98
50,352.00,1349.61
51,353.00,1428.47
52,354.00,1527.52
53,355.00,1631.31
54,356.00,1746.68
55,357.00,1934.50
56,358.00,2117.74
57,359.00,2363.86
58,360.00,2635.62
59,361.00,3018.27
60,362.00,3460.47
61,363.00,3948.65
62,364.00,4579.71
63,365.00,5311.45
64,366.00,6132.87
65,367.00,7247.06
66,368.00,8470.94
67,369.00,9964.78
68,370.00,11758.29
69,371.00,13742.27
70,372.00,16066.69
71,373.00,18639.87
72,374.00,21174.84
73,375.00,23876.92
74,376.00,26152.06
75,377.00,27740.26
76,378.00,28860.61
77,379.00,28453.83
78,380.00,27448.19
79,381.00,25328.06
80,382.00,22462.41
81,383.00,19466.73
82,384.00,16268.06
83,385.00,13404.85
84,386.00,10898.76
85,387.00,8873.30
86,388.00,7350.07
87,389.00,6150.44
88,390.00,5265.90
89,391.00,4647.96
90,392.00,4077.38
91,393.00,3669.26
92,394.00,3298.50
93,395.00,2940.36
94,396.00,2675.07
95,397.00,2395.30
96,398.00,2110.85
97,399.00,1866.11
98,400.00,1619.81
99,401.00,1432.24
100,402.00,1229.10
101,403.00,1088.48
102,404.00,959.44
103,405.00,853.29
104,406.00,746.95
105,407.00,661.23
106,408.00,618.67
107,409.00,573.29
108,410.00,511.70
109,411.00,475.54
110,412.00,460.16
111,413.00,424.60
112,414.00,408.79
113,415.00,370.23
114,416.00,372.39
115,417.00,342.62
116,418.00,332.27
117,419.00,296.60
118,420.00,285.72
119,421.00,264.39
120,422.00,253.07
121,423.00,228.78
122,424.00,243.68
123,425.00,241.31
124,426.00,243.10
125,427.00,265.96
126,428.00,315.18
127,429.00,340.07
128,430.00,389.70
129,431.00,405.65
130,432.00,443.18
131,433.00,473.07
