ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112239-501416-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_22_39 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:22:37.657966
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,8.3
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,635.44
1,303.00,614.34
2,304.00,592.64
3,305.00,582.90
4,306.00,616.63
5,307.00,616.39
6,308.00,686.39
7,309.00,686.11
8,310.00,744.19
9,311.00,775.18
10,312.00,786.44
11,313.00,787.20
12,314.00,813.54
13,315.00,830.00
14,316.00,845.78
15,317.00,864.89
16,318.00,897.50
17,319.00,935.83
18,320.00,972.83
19,321.00,1007.84
20,322.00,1034.18
21,323.00,1099.45
22,324.00,1163.10
23,325.00,1210.54
24,326.00,1250.74
25,327.00,1291.38
26,328.00,1281.44
27,329.00,1302.05
28,330.00,1283.92
29,331.00,1281.11
30,332.00,1231.16
31,333.00,1192.44
32,334.00,1117.38
33,335.00,1069.39
34,336.00,981.51
35,337.00,911.28
36,338.00,845.43
37,339.00,769.28
38,340.00,687.90
39,341.00,627.08
40,342.00,562.95
41,343.00,527.57
42,344.00,492.38
43,345.00,467.72
44,346.00,408.08
45,347.00,391.65
46,348.00,315.49
47,349.00,281.78
48,350.00,217.98
49,351.00,199.83
50,352.00,152.69
51,353.00,144.03
52,354.00,115.57
53,355.00,124.21
54,356.00,120.62
55,357.00,119.52
56,358.00,134.04
57,359.00,146.48
58,360.00,156.79
59,361.00,163.11
60,362.00,179.05
61,363.00,188.85
62,364.00,233.37
63,365.00,251.41
64,366.00,304.66
65,367.00,355.50
66,368.00,499.42
67,369.00,598.92
68,370.00,750.24
69,371.00,906.69
70,372.00,1074.36
71,373.00,1220.39
72,374.00,1367.30
73,375.00,1487.33
74,376.00,1590.07
75,377.00,1666.03
76,378.00,1699.26
77,379.00,1762.81
78,380.00,1806.74
79,381.00,1855.79
