ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112724-385641-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_27_24 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:27:22.746234
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,6.2
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,98.13
1,303.00,103.95
2,304.00,104.78
3,305.00,96.99
4,306.00,99.25
5,307.00,105.70
6,308.00,111.88
7,309.00,133.64
8,310.00,155.33
9,311.00,193.30
10,312.00,250.98
11,313.00,303.26
12,314.00,361.10
13,315.00,452.99
14,316.00,486.95
15,317.00,591.39
16,318.00,642.37
17,319.00,742.55
18,320.00,864.12
19,321.00,989.18
20,322.00,1105.86
21,323.00,1261.38
22,324.00,1361.37
23,325.00,1496.45
24,326.00,1659.75
25,327.00,1796.32
26,328.00,1887.36
27,329.00,1982.27
28,330.00,2094.61
29,331.00,2158.69
30,332.00,2267.47
31,333.00,2326.97
32,334.00,2348.81
33,335.00,2340.98
34,336.00,2314.26
35,337.00,2295.84
36,338.00,2329.69
37,339.00,2366.14
38,340.00,2403.77
39,341.00,2481.29
40,342.00,2602.29
41,343.00,2755.10
42,344.00,2947.84
43,345.00,3212.27
44,346.00,3546.78
45,347.00,3934.25
46,348.00,4520.51
47,349.00,5256.62
48,350.00,6172.48
49,351.00,7281.46
50,352.00,8522.13
51,353.00,9830.24
52,354.00,11036.13
53,355.00,11976.74
54,356.00,12498.82
55,357.00,12579.53
56,358.00,12005.31
57,359.00,11162.65
58,360.00,9994.10
59,361.00,8783.32
60,362.00,7594.21
61,363.00,6516.72
62,364.00,5603.17
63,365.00,4866.23
64,366.00,4274.15
65,367.00,3905.51
66,368.00,3642.00
67,369.00,3577.75
68,370.00,3630.65
69,371.00,3869.10
70,372.00,4248.35
71,373.00,4798.95
72,374.00,5507.19
73,375.00,6310.11
74,376.00,7104.94
75,377.00,7649.80
76,378.00,7839.92
77,379.00,7618.14
78,380.00,6979.05
79,381.00,6076.09
80,382.00,5104.83
81,383.00,4258.98
82,384.00,3527.24
83,385.00,2982.66
84,386.00,2617.28
85,387.00,2389.59
86,388.00,2256.26
87,389.00,2206.59
88,390.00,2249.90
89,391.00,2356.23
90,392.00,2539.19
91,393.00,2733.21
92,394.00,2944.08
93,395.00,3264.03
94,396.00,3488.45
95,397.00,3724.42
96,398.00,3807.37
97,399.00,3818.83
98,400.00,3511.07
99,401.00,3076.43
100,402.00,2576.39
101,403.00,2030.80
102,404.00,1530.89
103,405.00,1076.21
104,406.00,719.41
105,407.00,498.06
106,408.00,341.02
107,409.00,232.49
108,410.00,152.09
109,411.00,114.77
110,412.00,85.87
111,413.00,73.60
112,414.00,56.86
113,415.00,63.36
114,416.00,49.54
115,417.00,64.09
116,418.00,41.84
117,419.00,72.38
118,420.00,39.09
119,421.00,60.77
120,422.00,35.21
121,423.00,41.64
122,424.00,31.20
123,425.00,35.49
124,426.00,27.12
125,427.00,29.30
126,428.00,35.80
127,429.00,44.16
128,430.00,59.04
129,431.00,78.66
130,432.00,132.43
131,433.00,205.85
132,434.00,325.93
133,435.00,494.66
134,436.00,706.72
135,437.00,960.17
136,438.00,1216.89
137,439.00,1430.89
138,440.00,1647.31
139,441.00,1738.45
140,442.00,1816.97
141,443.00,1791.94
142,444.00,1813.33
143,445.00,1752.02
144,446.00,1783.26
145,447.00,1731.08
146,448.00,1782.01
147,449.00,1766.00
148,450.00,1767.95
149,451.00,1736.40
150,452.00,1733.00
151,453.00,1696.36
152,454.00,1703.58
153,455.00,1711.38
154,456.00,1728.96
155,457.00,1784.19
156,458.00,1937.23
157,459.00,2123.83
158,460.00,2393.46
159,461.00,2727.12
160,462.00,3119.56
161,463.00,3652.81
162,464.00,4229.86
163,465.00,4839.25
164,466.00,5434.04
165,467.00,6122.17
166,468.00,6800.59
167,469.00,7375.59
168,470.00,7967.23
169,471.00,8524.00
170,472.00,9023.09
171,473.00,9472.01
172,474.00,9848.50
173,475.00,10148.92
174,476.00,10309.89
175,477.00,10152.11
176,478.00,9819.58
177,479.00,9169.90
178,480.00,8333.45
179,481.00,7261.72
180,482.00,6147.88
181,483.00,5081.49
182,484.00,4169.69
183,485.00,3376.86
184,486.00,2717.65
185,487.00,2219.28
186,488.00,1854.65
187,489.00,1599.93
188,490.00,1386.98
189,491.00,1262.48
190,492.00,1181.89
191,493.00,1119.57
192,494.00,1034.35
193,495.00,976.50
194,496.00,881.96
195,497.00,850.70
196,498.00,767.29
197,499.00,688.56
198,500.00,603.29
199,501.00,519.29
200,502.00,488.16
201,503.00,417.42
202,504.00,350.31
203,505.00,303.34
204,506.00,272.08
205,507.00,238.50
206,508.00,189.82
207,509.00,178.08
208,510.00,159.39
209,511.00,160.73
210,512.00,148.37
211,513.00,157.83
212,514.00,144.08
213,515.00,166.93
