ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112748-302380-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_27_48 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,960
Timestamp,2026-04-06 11:27:46.833213
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,46.88
1,303.00,60.59
2,304.00,48.26
3,305.00,75.50
4,306.00,68.33
5,307.00,100.67
6,308.00,96.05
7,309.00,125.20
8,310.00,133.21
9,311.00,158.63
10,312.00,156.72
11,313.00,171.33
12,314.00,180.59
13,315.00,190.21
14,316.00,199.53
15,317.00,208.89
16,318.00,219.89
17,319.00,241.08
18,320.00,278.46
19,321.00,296.98
20,322.00,317.15
21,323.00,343.75
22,324.00,370.96
23,325.00,392.04
24,326.00,424.09
25,327.00,449.44
26,328.00,466.93
27,329.00,500.79
28,330.00,521.68
29,331.00,560.19
30,332.00,572.53
31,333.00,610.23
32,334.00,641.05
33,335.00,682.48
34,336.00,688.50
35,337.00,743.68
36,338.00,763.81
37,339.00,798.02
38,340.00,801.57
39,341.00,841.65
40,342.00,862.98
41,343.00,877.89
42,344.00,931.68
43,345.00,981.70
44,346.00,1035.25
45,347.00,1135.10
46,348.00,1174.50
47,349.00,1294.89
48,350.00,1370.50
49,351.00,1494.40
50,352.00,1598.90
51,353.00,1720.43
52,354.00,1832.04
53,355.00,1935.86
54,356.00,2038.33
55,357.00,2157.55
56,358.00,2260.33
57,359.00,2384.21
58,360.00,2511.21
59,361.00,2649.72
60,362.00,2766.93
61,363.00,2969.68
62,364.00,3139.37
63,365.00,3411.96
64,366.00,3684.47
65,367.00,4081.41
66,368.00,4502.26
67,369.00,5049.61
68,370.00,5680.33
69,371.00,6452.90
70,372.00,7293.15
71,373.00,8260.62
72,374.00,9235.77
73,375.00,10270.91
74,376.00,11160.24
75,377.00,11950.68
76,378.00,12555.46
77,379.00,12904.91
78,380.00,13048.58
79,381.00,13000.91
80,382.00,12857.21
81,383.00,12703.76
82,384.00,12484.60
83,385.00,12390.04
84,386.00,12271.75
85,387.00,12277.36
86,388.00,12222.10
87,389.00,12146.87
88,390.00,11953.13
89,391.00,11590.21
90,392.00,11145.96
91,393.00,10468.99
92,394.00,9685.70
93,395.00,8837.11
94,396.00,7974.81
95,397.00,7200.08
96,398.00,6429.74
97,399.00,5782.74
98,400.00,5237.70
99,401.00,4797.91
100,402.00,4417.82
101,403.00,4098.32
102,404.00,3838.52
103,405.00,3611.05
104,406.00,3408.68
105,407.00,3215.52
106,408.00,3043.99
107,409.00,2887.36
108,410.00,2714.92
109,411.00,2572.25
110,412.00,2431.98
111,413.00,2297.80
112,414.00,2146.09
113,415.00,1985.41
114,416.00,1783.56
115,417.00,1633.80
116,418.00,1503.02
117,419.00,1344.55
118,420.00,1256.95
119,421.00,1170.54
120,422.00,1094.91
121,423.00,1038.79
122,424.00,984.30
123,425.00,956.75
124,426.00,911.18
125,427.00,876.28
126,428.00,857.51
127,429.00,802.78
128,430.00,814.00
129,431.00,771.50
130,432.00,683.47
131,433.00,621.15
132,434.00,632.22
133,435.00,583.41
134,436.00,585.26
135,437.00,552.16
136,438.00,570.42
137,439.00,564.50
138,440.00,645.45
139,441.00,664.16
140,442.00,672.71
141,443.00,685.77
142,444.00,695.68
143,445.00,664.88
144,446.00,681.56
145,447.00,635.80
146,448.00,648.81
147,449.00,609.02
148,450.00,600.65
149,451.00,560.73
150,452.00,540.87
151,453.00,506.28
152,454.00,499.06
153,455.00,464.66
154,456.00,458.25
155,457.00,443.46
156,458.00,412.57
157,459.00,381.66
158,460.00,298.05
159,461.00,280.94
160,462.00,262.95
161,463.00,231.40
162,464.00,206.85
163,465.00,199.99
164,466.00,187.95
165,467.00,190.29
166,468.00,179.08
167,469.00,165.77
168,470.00,148.50
169,471.00,139.71
170,472.00,105.84
171,473.00,78.74
172,474.00,53.22
173,475.00,36.13
174,476.00,15.85
175,477.00,11.24
176,478.00,9.29
177,479.00,8.56
178,480.00,11.86
179,481.00,13.84
180,482.00,15.73
181,483.00,20.25
182,484.00,29.23
183,485.00,34.48
184,486.00,31.66
185,487.00,34.21
186,488.00,43.66
187,489.00,46.83
188,490.00,41.04
189,491.00,42.27
190,492.00,58.84
191,493.00,52.01
192,494.00,45.53
193,495.00,42.80
194,496.00,29.30
195,497.00,27.89
196,498.00,22.80
197,499.00,18.59
198,500.00,13.01
199,501.00,14.88
200,502.00,18.41
201,503.00,26.04
202,504.00,25.66
203,505.00,36.33
204,506.00,31.31
205,507.00,41.14
206,508.00,27.07
207,509.00,22.70
208,510.00,9.64
209,511.00,9.02
210,512.00,1.87
211,513.00,2.39
212,514.00,1.16
213,515.00,0.91
214,516.00,0.26
215,517.00,0.37
216,518.00,2.36
217,519.00,4.07
218,520.00,5.44
219,521.00,12.74
220,522.00,18.49
221,523.00,23.92
222,524.00,8.92
223,525.00,7.95
224,526.00,7.24
225,527.00,3.54
226,528.00,0.00
227,529.00,1.29
228,530.00,0.55
229,531.00,1.21
230,532.00,0.52
231,533.00,1.85
232,534.00,3.16
233,535.00,9.08
234,536.00,15.50
235,537.00,31.53
236,538.00,44.93
237,539.00,70.60
238,540.00,109.02
239,541.00,125.37
240,542.00,166.78
