ENLIGHTEN Version,4.1.44
Measurement ID,20260406-112955-825155-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_29_55 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:29:54.595701
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,490.35
1,303.00,499.78
2,304.00,493.70
3,305.00,494.10
4,306.00,469.56
5,307.00,459.40
6,308.00,432.52
7,309.00,417.33
8,310.00,403.79
9,311.00,390.77
10,312.00,372.12
11,313.00,368.41
12,314.00,366.44
13,315.00,364.14
14,316.00,345.80
15,317.00,342.11
16,318.00,349.55
17,319.00,355.48
18,320.00,345.22
19,321.00,348.76
20,322.00,334.89
21,323.00,336.30
22,324.00,322.34
23,325.00,322.67
24,326.00,299.36
25,327.00,300.28
26,328.00,277.25
27,329.00,280.78
28,330.00,253.44
29,331.00,252.43
30,332.00,228.25
31,333.00,228.40
32,334.00,211.36
33,335.00,207.47
34,336.00,196.56
35,337.00,191.07
36,338.00,187.51
37,339.00,177.87
38,340.00,180.28
39,341.00,179.29
40,342.00,178.31
41,343.00,175.13
42,344.00,173.90
43,345.00,171.57
44,346.00,154.86
45,347.00,151.07
46,348.00,143.41
47,349.00,136.62
48,350.00,127.75
49,351.00,131.31
50,352.00,132.33
51,353.00,136.92
52,354.00,131.53
53,355.00,138.89
54,356.00,146.22
55,357.00,154.38
56,358.00,159.08
57,359.00,171.03
58,360.00,157.71
59,361.00,169.68
60,362.00,154.11
61,363.00,144.52
62,364.00,142.92
63,365.00,140.51
64,366.00,145.76
65,367.00,149.11
66,368.00,211.37
67,369.00,252.34
68,370.00,280.88
69,371.00,342.20
70,372.00,370.07
