ENLIGHTEN Version,4.1.44
Measurement ID,20260406-120037-912882-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_00_37 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 12:00:33.457711
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,6.7
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,11912.27
1,303.00,12492.74
2,304.00,13018.49
3,305.00,13559.81
4,306.00,14063.01
5,307.00,14354.06
6,308.00,14454.14
7,309.00,14273.55
8,310.00,13996.00
9,311.00,13429.66
10,312.00,12796.85
11,313.00,12083.95
12,314.00,11466.42
13,315.00,10817.14
14,316.00,10296.36
15,317.00,9838.39
16,318.00,9469.38
17,319.00,9182.35
18,320.00,9055.48
19,321.00,8944.47
20,322.00,8987.20
21,323.00,8973.49
22,324.00,9078.62
23,325.00,9177.28
24,326.00,9312.80
25,327.00,9341.88
26,328.00,9428.83
27,329.00,9386.18
28,330.00,9351.41
29,331.00,9152.70
30,332.00,8824.04
31,333.00,8495.84
32,334.00,8111.79
33,335.00,7716.66
34,336.00,7196.81
35,337.00,6786.19
36,338.00,6342.09
37,339.00,5968.80
38,340.00,5520.69
39,341.00,5164.50
40,342.00,4740.45
41,343.00,4381.59
42,344.00,3919.26
43,345.00,3558.57
44,346.00,3167.92
45,347.00,2843.70
46,348.00,2528.75
47,349.00,2253.52
48,350.00,2029.23
49,351.00,1811.75
50,352.00,1650.44
51,353.00,1478.36
52,354.00,1324.42
53,355.00,1198.66
54,356.00,1062.91
55,357.00,985.61
56,358.00,850.21
57,359.00,783.78
58,360.00,703.39
59,361.00,626.83
60,362.00,558.15
61,363.00,497.26
62,364.00,421.18
63,365.00,361.32
64,366.00,339.36
65,367.00,297.12
