ENLIGHTEN Version,4.1.44
Measurement ID,20260406-113304-784588-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_33_04 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:33:02.071709
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,14.1
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,78.81
1,303.00,82.86
2,304.00,83.60
3,305.00,84.31
4,306.00,91.09
5,307.00,97.30
6,308.00,107.03
7,309.00,110.93
8,310.00,115.16
9,311.00,127.66
10,312.00,130.89
11,313.00,137.94
12,314.00,127.96
13,315.00,126.74
14,316.00,117.62
15,317.00,120.27
16,318.00,117.43
17,319.00,119.77
18,320.00,150.43
19,321.00,162.42
20,322.00,171.27
21,323.00,195.77
22,324.00,241.69
23,325.00,249.21
24,326.00,253.75
25,327.00,261.63
26,328.00,236.79
27,329.00,237.39
28,330.00,214.04
29,331.00,212.43
30,332.00,221.60
31,333.00,233.00
32,334.00,233.43
33,335.00,247.96
34,336.00,281.16
35,337.00,304.62
36,338.00,297.19
37,339.00,315.65
38,340.00,317.26
39,341.00,312.40
40,342.00,325.43
41,343.00,325.56
42,344.00,319.64
43,345.00,322.56
44,346.00,334.47
45,347.00,349.33
46,348.00,372.91
47,349.00,387.04
48,350.00,410.43
49,351.00,421.00
50,352.00,435.95
51,353.00,443.49
52,354.00,433.04
53,355.00,427.51
54,356.00,422.38
55,357.00,409.63
56,358.00,415.70
57,359.00,410.32
58,360.00,380.06
59,361.00,360.37
60,362.00,355.68
61,363.00,338.66
62,364.00,345.14
63,365.00,329.97
64,366.00,349.19
65,367.00,361.02
66,368.00,429.20
67,369.00,458.20
68,370.00,487.87
69,371.00,535.58
70,372.00,564.66
71,373.00,573.67
72,374.00,607.01
73,375.00,618.42
74,376.00,600.74
75,377.00,575.78
76,378.00,584.19
77,379.00,588.85
78,380.00,602.16
79,381.00,610.26
80,382.00,648.66
81,383.00,701.17
82,384.00,808.25
83,385.00,866.96
84,386.00,935.88
85,387.00,1027.23
86,388.00,1089.55
87,389.00,1111.13
88,390.00,1176.10
89,391.00,1207.84
90,392.00,1239.91
91,393.00,1260.04
92,394.00,1316.73
93,395.00,1329.97
94,396.00,1390.20
95,397.00,1413.09
96,398.00,1480.00
97,399.00,1511.58
98,400.00,1560.72
99,401.00,1584.08
100,402.00,1610.39
101,403.00,1601.36
102,404.00,1604.21
103,405.00,1575.77
104,406.00,1576.17
105,407.00,1551.13
106,408.00,1555.56
107,409.00,1519.17
108,410.00,1516.87
109,411.00,1481.71
110,412.00,1452.79
111,413.00,1406.40
112,414.00,1354.53
113,415.00,1300.89
114,416.00,1239.24
115,417.00,1174.37
116,418.00,1102.04
117,419.00,1044.01
118,420.00,1007.43
119,421.00,969.79
120,422.00,940.67
121,423.00,929.25
122,424.00,895.84
123,425.00,892.75
124,426.00,864.89
125,427.00,853.95
126,428.00,822.79
127,429.00,816.27
128,430.00,797.40
129,431.00,792.37
130,432.00,804.81
131,433.00,819.55
132,434.00,801.46
133,435.00,818.03
134,436.00,798.14
135,437.00,800.25
136,438.00,776.37
137,439.00,766.76
138,440.00,723.04
139,441.00,711.69
140,442.00,692.97
141,443.00,691.59
142,444.00,693.77
143,445.00,683.49
144,446.00,684.56
145,447.00,668.00
146,448.00,702.94
147,449.00,700.92
148,450.00,699.46
149,451.00,682.90
150,452.00,637.21
151,453.00,624.24
152,454.00,598.07
153,455.00,570.97
154,456.00,568.19
155,457.00,577.82
156,458.00,564.73
157,459.00,589.73
158,460.00,563.89
159,461.00,573.84
160,462.00,561.88
161,463.00,551.95
162,464.00,555.68
163,465.00,534.69
164,466.00,519.63
165,467.00,478.42
166,468.00,443.20
167,469.00,395.81
168,470.00,404.41
169,471.00,374.61
170,472.00,366.18
171,473.00,370.59
172,474.00,396.53
173,475.00,459.60
174,476.00,540.05
175,477.00,593.81
176,478.00,596.12
177,479.00,589.49
178,480.00,526.33
179,481.00,491.88
180,482.00,444.72
181,483.00,414.89
182,484.00,390.90
183,485.00,395.48
184,486.00,384.17
185,487.00,403.03
186,488.00,411.51
187,489.00,432.44
188,490.00,420.87
189,491.00,393.89
190,492.00,330.55
191,493.00,313.64
192,494.00,291.10
193,495.00,267.38
194,496.00,260.17
195,497.00,248.68
196,498.00,229.07
197,499.00,204.41
198,500.00,192.51
199,501.00,170.22
200,502.00,156.84
201,503.00,141.50
202,504.00,127.04
203,505.00,124.67
204,506.00,115.56
205,507.00,110.92
206,508.00,106.82
207,509.00,94.34
208,510.00,98.68
209,511.00,87.61
210,512.00,85.25
211,513.00,75.17
212,514.00,71.66
213,515.00,60.91
214,516.00,54.75
215,517.00,52.98
216,518.00,44.88
217,519.00,46.20
218,520.00,43.70
219,521.00,47.95
220,522.00,46.53
221,523.00,56.46
222,524.00,62.24
223,525.00,90.91
224,526.00,100.90
225,527.00,126.50
226,528.00,127.72
227,529.00,145.87
228,530.00,150.98
229,531.00,153.36
230,532.00,173.41
231,533.00,174.38
232,534.00,194.74
233,535.00,186.29
234,536.00,205.08
235,537.00,208.23
236,538.00,221.04
237,539.00,217.47
238,540.00,238.98
239,541.00,233.54
240,542.00,252.24
241,543.00,242.24
242,544.00,243.46
243,545.00,216.00
244,546.00,212.10
245,547.00,186.56
246,548.00,157.88
247,549.00,143.07
248,550.00,127.01
249,551.00,120.34
250,552.00,114.31
251,553.00,109.30
252,554.00,100.85
253,555.00,104.64
254,556.00,107.76
255,557.00,104.81
256,558.00,99.33
257,559.00,104.83
258,560.00,113.49
259,561.00,107.56
260,562.00,106.14
261,563.00,112.14
262,564.00,117.63
263,565.00,115.12
264,566.00,108.09
265,567.00,114.60
266,568.00,121.70
267,569.00,120.00
268,570.00,103.87
269,571.00,105.69
270,572.00,103.82
271,573.00,98.23
272,574.00,88.34
273,575.00,93.71
274,576.00,103.75
275,577.00,116.22
276,578.00,113.82
277,579.00,136.42
278,580.00,164.32
279,581.00,179.59
280,582.00,205.03
281,583.00,221.51
282,584.00,245.35
283,585.00,265.11
284,586.00,279.79
285,587.00,289.32
286,588.00,298.17
287,589.00,304.20
288,590.00,293.06
289,591.00,290.87
290,592.00,290.01
291,593.00,286.64
292,594.00,275.73
293,595.00,280.35
294,596.00,298.99
295,597.00,310.65
296,598.00,342.24
297,599.00,387.78
298,600.00,446.21
299,601.00,531.63
300,602.00,607.09
301,603.00,720.74
302,604.00,787.70
303,605.00,820.60
304,606.00,843.41
305,607.00,839.88
306,608.00,807.83
307,609.00,819.31
308,610.00,835.54
309,611.00,902.86
310,612.00,1037.92
311,613.00,1283.63
312,614.00,1635.65
313,615.00,2203.81
314,616.00,2982.86
315,617.00,3994.40
316,618.00,5144.08
317,619.00,6208.99
318,620.00,6989.76
319,621.00,7275.66
320,622.00,6969.56
321,623.00,6113.43
322,624.00,5049.88
323,625.00,3883.68
324,626.00,2921.28
325,627.00,2133.34
326,628.00,1573.89
327,629.00,1177.23
328,630.00,912.56
329,631.00,722.92
330,632.00,623.19
331,633.00,537.35
332,634.00,477.77
333,635.00,460.88
334,636.00,456.56
335,637.00,421.38
336,638.00,427.39
337,639.00,404.19
338,640.00,392.62
339,641.00,341.47
340,642.00,333.88
341,643.00,280.93
342,644.00,253.97
343,645.00,217.72
344,646.00,209.85
345,647.00,181.56
346,648.00,172.71
347,649.00,161.99
348,650.00,158.72
349,651.00,151.14
350,652.00,155.43
351,653.00,141.13
352,654.00,148.20
353,655.00,134.40
354,656.00,146.99
355,657.00,126.59
356,658.00,130.65
357,659.00,111.38
358,660.00,102.85
359,661.00,82.43
360,662.00,90.87
361,663.00,75.55
362,664.00,73.70
363,665.00,67.16
364,666.00,77.42
365,667.00,64.02
