ENLIGHTEN Version,4.1.44
Measurement ID,20260406-113520-481274-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_35_20 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,10
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,170
Timestamp,2026-04-06 11:35:13.730510
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,500.00,51.74
1,501.00,57.15
2,502.00,26.74
3,503.00,43.60
4,504.00,24.20
5,505.00,39.90
6,506.00,26.50
7,507.00,49.92
8,508.00,36.45
9,509.00,63.87
10,510.00,43.22
11,511.00,83.11
12,512.00,42.90
13,513.00,79.96
14,514.00,44.33
15,515.00,65.47
16,516.00,36.10
17,517.00,57.84
18,518.00,33.91
19,519.00,47.63
20,520.00,28.11
21,521.00,42.72
22,522.00,33.89
23,523.00,50.14
24,524.00,34.84
25,525.00,59.45
26,526.00,50.70
27,527.00,76.02
28,528.00,58.47
29,529.00,85.96
30,530.00,66.43
31,531.00,81.97
32,532.00,56.76
33,533.00,74.71
34,534.00,63.92
35,535.00,66.26
36,536.00,53.21
37,537.00,60.31
38,538.00,56.49
39,539.00,63.93
40,540.00,50.94
41,541.00,66.44
42,542.00,63.05
43,543.00,72.42
44,544.00,62.15
45,545.00,74.49
46,546.00,66.65
47,547.00,76.18
48,548.00,76.37
49,549.00,87.99
50,550.00,83.57
51,551.00,93.45
52,552.00,97.06
53,553.00,100.80
54,554.00,95.22
55,555.00,96.11
56,556.00,97.90
57,557.00,95.26
58,558.00,82.38
59,559.00,91.06
60,560.00,91.17
61,561.00,107.65
62,562.00,108.45
63,563.00,132.83
64,564.00,146.64
65,565.00,176.42
66,566.00,178.29
67,567.00,204.18
68,568.00,199.88
69,569.00,205.36
70,570.00,173.70
71,571.00,182.64
72,572.00,161.77
73,573.00,160.05
74,574.00,145.25
75,575.00,169.02
76,576.00,176.42
77,577.00,200.73
78,578.00,213.23
79,579.00,250.86
80,580.00,284.97
81,581.00,324.18
82,582.00,290.09
83,583.00,313.27
84,584.00,287.46
85,585.00,274.43
86,586.00,233.01
87,587.00,224.08
88,588.00,199.42
89,589.00,195.98
90,590.00,189.33
91,591.00,196.72
92,592.00,207.96
93,593.00,217.10
94,594.00,224.45
95,595.00,232.81
96,596.00,235.03
97,597.00,234.51
98,598.00,206.20
99,599.00,205.30
100,600.00,180.97
101,601.00,174.99
102,602.00,141.60
103,603.00,150.02
104,604.00,114.34
105,605.00,125.92
106,606.00,100.63
107,607.00,121.09
108,608.00,98.07
109,609.00,112.86
110,610.00,92.36
111,611.00,102.95
112,612.00,88.21
113,613.00,96.38
114,614.00,80.91
115,615.00,71.66
116,616.00,58.82
117,617.00,62.78
118,618.00,56.14
119,619.00,59.14
120,620.00,52.98
121,621.00,65.19
