ENLIGHTEN Version,4.1.44
Measurement ID,20260406-113843-380081-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_38_43 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:38:41.978490
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,15.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,1421.28
1,303.00,1452.58
2,304.00,1481.91
3,305.00,1527.35
4,306.00,1575.78
5,307.00,1630.13
6,308.00,1662.12
7,309.00,1743.54
8,310.00,1789.38
9,311.00,1847.48
10,312.00,1880.25
11,313.00,1887.22
12,314.00,1791.54
13,315.00,1731.76
14,316.00,1570.29
15,317.00,1410.37
16,318.00,1206.61
17,319.00,1029.39
18,320.00,879.76
19,321.00,731.92
20,322.00,600.85
21,323.00,497.14
22,324.00,400.10
23,325.00,343.53
24,326.00,295.93
25,327.00,256.76
26,328.00,246.72
27,329.00,223.80
28,330.00,214.02
29,331.00,215.91
30,332.00,246.04
31,333.00,275.52
32,334.00,301.36
33,335.00,313.18
34,336.00,323.71
35,337.00,335.30
36,338.00,349.81
37,339.00,356.02
38,340.00,376.42
39,341.00,370.98
40,342.00,399.20
41,343.00,421.15
42,344.00,520.86
43,345.00,595.99
44,346.00,687.21
45,347.00,783.97
46,348.00,856.00
47,349.00,965.74
48,350.00,1048.98
49,351.00,1136.44
50,352.00,1229.16
51,353.00,1324.45
52,354.00,1446.10
53,355.00,1570.67
54,356.00,1799.02
55,357.00,1986.09
56,358.00,2214.04
57,359.00,2436.19
58,360.00,2704.14
59,361.00,2953.01
60,362.00,3205.32
61,363.00,3420.04
62,364.00,3614.17
63,365.00,3771.92
64,366.00,3895.91
65,367.00,3926.90
66,368.00,3933.25
67,369.00,3882.71
68,370.00,3780.95
69,371.00,3617.93
70,372.00,3461.31
71,373.00,3258.01
72,374.00,3089.24
73,375.00,2886.83
74,376.00,2755.77
75,377.00,2587.52
76,378.00,2512.45
77,379.00,2419.68
78,380.00,2396.41
79,381.00,2415.24
80,382.00,2502.39
81,383.00,2637.57
82,384.00,2833.45
83,385.00,3093.73
84,386.00,3417.69
85,387.00,3785.52
86,388.00,4279.74
87,389.00,4815.60
88,390.00,5444.54
89,391.00,6221.09
90,392.00,7084.12
91,393.00,8125.62
92,394.00,9339.89
93,395.00,10746.82
94,396.00,12299.53
95,397.00,13920.39
96,398.00,15591.27
97,399.00,17224.53
98,400.00,18309.14
99,401.00,19223.40
100,402.00,19465.92
101,403.00,19185.79
102,404.00,18469.49
103,405.00,17299.79
104,406.00,15934.62
105,407.00,14483.09
106,408.00,13025.71
107,409.00,11769.41
108,410.00,10639.82
109,411.00,9738.23
110,412.00,9023.56
111,413.00,8472.56
112,414.00,8069.24
113,415.00,7705.33
114,416.00,7458.68
115,417.00,7123.61
116,418.00,6836.56
117,419.00,6418.44
118,420.00,5990.21
119,421.00,5468.33
120,422.00,5000.64
121,423.00,4476.71
122,424.00,3970.32
123,425.00,3570.03
124,426.00,3238.01
125,427.00,2987.14
126,428.00,2866.04
127,429.00,2796.18
128,430.00,2856.70
129,431.00,2982.09
130,432.00,3184.41
131,433.00,3536.48
132,434.00,3998.89
133,435.00,4536.57
134,436.00,5210.26
135,437.00,5836.19
136,438.00,6546.77
137,439.00,7126.53
138,440.00,7648.21
139,441.00,7985.76
140,442.00,8192.72
141,443.00,8074.07
142,444.00,7789.09
143,445.00,7220.91
144,446.00,6521.79
145,447.00,5603.18
146,448.00,4737.42
147,449.00,3829.44
148,450.00,2992.65
149,451.00,2355.07
150,452.00,1778.13
151,453.00,1362.18
152,454.00,1044.60
153,455.00,795.53
154,456.00,601.93
155,457.00,470.94
156,458.00,377.82
157,459.00,279.14
158,460.00,219.22
159,461.00,167.41
160,462.00,110.24
161,463.00,102.47
162,464.00,70.54
163,465.00,78.37
164,466.00,63.43
165,467.00,83.72
166,468.00,74.90
167,469.00,111.91
168,470.00,88.32
169,471.00,111.42
170,472.00,97.31
171,473.00,122.93
172,474.00,105.83
173,475.00,116.59
174,476.00,108.35
175,477.00,129.31
176,478.00,144.89
177,479.00,175.89
178,480.00,215.07
179,481.00,254.29
180,482.00,297.23
181,483.00,367.36
182,484.00,422.43
183,485.00,507.80
184,486.00,582.75
185,487.00,689.69
186,488.00,841.75
187,489.00,1002.90
188,490.00,1245.50
189,491.00,1548.63
190,492.00,1949.41
191,493.00,2450.15
192,494.00,2915.06
193,495.00,3422.08
194,496.00,3827.97
195,497.00,4139.87
196,498.00,4167.94
197,499.00,4041.60
198,500.00,3831.52
199,501.00,3556.78
200,502.00,3207.35
201,503.00,2936.85
202,504.00,2797.52
203,505.00,2737.59
204,506.00,2770.92
205,507.00,2875.14
206,508.00,3126.65
207,509.00,3377.86
208,510.00,3677.94
209,511.00,3988.51
210,512.00,4246.25
211,513.00,4543.47
212,514.00,4915.04
213,515.00,5313.08
214,516.00,5855.63
215,517.00,6539.25
216,518.00,7523.88
217,519.00,8700.48
218,520.00,10167.06
219,521.00,11915.99
220,522.00,13712.37
221,523.00,15567.27
222,524.00,17162.03
223,525.00,18267.10
224,526.00,18799.78
225,527.00,18665.96
226,528.00,18268.68
227,529.00,17391.21
228,530.00,16425.85
229,531.00,15417.42
230,532.00,14668.93
231,533.00,14081.34
232,534.00,13641.98
233,535.00,13399.65
234,536.00,13463.52
235,537.00,13638.80
236,538.00,13850.54
237,539.00,14144.55
238,540.00,14468.28
239,541.00,14731.24
240,542.00,14955.40
241,543.00,15107.93
242,544.00,15201.06
243,545.00,15217.92
244,546.00,15272.56
245,547.00,15251.34
246,548.00,15170.29
247,549.00,15061.60
248,550.00,14986.60
249,551.00,14739.23
250,552.00,14395.86
251,553.00,13861.28
252,554.00,13362.27
253,555.00,12590.90
254,556.00,11733.96
255,557.00,10699.74
256,558.00,9641.32
257,559.00,8548.32
258,560.00,7464.80
259,561.00,6458.31
260,562.00,5522.01
261,563.00,4743.64
262,564.00,3985.01
263,565.00,3452.21
264,566.00,2918.38
265,567.00,2489.05
266,568.00,2194.27
267,569.00,1948.47
268,570.00,1803.30
269,571.00,1682.25
270,572.00,1746.30
271,573.00,1811.48
272,574.00,2010.84
273,575.00,2307.34
274,576.00,2737.52
275,577.00,3324.66
276,578.00,3983.97
277,579.00,4686.80
278,580.00,5329.60
279,581.00,5725.96
280,582.00,5898.68
281,583.00,5716.27
282,584.00,5270.60
283,585.00,4676.44
284,586.00,3981.58
285,587.00,3376.14
286,588.00,2801.60
287,589.00,2342.90
288,590.00,1937.66
289,591.00,1634.16
290,592.00,1353.76
291,593.00,1127.99
292,594.00,937.61
293,595.00,759.99
294,596.00,612.46
295,597.00,484.58
296,598.00,377.53
297,599.00,298.14
298,600.00,225.37
299,601.00,181.52
300,602.00,150.37
301,603.00,124.37
302,604.00,129.56
303,605.00,115.44
304,606.00,134.48
305,607.00,125.02
306,608.00,143.52
307,609.00,140.12
308,610.00,155.58
309,611.00,171.16
310,612.00,194.67
311,613.00,244.45
312,614.00,253.63
313,615.00,315.10
314,616.00,345.51
315,617.00,418.77
316,618.00,487.41
317,619.00,596.19
318,620.00,718.26
319,621.00,876.17
320,622.00,1097.32
321,623.00,1352.87
322,624.00,1686.65
323,625.00,2124.75
324,626.00,2642.61
325,627.00,3265.59
326,628.00,3906.92
327,629.00,4571.02
328,630.00,5138.64
329,631.00,5686.84
330,632.00,6114.56
331,633.00,6446.21
332,634.00,6799.79
333,635.00,7153.09
334,636.00,7534.54
335,637.00,8081.41
336,638.00,8677.63
337,639.00,9436.30
338,640.00,10186.49
339,641.00,10845.91
340,642.00,11322.07
341,643.00,11347.45
342,644.00,10984.71
343,645.00,10161.39
344,646.00,8952.26
345,647.00,7600.03
346,648.00,6213.70
347,649.00,4944.79
348,650.00,3871.62
349,651.00,3020.18
350,652.00,2362.44
351,653.00,1875.51
352,654.00,1509.42
353,655.00,1235.85
354,656.00,1021.64
355,657.00,869.75
356,658.00,727.20
357,659.00,597.26
358,660.00,483.09
359,661.00,379.79
360,662.00,313.27
361,663.00,260.95
362,664.00,201.74
363,665.00,182.86
364,666.00,180.76
365,667.00,175.28
366,668.00,180.03
367,669.00,170.43
368,670.00,158.50
369,671.00,161.21
370,672.00,155.85
371,673.00,134.34
372,674.00,150.96
373,675.00,149.50
374,676.00,170.37
375,677.00,182.63
376,678.00,230.55
377,679.00,300.98
378,680.00,412.06
379,681.00,538.10
380,682.00,713.99
381,683.00,933.85
382,684.00,1186.16
383,685.00,1370.40
384,686.00,1483.44
385,687.00,1545.63
386,688.00,1592.57
387,689.00,1548.43
388,690.00,1551.58
389,691.00,1553.04
390,692.00,1586.54
391,693.00,1622.43
392,694.00,1733.94
393,695.00,1850.11
394,696.00,1992.60
395,697.00,2100.33
396,698.00,2223.38
397,699.00,2295.07
398,700.00,2337.52
399,701.00,2331.09
400,702.00,2307.03
401,703.00,2275.11
402,704.00,2213.14
403,705.00,2155.13
404,706.00,2082.57
405,707.00,2018.08
406,708.00,1968.31
407,709.00,1918.27
408,710.00,1875.48
409,711.00,1829.90
410,712.00,1787.53
411,713.00,1752.22
412,714.00,1699.50
413,715.00,1672.31
414,716.00,1648.90
415,717.00,1641.23
416,718.00,1624.25
417,719.00,1634.59
418,720.00,1652.68
419,721.00,1685.28
420,722.00,1706.55
421,723.00,1758.58
422,724.00,1770.55
423,725.00,1827.18
424,726.00,1857.60
425,727.00,1927.41
426,728.00,2006.25
427,729.00,2111.57
428,730.00,2268.58
429,731.00,2453.80
430,732.00,2712.33
431,733.00,3050.93
432,734.00,3492.80
433,735.00,3958.87
434,736.00,4455.80
435,737.00,4956.99
436,738.00,5272.36
437,739.00,5409.13
438,740.00,5311.28
439,741.00,5012.34
440,742.00,4577.89
441,743.00,4088.32
442,744.00,3605.37
443,745.00,3189.29
444,746.00,2822.87
445,747.00,2567.10
446,748.00,2354.19
447,749.00,2234.71
448,750.00,2127.51
449,751.00,2044.49
450,752.00,1936.05
451,753.00,1815.08
452,754.00,1650.83
453,755.00,1465.86
454,756.00,1289.14
455,757.00,1117.76
456,758.00,962.33
457,759.00,831.50
458,760.00,732.70
459,761.00,646.53
460,762.00,563.57
461,763.00,499.14
462,764.00,446.58
463,765.00,423.22
464,766.00,391.92
465,767.00,369.23
466,768.00,329.30
467,769.00,311.25
468,770.00,289.46
469,771.00,277.41
470,772.00,241.01
471,773.00,242.08
472,774.00,224.50
473,775.00,231.50
474,776.00,217.33
475,777.00,226.74
476,778.00,210.61
477,779.00,215.40
478,780.00,211.46
479,781.00,201.42
480,782.00,191.67
481,783.00,185.62
482,784.00,183.54
483,785.00,168.06
484,786.00,172.19
485,787.00,148.82
486,788.00,156.62
487,789.00,143.45
488,790.00,149.30
489,791.00,141.23
490,792.00,148.61
491,793.00,152.85
492,794.00,155.40
493,795.00,158.86
494,796.00,156.26
495,797.00,159.51
496,798.00,162.33
497,799.00,170.43
498,800.00,168.38
499,801.00,166.20
500,802.00,182.14
501,803.00,178.98
502,804.00,197.35
503,805.00,187.48
504,806.00,204.76
505,807.00,224.81
506,808.00,239.21
507,809.00,256.52
508,810.00,292.06
509,811.00,330.28
510,812.00,366.08
511,813.00,410.45
512,814.00,514.32
513,815.00,619.81
514,816.00,774.55
515,817.00,975.76
516,818.00,1230.62
517,819.00,1531.30
518,820.00,1877.34
519,821.00,2277.66
520,822.00,2673.47
521,823.00,2984.81
522,824.00,3261.33
523,825.00,3511.92
524,826.00,3716.89
525,827.00,3912.27
526,828.00,4185.32
527,829.00,4520.41
528,830.00,4904.40
529,831.00,5401.64
530,832.00,5913.99
531,833.00,6419.26
532,834.00,6929.58
533,835.00,7492.92
534,836.00,7954.65
535,837.00,8449.07
536,838.00,8910.76
537,839.00,9682.33
538,840.00,10564.32
539,841.00,11864.34
540,842.00,13523.68
541,843.00,15863.47
542,844.00,18746.99
543,845.00,22290.27
544,846.00,26203.86
545,847.00,29903.60
546,848.00,33311.08
547,849.00,35032.20
548,850.00,35435.22
549,851.00,33762.06
550,852.00,30977.15
551,853.00,27012.86
552,854.00,23005.83
553,855.00,19167.28
554,856.00,15830.82
555,857.00,13086.17
556,858.00,10946.03
557,859.00,9310.10
558,860.00,8048.42
559,861.00,7207.25
560,862.00,6534.83
561,863.00,6101.19
562,864.00,5718.48
563,865.00,5538.90
564,866.00,5446.31
565,867.00,5436.83
566,868.00,5535.09
567,869.00,5660.63
568,870.00,5899.69
569,871.00,6126.29
570,872.00,6404.80
571,873.00,6553.84
572,874.00,6685.23
573,875.00,6630.10
574,876.00,6475.42
575,877.00,6053.82
576,878.00,5460.19
577,879.00,4708.75
578,880.00,3906.69
579,881.00,3171.84
580,882.00,2444.97
581,883.00,1925.98
582,884.00,1520.58
583,885.00,1220.65
584,886.00,1047.01
585,887.00,901.81
586,888.00,836.54
587,889.00,786.69
588,890.00,807.30
589,891.00,876.61
590,892.00,898.73
591,893.00,1005.28
592,894.00,1167.84
593,895.00,1323.94
594,896.00,1509.04
595,897.00,1707.72
596,898.00,1981.31
597,899.00,2254.53
598,900.00,2639.08
599,901.00,3101.75
600,902.00,3673.87
601,903.00,4357.40
602,904.00,5092.82
603,905.00,5851.91
604,906.00,6572.28
605,907.00,7138.40
606,908.00,7577.99
607,909.00,7798.51
608,910.00,7823.34
609,911.00,7764.68
610,912.00,7703.10
611,913.00,7697.55
612,914.00,7842.19
613,915.00,8170.73
614,916.00,8692.12
615,917.00,9447.00
616,918.00,10317.91
617,919.00,11178.33
618,920.00,11852.47
619,921.00,12249.68
620,922.00,12108.07
621,923.00,11559.88
622,924.00,10547.33
623,925.00,9314.10
624,926.00,7985.92
625,927.00,6671.39
626,928.00,5540.73
627,929.00,4597.27
628,930.00,3877.27
629,931.00,3340.35
630,932.00,2969.42
631,933.00,2796.92
632,934.00,2751.64
633,935.00,2886.49
634,936.00,3162.57
635,937.00,3699.42
636,938.00,4357.35
637,939.00,5319.60
638,940.00,6350.85
639,941.00,7378.90
640,942.00,8125.31
641,943.00,8300.27
642,944.00,7907.41
643,945.00,6957.57
644,946.00,5724.51
645,947.00,4440.80
646,948.00,3371.94
647,949.00,2468.79
648,950.00,1864.76
649,951.00,1440.27
650,952.00,1148.80
651,953.00,973.99
652,954.00,866.56
653,955.00,776.54
654,956.00,706.44
655,957.00,634.14
656,958.00,559.11
657,959.00,471.07
658,960.00,373.68
659,961.00,291.53
660,962.00,247.52
661,963.00,185.30
662,964.00,156.55
663,965.00,141.24
664,966.00,124.94
665,967.00,125.32
666,968.00,127.48
667,969.00,132.71
668,970.00,139.83
669,971.00,150.23
670,972.00,171.33
671,973.00,166.20
672,974.00,185.17
673,975.00,195.94
674,976.00,207.92
675,977.00,213.47
676,978.00,212.53
677,979.00,237.21
678,980.00,264.50
679,981.00,303.72
680,982.00,343.31
681,983.00,411.43
682,984.00,471.98
683,985.00,561.59
684,986.00,664.95
685,987.00,765.27
686,988.00,935.17
687,989.00,1074.40
688,990.00,1276.86
689,991.00,1462.25
690,992.00,1666.46
691,993.00,1859.98
692,994.00,2053.46
693,995.00,2251.18
694,996.00,2358.40
695,997.00,2488.45
696,998.00,2584.56
697,999.00,2723.44
698,1000.00,2817.39
699,1001.00,3004.54
700,1002.00,3204.61
701,1003.00,3519.29
702,1004.00,3882.74
703,1005.00,4386.62
704,1006.00,4879.35
705,1007.00,5497.49
706,1008.00,6125.80
707,1009.00,6711.30
708,1010.00,7250.71
709,1011.00,7681.27
710,1012.00,7978.74
711,1013.00,8114.21
712,1014.00,8064.12
713,1015.00,7835.35
714,1016.00,7474.08
715,1017.00,6990.63
716,1018.00,6573.97
717,1019.00,6078.23
718,1020.00,5700.73
