ENLIGHTEN Version,4.1.44
Measurement ID,20260406-113904-204177-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_39_04 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,495
Timestamp,2026-04-06 11:39:02.584501
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,98.16
1,303.00,91.72
2,304.00,79.18
3,305.00,82.08
4,306.00,86.16
5,307.00,81.92
6,308.00,74.79
7,309.00,78.68
8,310.00,85.02
9,311.00,88.22
10,312.00,75.98
11,313.00,70.13
12,314.00,73.41
13,315.00,65.62
14,316.00,60.10
15,317.00,53.10
16,318.00,66.03
17,319.00,60.61
18,320.00,66.44
19,321.00,67.59
20,322.00,75.83
21,323.00,78.18
22,324.00,86.11
23,325.00,97.31
24,326.00,104.03
25,327.00,120.12
26,328.00,139.60
27,329.00,152.61
28,330.00,180.45
29,331.00,197.56
30,332.00,222.99
31,333.00,238.70
32,334.00,266.29
33,335.00,276.51
34,336.00,324.71
35,337.00,346.64
36,338.00,401.32
37,339.00,475.21
38,340.00,579.58
39,341.00,688.37
40,342.00,818.55
41,343.00,935.15
42,344.00,1058.76
43,345.00,1126.14
44,346.00,1156.84
45,347.00,1097.30
46,348.00,991.10
47,349.00,871.47
48,350.00,704.05
49,351.00,591.20
50,352.00,448.88
51,353.00,346.29
52,354.00,296.85
53,355.00,246.00
54,356.00,208.62
55,357.00,185.86
56,358.00,165.30
57,359.00,160.27
58,360.00,135.22
59,361.00,130.29
60,362.00,110.66
61,363.00,99.72
62,364.00,97.92
63,365.00,77.77
64,366.00,80.84
65,367.00,64.64
66,368.00,70.26
67,369.00,50.59
68,370.00,49.62
69,371.00,38.48
70,372.00,42.30
71,373.00,31.60
72,374.00,32.45
73,375.00,26.05
74,376.00,31.89
75,377.00,26.16
76,378.00,29.10
77,379.00,27.43
78,380.00,35.42
79,381.00,29.22
80,382.00,36.64
81,383.00,31.49
82,384.00,37.09
83,385.00,31.06
84,386.00,37.34
85,387.00,33.07
86,388.00,38.88
87,389.00,32.93
88,390.00,38.53
89,391.00,32.26
90,392.00,42.12
91,393.00,34.46
92,394.00,44.39
93,395.00,40.76
94,396.00,48.42
95,397.00,43.80
96,398.00,52.63
97,399.00,46.25
98,400.00,45.20
99,401.00,41.50
100,402.00,45.44
101,403.00,36.56
102,404.00,35.18
103,405.00,30.04
104,406.00,23.96
105,407.00,20.65
106,408.00,19.19
107,409.00,18.90
108,410.00,21.62
109,411.00,25.25
110,412.00,22.96
111,413.00,20.52
112,414.00,23.63
113,415.00,20.86
114,416.00,18.31
115,417.00,19.17
116,418.00,17.73
117,419.00,24.69
118,420.00,14.72
119,421.00,16.34
120,422.00,14.31
121,423.00,15.59
122,424.00,15.80
123,425.00,13.63
124,426.00,19.36
125,427.00,22.46
126,428.00,16.66
127,429.00,17.01
128,430.00,13.33
129,431.00,13.32
130,432.00,9.87
131,433.00,10.43
132,434.00,10.26
133,435.00,12.26
134,436.00,11.25
135,437.00,9.70
136,438.00,13.03
137,439.00,9.85
138,440.00,14.08
139,441.00,12.63
140,442.00,13.29
141,443.00,13.59
142,444.00,14.14
143,445.00,13.30
144,446.00,15.33
145,447.00,16.91
146,448.00,25.03
147,449.00,33.91
148,450.00,44.35
149,451.00,64.98
150,452.00,72.11
151,453.00,108.88
152,454.00,117.56
153,455.00,146.28
154,456.00,182.64
155,457.00,202.63
156,458.00,254.99
157,459.00,309.73
158,460.00,380.22
159,461.00,465.47
160,462.00,587.09
161,463.00,684.06
162,464.00,792.42
163,465.00,818.97
164,466.00,819.84
165,467.00,745.06
166,468.00,637.59
167,469.00,536.49
168,470.00,424.02
169,471.00,333.23
170,472.00,277.06
171,473.00,222.90
172,474.00,201.05
173,475.00,177.06
174,476.00,153.88
175,477.00,145.07
176,478.00,123.70
177,479.00,120.59
178,480.00,114.77
179,481.00,111.96
180,482.00,122.25
181,483.00,129.54
182,484.00,144.13
183,485.00,153.25
184,486.00,167.99
185,487.00,170.01
186,488.00,171.91
187,489.00,172.24
188,490.00,156.53
189,491.00,156.08
190,492.00,143.36
191,493.00,154.31
192,494.00,158.89
193,495.00,173.65
194,496.00,200.01
195,497.00,228.64
196,498.00,276.52
197,499.00,330.31
198,500.00,384.94
199,501.00,451.57
200,502.00,541.67
201,503.00,638.79
202,504.00,752.98
203,505.00,820.81
204,506.00,922.33
205,507.00,1037.73
206,508.00,1122.58
207,509.00,1255.15
208,510.00,1369.33
209,511.00,1576.56
210,512.00,1819.89
211,513.00,2195.38
212,514.00,2763.62
213,515.00,3649.56
214,516.00,4902.51
215,517.00,6641.00
216,518.00,8841.56
217,519.00,11300.82
218,520.00,13524.04
219,521.00,14663.87
220,522.00,14253.38
221,523.00,12475.68
222,524.00,9651.76
223,525.00,6914.03
224,526.00,4623.14
225,527.00,3000.25
226,528.00,1962.82
227,529.00,1327.78
228,530.00,969.05
229,531.00,791.30
230,532.00,685.17
231,533.00,628.84
232,534.00,596.99
233,535.00,600.68
234,536.00,607.91
235,537.00,577.02
236,538.00,527.22
237,539.00,484.72
238,540.00,398.64
239,541.00,302.64
240,542.00,234.93
241,543.00,174.13
242,544.00,136.34
243,545.00,109.62
244,546.00,95.78
245,547.00,86.63
246,548.00,72.08
247,549.00,68.16
248,550.00,69.78
249,551.00,61.75
250,552.00,60.28
251,553.00,47.56
252,554.00,56.02
253,555.00,44.31
254,556.00,53.69
255,557.00,38.45
256,558.00,42.41
257,559.00,32.81
258,560.00,38.67
259,561.00,22.10
260,562.00,20.94
261,563.00,12.48
262,564.00,17.37
263,565.00,11.80
264,566.00,14.10
265,567.00,12.89
266,568.00,19.07
267,569.00,16.58
268,570.00,20.98
269,571.00,21.14
270,572.00,27.01
271,573.00,26.66
272,574.00,30.59
273,575.00,32.65
274,576.00,34.61
275,577.00,32.10
276,578.00,36.33
277,579.00,39.82
278,580.00,40.92
279,581.00,41.81
280,582.00,44.99
281,583.00,48.25
282,584.00,50.71
283,585.00,53.17
284,586.00,57.65
285,587.00,60.43
286,588.00,64.37
287,589.00,69.10
288,590.00,72.51
289,591.00,78.96
290,592.00,82.34
291,593.00,100.41
292,594.00,114.88
293,595.00,138.40
294,596.00,168.04
295,597.00,195.10
296,598.00,244.04
297,599.00,273.48
298,600.00,314.91
