ENLIGHTEN Version,4.1.44
Measurement ID,20260406-113936-110637-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_39_36 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:39:34.790757
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,7.2
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,32.71
1,303.00,32.44
2,304.00,34.55
3,305.00,31.98
4,306.00,30.97
5,307.00,27.15
6,308.00,30.36
7,309.00,25.47
8,310.00,31.76
9,311.00,27.99
10,312.00,34.87
11,313.00,33.35
12,314.00,34.75
13,315.00,33.64
14,316.00,40.17
15,317.00,40.84
16,318.00,41.77
17,319.00,44.82
18,320.00,46.32
19,321.00,45.31
20,322.00,44.84
21,323.00,42.65
22,324.00,47.80
23,325.00,43.72
24,326.00,52.51
25,327.00,48.35
26,328.00,58.84
27,329.00,58.74
28,330.00,61.09
29,331.00,60.95
30,332.00,68.13
31,333.00,73.81
32,334.00,77.60
33,335.00,81.63
34,336.00,92.33
35,337.00,104.76
36,338.00,97.25
37,339.00,103.72
38,340.00,100.55
39,341.00,105.25
40,342.00,100.33
41,343.00,102.42
42,344.00,103.92
43,345.00,105.42
44,346.00,103.69
45,347.00,112.69
46,348.00,119.98
47,349.00,135.70
48,350.00,134.08
49,351.00,154.32
50,352.00,185.67
51,353.00,198.16
52,354.00,195.78
53,355.00,200.34
54,356.00,198.24
55,357.00,195.52
56,358.00,194.04
57,359.00,183.18
58,360.00,199.79
59,361.00,194.50
60,362.00,201.42
61,363.00,199.99
62,364.00,219.64
63,365.00,225.34
64,366.00,228.42
65,367.00,236.58
66,368.00,239.91
67,369.00,227.20
68,370.00,216.79
69,371.00,202.69
70,372.00,199.70
71,373.00,192.74
72,374.00,200.70
73,375.00,196.17
74,376.00,206.16
75,377.00,215.81
76,378.00,223.96
77,379.00,224.94
78,380.00,227.64
79,381.00,226.84
80,382.00,228.70
81,383.00,221.48
82,384.00,201.71
83,385.00,187.87
84,386.00,179.68
85,387.00,167.00
86,388.00,154.90
87,389.00,150.23
88,390.00,143.56
89,391.00,141.93
90,392.00,146.20
91,393.00,144.86
92,394.00,142.46
93,395.00,143.99
94,396.00,156.49
95,397.00,153.68
96,398.00,166.80
97,399.00,151.94
98,400.00,140.90
99,401.00,133.58
100,402.00,138.27
101,403.00,129.12
102,404.00,125.39
103,405.00,116.25
104,406.00,109.55
105,407.00,106.42
106,408.00,105.50
107,409.00,91.13
108,410.00,94.06
109,411.00,88.75
110,412.00,93.23
111,413.00,88.05
112,414.00,89.58
113,415.00,82.84
114,416.00,68.97
115,417.00,65.04
116,418.00,77.40
117,419.00,70.57
118,420.00,74.94
119,421.00,66.10
120,422.00,66.70
121,423.00,52.92
122,424.00,55.79
123,425.00,35.52
124,426.00,36.39
125,427.00,39.54
126,428.00,51.17
127,429.00,48.77
128,430.00,57.65
129,431.00,55.73
130,432.00,65.51
131,433.00,67.26
132,434.00,69.62
133,435.00,57.71
134,436.00,49.60
135,437.00,41.47
136,438.00,35.72
137,439.00,33.24
138,440.00,25.90
139,441.00,26.29
140,442.00,27.85
141,443.00,24.31
142,444.00,24.90
143,445.00,25.72
144,446.00,25.83
145,447.00,25.60
146,448.00,26.30
147,449.00,26.56
148,450.00,23.00
149,451.00,21.42
150,452.00,19.05
151,453.00,15.55
152,454.00,12.65
153,455.00,9.50
154,456.00,11.11
155,457.00,11.90
156,458.00,12.34
157,459.00,14.35
158,460.00,15.37
159,461.00,12.87
160,462.00,15.02
161,463.00,12.52
162,464.00,18.01
163,465.00,21.88
164,466.00,22.61
165,467.00,20.92
166,468.00,19.79
167,469.00,21.29
168,470.00,18.83
169,471.00,20.65
170,472.00,19.10
171,473.00,20.29
172,474.00,20.27
173,475.00,20.03
174,476.00,19.19
175,477.00,19.52
