ENLIGHTEN Version,4.1.44
Measurement ID,20260406-115740-529485-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_57_40 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:57:32.741631
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,7.1
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,3254.82
1,303.00,3367.64
2,304.00,3570.88
3,305.00,3665.33
4,306.00,3691.53
5,307.00,3635.71
6,308.00,3527.00
7,309.00,3284.39
8,310.00,3015.75
9,311.00,2690.49
10,312.00,2334.02
11,313.00,2028.55
12,314.00,1699.67
13,315.00,1461.20
14,316.00,1256.15
15,317.00,1133.42
16,318.00,992.50
17,319.00,894.75
18,320.00,868.61
19,321.00,838.18
20,322.00,831.37
21,323.00,843.67
22,324.00,925.54
23,325.00,890.76
24,326.00,903.05
25,327.00,888.27
26,328.00,935.24
27,329.00,897.02
28,330.00,894.08
29,331.00,925.88
30,332.00,943.25
31,333.00,987.54
32,334.00,1059.44
33,335.00,1136.04
34,336.00,1276.29
35,337.00,1366.68
36,338.00,1480.68
37,339.00,1559.40
38,340.00,1704.30
39,341.00,1772.29
40,342.00,1898.75
41,343.00,1913.84
42,344.00,1992.50
43,345.00,2017.88
44,346.00,2070.73
45,347.00,2065.76
46,348.00,2171.24
47,349.00,2208.52
48,350.00,2240.14
49,351.00,2252.61
50,352.00,2327.94
51,353.00,2371.42
52,354.00,2360.18
53,355.00,2332.13
54,356.00,2354.86
55,357.00,2252.72
56,358.00,2139.81
57,359.00,1970.78
58,360.00,1863.61
59,361.00,1700.93
60,362.00,1561.22
61,363.00,1424.02
62,364.00,1358.64
63,365.00,1288.29
64,366.00,1276.20
65,367.00,1247.85
66,368.00,1291.30
67,369.00,1317.77
68,370.00,1418.95
69,371.00,1460.92
70,372.00,1577.70
71,373.00,1607.83
72,374.00,1672.72
73,375.00,1687.77
74,376.00,1745.52
75,377.00,1744.87
76,378.00,1766.63
77,379.00,1752.33
78,380.00,1790.68
79,381.00,1820.93
80,382.00,1880.84
81,383.00,1936.49
82,384.00,2052.86
83,385.00,2158.54
84,386.00,2262.17
85,387.00,2374.63
86,388.00,2455.48
87,389.00,2568.28
88,390.00,2661.52
89,391.00,2769.85
90,392.00,2851.33
91,393.00,2950.40
92,394.00,3032.38
93,395.00,3116.24
94,396.00,3230.96
95,397.00,3334.74
96,398.00,3480.33
97,399.00,3603.95
98,400.00,3744.21
99,401.00,3838.68
100,402.00,3928.96
101,403.00,3967.16
102,404.00,3958.58
103,405.00,3883.25
104,406.00,3827.75
105,407.00,3692.82
106,408.00,3551.42
107,409.00,3413.61
108,410.00,3275.57
109,411.00,3152.28
110,412.00,3050.76
111,413.00,2972.60
112,414.00,2888.83
113,415.00,2804.56
114,416.00,2676.61
115,417.00,2579.88
116,418.00,2442.95
117,419.00,2325.60
118,420.00,2165.25
119,421.00,2034.10
120,422.00,1906.34
121,423.00,1752.70
122,424.00,1608.59
123,425.00,1432.73
124,426.00,1311.10
125,427.00,1124.72
126,428.00,974.62
127,429.00,828.10
128,430.00,736.85
129,431.00,634.26
130,432.00,568.53
131,433.00,504.37
132,434.00,463.48
133,435.00,433.14
134,436.00,372.67
135,437.00,368.51
136,438.00,325.17
137,439.00,329.04
138,440.00,285.68
139,441.00,297.24
140,442.00,278.74
141,443.00,290.36
142,444.00,273.26
143,445.00,289.77
144,446.00,289.40
145,447.00,327.13
146,448.00,356.73
147,449.00,403.29
148,450.00,434.16
149,451.00,476.07
150,452.00,527.83
151,453.00,565.44
152,454.00,589.89
153,455.00,604.70
154,456.00,604.63
155,457.00,609.58
156,458.00,591.36
157,459.00,598.16
158,460.00,597.75
159,461.00,612.19
160,462.00,651.35
161,463.00,691.04
162,464.00,778.05
163,465.00,853.19
164,466.00,932.95
165,467.00,1015.79
166,468.00,1085.54
167,469.00,1135.47
168,470.00,1191.59
169,471.00,1236.49
170,472.00,1278.39
171,473.00,1300.82
172,474.00,1365.48
173,475.00,1417.42
174,476.00,1483.22
175,477.00,1540.81
176,478.00,1612.48
177,479.00,1666.38
178,480.00,1713.78
179,481.00,1743.71
180,482.00,1758.77
181,483.00,1762.46
182,484.00,1736.94
183,485.00,1734.28
184,486.00,1742.34
185,487.00,1758.13
186,488.00,1765.00
187,489.00,1790.26
188,490.00,1821.12
189,491.00,1869.63
190,492.00,1880.71
191,493.00,1884.52
192,494.00,1863.37
193,495.00,1834.62
194,496.00,1762.65
195,497.00,1668.94
196,498.00,1564.58
197,499.00,1462.96
198,500.00,1359.40
199,501.00,1246.02
200,502.00,1115.28
201,503.00,1042.51
202,504.00,966.91
203,505.00,888.49
204,506.00,833.31
205,507.00,811.51
206,508.00,751.99
207,509.00,733.06
208,510.00,696.11
209,511.00,695.64
210,512.00,662.56
211,513.00,662.88
212,514.00,639.91
213,515.00,659.24
214,516.00,656.79
215,517.00,686.79
216,518.00,718.63
217,519.00,759.42
218,520.00,806.80
219,521.00,861.18
220,522.00,915.23
221,523.00,960.24
222,524.00,980.80
223,525.00,1023.47
224,526.00,1080.28
225,527.00,1142.17
226,528.00,1217.12
227,529.00,1297.62
228,530.00,1422.20
229,531.00,1559.71
230,532.00,1752.11
231,533.00,1929.04
232,534.00,2129.75
233,535.00,2320.15
234,536.00,2479.85
235,537.00,2660.32
236,538.00,2822.69
237,539.00,2969.97
238,540.00,3079.75
239,541.00,3213.68
240,542.00,3326.12
241,543.00,3445.36
242,544.00,3554.77
243,545.00,3673.85
244,546.00,3784.39
245,547.00,3879.07
246,548.00,3954.44
247,549.00,4021.30
248,550.00,4076.22
249,551.00,4085.71
250,552.00,4071.08
251,553.00,3998.84
252,554.00,3913.11
253,555.00,3751.99
254,556.00,3592.05
255,557.00,3364.33
256,558.00,3174.74
257,559.00,2945.66
258,560.00,2759.16
259,561.00,2535.87
260,562.00,2374.67
261,563.00,2185.19
262,564.00,2018.30
263,565.00,1847.80
264,566.00,1693.53
265,567.00,1570.87
266,568.00,1442.03
267,569.00,1321.84
268,570.00,1231.90
269,571.00,1157.90
270,572.00,1083.02
271,573.00,1011.97
272,574.00,960.82
273,575.00,936.44
274,576.00,903.01
275,577.00,863.82
276,578.00,838.22
277,579.00,827.59
278,580.00,831.73
279,581.00,835.08
280,582.00,853.12
281,583.00,873.25
282,584.00,908.01
283,585.00,930.45
284,586.00,955.23
285,587.00,968.34
286,588.00,1011.08
287,589.00,1022.65
288,590.00,1056.63
289,591.00,1044.79
290,592.00,1080.06
291,593.00,1088.21
292,594.00,1116.11
293,595.00,1086.42
294,596.00,1093.44
295,597.00,1085.23
296,598.00,1097.26
297,599.00,1053.76
298,600.00,1030.14
299,601.00,1019.54
300,602.00,973.75
301,603.00,951.11
302,604.00,846.37
303,605.00,839.83
304,606.00,765.40
305,607.00,741.12
306,608.00,657.91
307,609.00,633.93
308,610.00,586.50
309,611.00,550.00
310,612.00,519.27
311,613.00,478.79
312,614.00,461.23
313,615.00,426.56
314,616.00,392.61
315,617.00,366.54
316,618.00,345.72
317,619.00,329.35
318,620.00,299.28
319,621.00,288.31
320,622.00,291.91
321,623.00,284.50
322,624.00,276.07
323,625.00,253.13
324,626.00,277.59
325,627.00,250.58
326,628.00,261.99
327,629.00,221.81
328,630.00,262.09
329,631.00,238.03
330,632.00,259.29
331,633.00,214.81
332,634.00,263.33
333,635.00,228.37
334,636.00,252.94
335,637.00,210.64
336,638.00,254.03
337,639.00,247.08
338,640.00,258.94
339,641.00,256.97
340,642.00,279.85
341,643.00,309.05
342,644.00,323.52
343,645.00,348.73
344,646.00,399.00
345,647.00,476.28
346,648.00,561.24
347,649.00,667.97
348,650.00,807.87
349,651.00,989.35
350,652.00,1126.30
351,653.00,1297.13
352,654.00,1473.73
353,655.00,1664.35
354,656.00,1847.53
355,657.00,2009.51
356,658.00,2213.91
357,659.00,2375.88
358,660.00,2527.88
359,661.00,2683.30
360,662.00,2847.01
361,663.00,2947.16
362,664.00,3018.61
363,665.00,3043.49
364,666.00,3036.42
365,667.00,2978.61
366,668.00,2898.45
367,669.00,2775.21
368,670.00,2661.40
369,671.00,2517.99
370,672.00,2371.74
371,673.00,2203.30
372,674.00,2070.03
373,675.00,1896.36
374,676.00,1790.92
375,677.00,1627.73
376,678.00,1534.77
377,679.00,1457.94
378,680.00,1424.59
379,681.00,1402.36
380,682.00,1417.15
381,683.00,1473.85
382,684.00,1567.89
383,685.00,1661.70
384,686.00,1748.92
385,687.00,1826.40
386,688.00,1838.15
387,689.00,1838.34
388,690.00,1713.92
389,691.00,1553.10
390,692.00,1333.20
391,693.00,1145.79
392,694.00,960.62
393,695.00,780.53
394,696.00,641.92
395,697.00,543.23
396,698.00,448.66
397,699.00,386.19
398,700.00,337.46
399,701.00,270.33
400,702.00,266.71
401,703.00,231.17
402,704.00,209.99
403,705.00,188.87
404,706.00,176.32
405,707.00,192.77
406,708.00,191.08
407,709.00,204.92
408,710.00,217.54
409,711.00,240.83
410,712.00,260.32
411,713.00,276.83
412,714.00,309.22
413,715.00,323.99
414,716.00,377.86
415,717.00,399.67
416,718.00,447.36
417,719.00,500.89
418,720.00,572.10
419,721.00,685.68
420,722.00,790.96
421,723.00,931.63
422,724.00,1033.30
423,725.00,1129.46
424,726.00,1165.22
425,727.00,1184.54
426,728.00,1064.70
427,729.00,993.44
428,730.00,912.11
429,731.00,824.77
430,732.00,786.16
431,733.00,756.83
432,734.00,730.75
433,735.00,731.23
434,736.00,715.39
435,737.00,727.48
436,738.00,730.84
437,739.00,741.23
438,740.00,793.56
439,741.00,802.78
440,742.00,858.32
441,743.00,893.22
442,744.00,1000.94
443,745.00,1078.45
444,746.00,1205.10
445,747.00,1350.22
446,748.00,1507.23
447,749.00,1674.33
448,750.00,1849.12
449,751.00,2029.38
450,752.00,2203.69
451,753.00,2379.88
452,754.00,2498.07
453,755.00,2659.65
454,756.00,2723.93
455,757.00,2848.70
456,758.00,2894.30
457,759.00,2989.71
458,760.00,2984.68
459,761.00,3004.73
460,762.00,2921.71
461,763.00,2890.62
462,764.00,2793.57
463,765.00,2731.45
464,766.00,2641.14
465,767.00,2548.59
466,768.00,2408.64
467,769.00,2272.31
468,770.00,2093.16
469,771.00,1937.38
470,772.00,1742.54
471,773.00,1573.94
472,774.00,1378.57
473,775.00,1180.51
474,776.00,1000.51
475,777.00,806.50
476,778.00,647.40
477,779.00,545.22
478,780.00,394.68
479,781.00,356.20
480,782.00,276.83
481,783.00,253.91
482,784.00,215.34
483,785.00,206.89
484,786.00,193.17
485,787.00,188.29
486,788.00,214.06
487,789.00,214.99
488,790.00,256.48
489,791.00,277.19
490,792.00,334.88
491,793.00,396.05
492,794.00,481.66
493,795.00,561.34
494,796.00,708.25
495,797.00,858.28
496,798.00,1049.25
497,799.00,1272.07
498,800.00,1549.52
499,801.00,1839.83
500,802.00,2174.46
501,803.00,2546.71
502,804.00,2896.18
503,805.00,3308.29
504,806.00,3630.48
505,807.00,3999.26
506,808.00,4251.98
507,809.00,4548.49
508,810.00,4745.49
509,811.00,4965.93
510,812.00,5116.77
511,813.00,5285.32
512,814.00,5465.10
513,815.00,5605.35
514,816.00,5809.96
515,817.00,5951.47
516,818.00,6177.07
517,819.00,6347.59
518,820.00,6659.90
519,821.00,6908.16
520,822.00,7297.38
521,823.00,7592.33
522,824.00,8053.64
523,825.00,8424.45
524,826.00,8856.52
525,827.00,9148.47
526,828.00,9460.07
527,829.00,9565.40
528,830.00,9589.67
529,831.00,9517.12
530,832.00,9417.31
531,833.00,9309.71
532,834.00,9328.27
533,835.00,9391.20
534,836.00,9641.44
535,837.00,10015.69
536,838.00,10579.54
537,839.00,11217.95
538,840.00,11951.59
539,841.00,12685.35
540,842.00,13389.89
541,843.00,13918.99
542,844.00,14221.36
543,845.00,14306.26
544,846.00,14216.49
545,847.00,13886.46
546,848.00,13457.19
547,849.00,12942.44
548,850.00,12539.34
549,851.00,12110.65
550,852.00,11734.11
551,853.00,11419.96
552,854.00,11225.11
553,855.00,11016.26
554,856.00,10832.39
555,857.00,10688.89
556,858.00,10528.81
557,859.00,10329.01
558,860.00,10103.47
559,861.00,9789.20
560,862.00,9441.50
561,863.00,9099.24
562,864.00,8791.67
563,865.00,8518.05
564,866.00,8370.39
565,867.00,8343.03
566,868.00,8519.98
567,869.00,8849.02
568,870.00,9425.85
569,871.00,10171.85
570,872.00,11109.49
571,873.00,12162.80
572,874.00,13264.75
573,875.00,14152.32
574,876.00,14836.18
575,877.00,15095.50
576,878.00,15088.29
577,879.00,14637.18
578,880.00,14097.92
579,881.00,13425.24
580,882.00,12873.67
581,883.00,12433.14
582,884.00,12242.48
583,885.00,12336.08
584,886.00,12727.58
585,887.00,13358.55
586,888.00,14226.70
587,889.00,15284.99
588,890.00,16508.33
589,891.00,17669.73
590,892.00,18853.42
591,893.00,19756.56
592,894.00,20444.23
593,895.00,20724.05
594,896.00,20774.59
595,897.00,20346.88
596,898.00,19661.94
597,899.00,18621.19
598,900.00,17382.62
599,901.00,15945.88
600,902.00,14411.22
601,903.00,12886.93
602,904.00,11433.80
603,905.00,10063.71
604,906.00,8871.92
605,907.00,7862.05
606,908.00,7021.72
607,909.00,6406.40
608,910.00,5983.09
609,911.00,5660.04
610,912.00,5484.78
611,913.00,5404.93
612,914.00,5484.86
613,915.00,5580.61
614,916.00,5708.51
615,917.00,5827.75
616,918.00,5947.71
617,919.00,5931.41
618,920.00,5868.86
619,921.00,5606.53
620,922.00,5225.42
621,923.00,4702.48
622,924.00,4186.74
623,925.00,3575.97
624,926.00,3060.71
625,927.00,2544.45
626,928.00,2107.22
627,929.00,1737.16
628,930.00,1428.08
629,931.00,1206.67
630,932.00,1017.23
631,933.00,873.42
632,934.00,766.66
633,935.00,648.76
634,936.00,579.03
635,937.00,479.58
636,938.00,451.01
637,939.00,369.06
638,940.00,322.05
639,941.00,295.03
640,942.00,296.76
641,943.00,299.38
642,944.00,320.01
643,945.00,360.91
