ENLIGHTEN Version,4.1.44
Measurement ID,20260406-120622-932012-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_06_22 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 12:06:21.236626
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,257.98
1,303.00,198.57
2,304.00,174.96
3,305.00,101.52
4,306.00,73.73
5,307.00,37.19
6,308.00,22.63
7,309.00,14.83
8,310.00,7.45
9,311.00,5.30
10,312.00,6.33
11,313.00,6.47
12,314.00,7.24
13,315.00,7.84
14,316.00,19.13
15,317.00,20.42
16,318.00,26.61
17,319.00,28.22
18,320.00,29.41
19,321.00,25.48
20,322.00,19.10
21,323.00,11.37
22,324.00,7.45
23,325.00,4.82
24,326.00,5.79
25,327.00,3.54
26,328.00,5.39
27,329.00,5.08
28,330.00,9.21
29,331.00,11.08
30,332.00,20.51
31,333.00,24.75
32,334.00,36.23
33,335.00,36.34
34,336.00,30.64
35,337.00,31.99
36,338.00,27.07
37,339.00,25.29
38,340.00,22.30
39,341.00,29.00
40,342.00,22.74
41,343.00,31.48
42,344.00,30.40
43,345.00,47.44
44,346.00,45.75
45,347.00,71.60
46,348.00,82.27
47,349.00,106.52
48,350.00,119.02
49,351.00,143.23
50,352.00,166.50
51,353.00,194.22
52,354.00,220.64
53,355.00,243.26
54,356.00,278.48
55,357.00,321.52
56,358.00,352.05
57,359.00,411.93
58,360.00,438.36
59,361.00,509.23
60,362.00,529.15
61,363.00,569.29
62,364.00,575.61
63,365.00,614.31
64,366.00,659.48
65,367.00,711.68
66,368.00,792.09
67,369.00,897.97
68,370.00,983.05
69,371.00,1118.39
70,372.00,1235.71
