ENLIGHTEN Version,4.1.44
Measurement ID,20260406-120150-297708-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_01_50 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,1595
Timestamp,2026-04-06 12:01:48.510771
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,62.83
1,303.00,51.30
2,304.00,46.92
3,305.00,42.32
4,306.00,34.65
5,307.00,33.09
6,308.00,24.57
7,309.00,23.17
8,310.00,22.29
9,311.00,22.38
10,312.00,22.61
11,313.00,22.37
12,314.00,23.37
13,315.00,24.28
14,316.00,30.20
15,317.00,26.40
16,318.00,30.51
17,319.00,27.37
18,320.00,31.93
19,321.00,31.71
20,322.00,34.31
21,323.00,30.84
22,324.00,26.63
23,325.00,26.79
24,326.00,26.79
25,327.00,25.35
26,328.00,23.32
27,329.00,25.69
28,330.00,31.21
29,331.00,32.67
30,332.00,37.26
31,333.00,41.68
32,334.00,43.42
33,335.00,45.40
34,336.00,44.95
35,337.00,47.44
36,338.00,41.49
37,339.00,41.73
38,340.00,39.14
39,341.00,40.36
40,342.00,42.90
41,343.00,43.97
42,344.00,39.06
43,345.00,46.01
44,346.00,47.61
45,347.00,47.23
46,348.00,42.96
47,349.00,49.83
48,350.00,48.29
49,351.00,55.47
50,352.00,55.12
51,353.00,61.03
52,354.00,65.77
53,355.00,75.86
54,356.00,76.18
55,357.00,83.58
56,358.00,90.86
57,359.00,100.50
58,360.00,117.80
59,361.00,127.00
60,362.00,133.39
61,363.00,145.27
62,364.00,164.84
63,365.00,180.67
64,366.00,206.23
65,367.00,230.51
66,368.00,252.54
67,369.00,266.99
68,370.00,306.50
69,371.00,319.58
70,372.00,345.83
71,373.00,354.35
72,374.00,387.81
73,375.00,408.74
74,376.00,433.45
75,377.00,464.34
76,378.00,482.80
77,379.00,526.40
78,380.00,559.52
79,381.00,616.45
80,382.00,664.21
81,383.00,734.60
82,384.00,793.02
83,385.00,877.75
84,386.00,958.48
85,387.00,1089.51
86,388.00,1183.95
87,389.00,1356.16
88,390.00,1504.03
89,391.00,1699.16
