ENLIGHTEN Version,4.1.44
Measurement ID,20260406-115616-638069-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_56_16 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,1228
Timestamp,2026-04-06 11:56:10.742741
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,25.36
1,303.00,20.34
2,304.00,26.05
3,305.00,24.06
4,306.00,28.24
5,307.00,25.99
6,308.00,28.38
7,309.00,29.63
8,310.00,42.43
9,311.00,39.44
10,312.00,43.98
11,313.00,49.79
12,314.00,52.39
13,315.00,43.71
14,316.00,40.45
15,317.00,42.08
16,318.00,45.93
17,319.00,46.30
18,320.00,38.55
19,321.00,39.05
20,322.00,37.69
21,323.00,44.71
22,324.00,40.70
23,325.00,46.48
24,326.00,49.99
25,327.00,53.04
26,328.00,48.48
27,329.00,50.90
28,330.00,44.78
29,331.00,48.63
30,332.00,44.28
31,333.00,46.78
32,334.00,53.37
33,335.00,55.61
34,336.00,60.38
35,337.00,63.37
36,338.00,70.48
37,339.00,80.67
38,340.00,81.22
39,341.00,89.81
40,342.00,93.61
41,343.00,109.71
42,344.00,125.21
43,345.00,140.55
44,346.00,149.26
45,347.00,169.87
46,348.00,177.26
47,349.00,197.23
48,350.00,214.02
49,351.00,236.66
50,352.00,241.83
51,353.00,258.17
52,354.00,266.81
53,355.00,270.09
54,356.00,298.02
55,357.00,310.25
56,358.00,338.17
57,359.00,355.59
58,360.00,438.07
59,361.00,501.78
60,362.00,559.44
61,363.00,628.78
62,364.00,744.68
63,365.00,854.92
64,366.00,984.41
65,367.00,1171.20
66,368.00,1367.87
67,369.00,1570.88
68,370.00,1790.55
69,371.00,1965.05
70,372.00,2102.22
71,373.00,2170.76
72,374.00,2090.39
73,375.00,1967.76
74,376.00,1811.84
75,377.00,1602.67
76,378.00,1400.51
77,379.00,1217.23
78,380.00,1077.80
79,381.00,961.97
80,382.00,877.29
81,383.00,817.11
82,384.00,782.00
83,385.00,752.61
84,386.00,703.71
85,387.00,692.10
86,388.00,662.68
87,389.00,637.96
88,390.00,616.59
89,391.00,586.12
90,392.00,602.44
91,393.00,572.54
92,394.00,574.53
93,395.00,554.13
94,396.00,570.10
95,397.00,561.85
96,398.00,578.08
97,399.00,568.82
98,400.00,553.82
99,401.00,554.56
100,402.00,581.36
101,403.00,592.65
102,404.00,637.52
103,405.00,681.23
104,406.00,743.38
105,407.00,799.98
106,408.00,884.25
107,409.00,949.74
108,410.00,1014.39
109,411.00,1055.02
110,412.00,1129.77
111,413.00,1169.30
112,414.00,1231.34
113,415.00,1320.02
114,416.00,1380.68
115,417.00,1489.08
116,418.00,1583.54
117,419.00,1705.72
118,420.00,1827.83
119,421.00,1979.57
120,422.00,2086.68
121,423.00,2220.68
122,424.00,2298.45
123,425.00,2389.44
124,426.00,2429.88
125,427.00,2470.58
126,428.00,2471.92
127,429.00,2466.34
128,430.00,2457.65
129,431.00,2439.16
130,432.00,2424.80
131,433.00,2421.90
132,434.00,2396.22
133,435.00,2374.23
134,436.00,2332.75
135,437.00,2303.91
136,438.00,2249.63
137,439.00,2206.34
138,440.00,2151.00
139,441.00,2133.91
140,442.00,2067.99
141,443.00,2002.75
142,444.00,1928.43
143,445.00,1859.99
144,446.00,1785.86
145,447.00,1679.18
146,448.00,1630.44
147,449.00,1525.44
148,450.00,1467.38
149,451.00,1365.36
150,452.00,1290.08
151,453.00,1204.76
152,454.00,1150.02
153,455.00,1072.03
154,456.00,1031.29
155,457.00,983.25
156,458.00,945.27
157,459.00,911.50
158,460.00,877.45
159,461.00,851.18
160,462.00,847.88
161,463.00,833.90
162,464.00,805.94
163,465.00,799.94
164,466.00,808.30
165,467.00,820.34
166,468.00,835.20
167,469.00,869.73
168,470.00,922.92
169,471.00,955.62
170,472.00,1004.44
171,473.00,1037.86
172,474.00,1088.17
173,475.00,1161.67
174,476.00,1187.82
175,477.00,1304.04
176,478.00,1429.73
177,479.00,1603.17
178,480.00,1796.03
179,481.00,2051.87
180,482.00,2346.49
181,483.00,2647.75
182,484.00,2948.77
183,485.00,3246.25
184,486.00,3480.66
185,487.00,3670.92
186,488.00,3742.82
187,489.00,3810.78
188,490.00,3717.50
189,491.00,3629.58
190,492.00,3400.29
191,493.00,3232.92
192,494.00,2968.71
193,495.00,2757.96
194,496.00,2481.87
195,497.00,2264.31
196,498.00,2009.51
197,499.00,1816.92
198,500.00,1608.33
199,501.00,1423.83
200,502.00,1238.71
201,503.00,1092.24
202,504.00,960.66
203,505.00,864.35
204,506.00,774.31
205,507.00,702.04
206,508.00,625.47
207,509.00,555.15
208,510.00,514.92
209,511.00,458.35
210,512.00,413.58
211,513.00,364.71
212,514.00,336.58
213,515.00,295.75
214,516.00,280.88
215,517.00,237.92
216,518.00,225.39
217,519.00,194.51
218,520.00,177.86
219,521.00,156.39
220,522.00,147.00
221,523.00,134.60
222,524.00,129.81
223,525.00,115.07
224,526.00,103.65
225,527.00,99.31
226,528.00,91.09
227,529.00,83.02
228,530.00,78.02
229,531.00,80.64
230,532.00,82.09
231,533.00,79.58
232,534.00,68.34
233,535.00,62.42
234,536.00,60.71
235,537.00,49.85
236,538.00,36.56
237,539.00,32.52
238,540.00,26.27
239,541.00,27.00
240,542.00,20.25
241,543.00,26.33
242,544.00,30.52
243,545.00,38.06
244,546.00,33.27
245,547.00,40.49
246,548.00,38.24
247,549.00,40.38
248,550.00,28.18
249,551.00,30.73
250,552.00,25.45
251,553.00,21.80
252,554.00,17.71
253,555.00,19.73
254,556.00,23.25
255,557.00,23.25
256,558.00,25.66
257,559.00,28.91
258,560.00,25.18
259,561.00,29.71
260,562.00,19.57
261,563.00,24.53
262,564.00,14.84
263,565.00,18.14
264,566.00,14.98
