ENLIGHTEN Version,4.1.44
Measurement ID,20260406-120421-964042-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_04_21 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,3
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,395
Timestamp,2026-04-06 12:04:08.489137
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,45.42
1,303.00,58.62
2,304.00,57.70
3,305.00,78.17
4,306.00,92.19
5,307.00,101.70
6,308.00,115.98
7,309.00,132.05
8,310.00,159.17
9,311.00,161.38
10,312.00,198.26
11,313.00,208.70
12,314.00,229.83
13,315.00,222.61
14,316.00,239.46
15,317.00,236.60
16,318.00,254.50
17,319.00,251.42
18,320.00,258.05
19,321.00,263.66
20,322.00,295.51
21,323.00,320.17
22,324.00,363.07
23,325.00,385.85
24,326.00,428.12
25,327.00,448.62
26,328.00,501.78
27,329.00,505.96
28,330.00,534.57
29,331.00,520.74
30,332.00,587.90
31,333.00,593.07
32,334.00,623.92
33,335.00,639.10
34,336.00,718.72
35,337.00,756.86
36,338.00,827.52
37,339.00,862.35
38,340.00,923.57
39,341.00,987.72
40,342.00,1058.84
41,343.00,1121.41
42,344.00,1129.76
43,345.00,1211.99
44,346.00,1258.57
45,347.00,1336.24
46,348.00,1418.93
47,349.00,1514.23
48,350.00,1689.11
49,351.00,1851.07
50,352.00,2048.52
51,353.00,2279.05
52,354.00,2541.34
53,355.00,2833.67
54,356.00,3107.42
55,357.00,3453.89
56,358.00,3736.23
57,359.00,4049.05
58,360.00,4277.60
59,361.00,4468.04
60,362.00,4523.04
61,363.00,4505.41
62,364.00,4414.85
63,365.00,4205.94
64,366.00,3947.79
65,367.00,3649.85
66,368.00,3371.73
67,369.00,3091.81
68,370.00,2800.47
69,371.00,2569.69
70,372.00,2365.63
71,373.00,2182.60
72,374.00,1991.18
73,375.00,1821.64
74,376.00,1641.49
75,377.00,1507.33
76,378.00,1370.57
77,379.00,1275.35
78,380.00,1172.60
79,381.00,1092.33
80,382.00,988.52
81,383.00,910.69
82,384.00,844.91
83,385.00,776.01
84,386.00,728.63
85,387.00,680.27
86,388.00,668.76
87,389.00,635.19
88,390.00,621.02
89,391.00,612.10
90,392.00,616.09
91,393.00,588.11
92,394.00,588.61
93,395.00,570.19
94,396.00,543.58
95,397.00,514.73
96,398.00,513.10
97,399.00,488.60
98,400.00,477.41
99,401.00,451.93
100,402.00,453.71
101,403.00,453.88
102,404.00,476.79
103,405.00,484.71
104,406.00,489.24
105,407.00,488.98
106,408.00,502.20
107,409.00,482.76
108,410.00,460.17
109,411.00,430.94
110,412.00,397.63
111,413.00,379.91
112,414.00,356.20
113,415.00,342.11
114,416.00,312.33
115,417.00,314.33
116,418.00,306.29
117,419.00,309.93
118,420.00,288.42
119,421.00,308.89
120,422.00,302.97
121,423.00,319.13
122,424.00,302.54
123,425.00,309.51
124,426.00,277.18
125,427.00,272.21
126,428.00,242.54
127,429.00,247.50
128,430.00,239.84
129,431.00,241.48
130,432.00,201.37
131,433.00,205.71
132,434.00,203.58
133,435.00,197.92
134,436.00,169.23
135,437.00,179.43
136,438.00,170.46
137,439.00,177.10
138,440.00,167.68
139,441.00,178.18
140,442.00,178.18
141,443.00,172.66
142,444.00,173.15
143,445.00,177.98
144,446.00,192.21
145,447.00,206.05
146,448.00,198.31
147,449.00,207.28
148,450.00,219.62
149,451.00,218.45
150,452.00,189.44
151,453.00,199.10
152,454.00,196.57
153,455.00,202.43
154,456.00,206.04
155,457.00,233.45
156,458.00,250.39
157,459.00,279.55
158,460.00,364.03
159,461.00,401.98
160,462.00,445.41
161,463.00,487.16
162,464.00,499.79
163,465.00,478.50
164,466.00,495.33
165,467.00,464.41
166,468.00,452.16
167,469.00,417.53
168,470.00,422.76
169,471.00,405.01
170,472.00,394.62
171,473.00,393.71
172,474.00,406.67
173,475.00,405.78
174,476.00,470.68
175,477.00,445.77
176,478.00,437.07
177,479.00,419.82
178,480.00,390.02
179,481.00,351.14
180,482.00,327.21
181,483.00,299.11
182,484.00,285.13
183,485.00,235.43
184,486.00,222.64
185,487.00,178.11
186,488.00,156.17
187,489.00,121.98
188,490.00,110.94
189,491.00,96.39
190,492.00,94.05
191,493.00,83.26
192,494.00,75.30
193,495.00,80.20
194,496.00,62.15
195,497.00,61.30
196,498.00,60.83
197,499.00,66.58
198,500.00,69.53
199,501.00,79.94
200,502.00,69.50
201,503.00,71.43
202,504.00,65.77
203,505.00,72.71
204,506.00,65.98
205,507.00,72.15
206,508.00,59.59
207,509.00,68.21
208,510.00,67.03
