ENLIGHTEN Version,4.1.44
Measurement ID,20260406-111528-364946-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_15_28 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:15:25.957743
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,10.2
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,341.38
1,303.00,334.89
2,304.00,296.90
3,305.00,291.47
4,306.00,269.93
5,307.00,244.79
6,308.00,205.24
7,309.00,179.98
8,310.00,141.54
9,311.00,131.37
10,312.00,117.18
11,313.00,110.12
12,314.00,100.34
13,315.00,94.67
14,316.00,93.38
15,317.00,85.53
16,318.00,86.76
17,319.00,72.73
18,320.00,79.46
19,321.00,63.28
20,322.00,68.65
21,323.00,48.53
22,324.00,55.19
23,325.00,41.55
24,326.00,42.15
25,327.00,36.88
26,328.00,35.51
27,329.00,31.69
28,330.00,23.48
29,331.00,30.05
30,332.00,28.40
31,333.00,22.63
32,334.00,22.69
33,335.00,27.51
34,336.00,27.17
35,337.00,28.12
36,338.00,35.31
37,339.00,32.53
38,340.00,40.83
39,341.00,38.65
40,342.00,40.57
41,343.00,43.65
42,344.00,45.70
43,345.00,47.07
44,346.00,43.14
45,347.00,48.02
46,348.00,50.84
47,349.00,47.72
48,350.00,50.99
49,351.00,46.80
50,352.00,49.62
51,353.00,55.08
52,354.00,57.20
53,355.00,64.00
54,356.00,75.22
55,357.00,80.96
56,358.00,96.58
57,359.00,106.13
58,360.00,119.58
59,361.00,128.14
60,362.00,136.23
61,363.00,135.32
62,364.00,131.37
63,365.00,143.31
64,366.00,136.85
65,367.00,154.11
66,368.00,200.62
67,369.00,254.40
68,370.00,267.19
69,371.00,331.69
70,372.00,372.52
71,373.00,422.49
72,374.00,408.64
73,375.00,442.32
74,376.00,404.99
75,377.00,417.60
76,378.00,418.88
77,379.00,434.23
78,380.00,423.09
79,381.00,447.90
80,382.00,463.11
81,383.00,495.71
82,384.00,564.42
83,385.00,618.91
84,386.00,654.03
85,387.00,717.12
86,388.00,725.79
87,389.00,750.25
88,390.00,751.58
89,391.00,775.39
90,392.00,772.46
91,393.00,755.23
92,394.00,788.56
93,395.00,810.48
94,396.00,837.44
95,397.00,826.94
96,398.00,854.67
