ENLIGHTEN Version,4.1.44
Measurement ID,20260406-111655-471139-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_16_55 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:16:50.734046
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,8.5
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,2847.57
1,303.00,2825.84
2,304.00,2723.70
3,305.00,2556.05
4,306.00,2276.58
5,307.00,1999.95
6,308.00,1717.56
7,309.00,1462.13
8,310.00,1234.84
9,311.00,1049.34
10,312.00,908.21
11,313.00,790.86
12,314.00,705.75
13,315.00,652.55
14,316.00,611.66
15,317.00,581.58
16,318.00,569.33
17,319.00,567.79
18,320.00,608.25
19,321.00,646.64
20,322.00,688.70
21,323.00,727.64
22,324.00,764.08
23,325.00,802.29
24,326.00,843.05
25,327.00,824.89
26,328.00,824.37
27,329.00,742.28
28,330.00,688.24
29,331.00,577.15
30,332.00,504.38
31,333.00,421.92
32,334.00,412.75
33,335.00,368.78
34,336.00,432.58
35,337.00,461.45
36,338.00,517.96
37,339.00,590.36
38,340.00,687.32
39,341.00,760.02
40,342.00,857.93
41,343.00,928.42
42,344.00,996.38
43,345.00,1086.84
44,346.00,1205.06
45,347.00,1312.01
46,348.00,1489.88
47,349.00,1681.17
48,350.00,1924.66
49,351.00,2225.46
50,352.00,2556.79
51,353.00,2996.44
52,354.00,3427.82
53,355.00,3896.25
54,356.00,4288.01
55,357.00,4708.24
56,358.00,5017.61
57,359.00,5267.21
58,360.00,5412.51
59,361.00,5521.45
60,362.00,5575.08
61,363.00,5612.05
62,364.00,5629.86
63,365.00,5689.73
64,366.00,5741.94
65,367.00,5807.72
66,368.00,5842.66
67,369.00,5800.27
68,370.00,5669.16
69,371.00,5441.47
70,372.00,5103.56
71,373.00,4708.93
72,374.00,4263.46
73,375.00,3799.05
74,376.00,3393.53
75,377.00,3022.77
76,378.00,2704.41
77,379.00,2431.21
78,380.00,2226.72
79,381.00,2032.64
80,382.00,1880.39
81,383.00,1750.45
82,384.00,1622.60
83,385.00,1503.24
84,386.00,1413.95
85,387.00,1317.37
86,388.00,1243.37
87,389.00,1155.44
88,390.00,1103.05
89,391.00,1048.34
90,392.00,1034.26
91,393.00,1034.46
92,394.00,1067.74
93,395.00,1122.65
94,396.00,1216.48
95,397.00,1313.00
96,398.00,1420.04
97,399.00,1531.90
98,400.00,1623.03
99,401.00,1718.00
100,402.00,1795.35
101,403.00,1860.39
102,404.00,1902.53
103,405.00,1941.55
104,406.00,2005.28
105,407.00,2048.22
106,408.00,2080.77
107,409.00,2119.40
108,410.00,2140.69
109,411.00,2119.09
110,412.00,2020.21
111,413.00,1871.45
112,414.00,1644.67
113,415.00,1404.34
114,416.00,1138.86
115,417.00,883.87
116,418.00,677.26
117,419.00,497.62
118,420.00,367.49
119,421.00,290.72
120,422.00,218.46
121,423.00,191.57
122,424.00,166.19
123,425.00,145.43
124,426.00,131.00
125,427.00,124.31
126,428.00,101.15
127,429.00,83.91
128,430.00,68.65
129,431.00,55.16
130,432.00,46.28
131,433.00,39.71
132,434.00,43.41
133,435.00,45.25
134,436.00,51.61
135,437.00,48.42
136,438.00,76.16
137,439.00,84.68
138,440.00,101.40
139,441.00,90.87
140,442.00,118.29
141,443.00,101.44
142,444.00,104.93
143,445.00,85.38
144,446.00,95.85
145,447.00,81.48
146,448.00,87.00
147,449.00,80.51
148,450.00,93.59
149,451.00,91.88
150,452.00,107.59
151,453.00,109.78
152,454.00,130.54
153,455.00,130.32
154,456.00,161.97
155,457.00,165.06
156,458.00,181.25
157,459.00,177.89
158,460.00,208.27
159,461.00,207.50
160,462.00,243.95
161,463.00,267.76
162,464.00,309.50
163,465.00,362.41
164,466.00,401.33
165,467.00,470.68
166,468.00,504.83
167,469.00,567.76
168,470.00,589.94
169,471.00,644.30
170,472.00,675.13
171,473.00,727.93
172,474.00,785.06
173,475.00,852.44
174,476.00,948.36
175,477.00,1073.47
176,478.00,1225.50
177,479.00,1406.17
178,480.00,1597.09
179,481.00,1842.54
180,482.00,2093.36
181,483.00,2369.27
182,484.00,2642.44
183,485.00,2940.61
184,486.00,3236.72
185,487.00,3549.98
186,488.00,3840.34
187,489.00,4128.06
188,490.00,4341.03
189,491.00,4531.09
190,492.00,4544.14
191,493.00,4495.36
192,494.00,4274.76
193,495.00,3974.70
194,496.00,3594.92
195,497.00,3177.82
196,498.00,2739.85
197,499.00,2353.09
198,500.00,1999.44
199,501.00,1696.51
200,502.00,1434.99
201,503.00,1234.31
202,504.00,1056.75
203,505.00,911.46
204,506.00,798.94
205,507.00,697.68
206,508.00,619.58
207,509.00,533.83
208,510.00,462.97
209,511.00,415.55
210,512.00,353.11
211,513.00,301.78
212,514.00,238.80
213,515.00,203.04
214,516.00,171.67
215,517.00,145.73
216,518.00,146.20
217,519.00,130.91
218,520.00,166.01
219,521.00,153.04
220,522.00,190.50
221,523.00,202.79
222,524.00,250.19
223,525.00,296.87
224,526.00,344.10
225,527.00,418.52
226,528.00,490.27
227,529.00,593.63
228,530.00,716.11
229,531.00,856.79
