ENLIGHTEN Version,4.1.44
Measurement ID,20260406-120946-854932-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_09_46 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 12:09:45.526585
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,15.4
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,1428.50
1,303.00,1611.13
2,304.00,1789.14
3,305.00,1985.27
4,306.00,2093.31
5,307.00,2102.58
6,308.00,1987.31
7,309.00,1765.86
8,310.00,1438.70
9,311.00,1090.76
10,312.00,799.35
11,313.00,546.18
12,314.00,370.48
13,315.00,238.63
14,316.00,172.63
15,317.00,123.63
16,318.00,94.16
17,319.00,80.06
18,320.00,74.19
19,321.00,82.24
20,322.00,88.67
21,323.00,91.37
22,324.00,123.52
23,325.00,112.80
24,326.00,115.86
25,327.00,99.01
26,328.00,128.65
27,329.00,126.54
28,330.00,148.26
29,331.00,163.86
30,332.00,221.50
31,333.00,268.32
32,334.00,345.64
33,335.00,452.74
34,336.00,576.58
35,337.00,733.39
36,338.00,924.94
37,339.00,1109.75
38,340.00,1351.81
39,341.00,1622.51
40,342.00,1906.67
41,343.00,2262.49
42,344.00,2646.01
43,345.00,3110.28
44,346.00,3552.87
45,347.00,4032.44
46,348.00,4519.58
47,349.00,4961.68
48,350.00,5287.14
49,351.00,5429.02
50,352.00,5484.51
51,353.00,5333.38
52,354.00,5072.44
53,355.00,4746.40
54,356.00,4419.35
55,357.00,4127.07
56,358.00,3852.42
57,359.00,3663.45
58,360.00,3558.10
59,361.00,3509.78
60,362.00,3522.05
61,363.00,3588.84
62,364.00,3721.68
63,365.00,3864.41
64,366.00,4077.42
65,367.00,4244.66
66,368.00,4426.79
