ENLIGHTEN Version,4.1.44
Measurement ID,20260406-115816-046805-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_58_16 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:58:11.052102
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,521.79
1,303.00,512.36
2,304.00,512.85
3,305.00,475.08
4,306.00,444.26
5,307.00,382.81
6,308.00,346.51
7,309.00,298.50
8,310.00,251.88
9,311.00,219.53
10,312.00,191.16
11,313.00,168.07
12,314.00,141.56
13,315.00,131.73
14,316.00,122.75
15,317.00,107.12
16,318.00,109.74
17,319.00,102.50
18,320.00,98.48
19,321.00,85.37
20,322.00,85.84
21,323.00,73.03
22,324.00,66.64
23,325.00,65.04
24,326.00,59.61
25,327.00,57.11
26,328.00,53.27
27,329.00,58.84
28,330.00,60.31
29,331.00,70.81
30,332.00,74.84
31,333.00,97.93
32,334.00,108.10
33,335.00,129.05
34,336.00,145.44
35,337.00,169.10
36,338.00,182.06
37,339.00,199.59
38,340.00,219.11
39,341.00,221.88
40,342.00,232.95
41,343.00,227.73
42,344.00,246.34
43,345.00,240.14
44,346.00,274.77
45,347.00,278.40
46,348.00,332.47
47,349.00,339.27
48,350.00,391.72
49,351.00,407.91
50,352.00,455.80
51,353.00,463.60
52,354.00,509.51
53,355.00,482.12
54,356.00,502.87
55,357.00,439.41
56,358.00,414.58
57,359.00,335.25
58,360.00,298.07
59,361.00,240.54
60,362.00,207.17
61,363.00,173.11
62,364.00,141.80
63,365.00,115.14
64,366.00,93.42
65,367.00,81.59
66,368.00,61.82
67,369.00,60.23
68,370.00,44.39
69,371.00,49.76
70,372.00,42.58
71,373.00,53.07
72,374.00,37.15
73,375.00,48.29
74,376.00,38.95
75,377.00,56.57
76,378.00,42.82
77,379.00,56.05
78,380.00,63.60
79,381.00,83.39
80,382.00,97.63
81,383.00,122.07
82,384.00,168.44
83,385.00,200.36
84,386.00,250.58
85,387.00,278.60
86,388.00,312.59
87,389.00,294.31
88,390.00,317.20
89,391.00,297.52
90,392.00,308.48
91,393.00,296.57
92,394.00,330.81
93,395.00,349.84
94,396.00,403.94
95,397.00,432.92
96,398.00,503.00
97,399.00,566.92
98,400.00,638.28
99,401.00,702.57
100,402.00,748.53
101,403.00,797.14
102,404.00,814.39
103,405.00,810.77
