ENLIGHTEN Version,4.1.44
Measurement ID,20260406-115847-089029-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_58_47 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:58:45.230797
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,135.99
1,303.00,134.33
2,304.00,122.74
3,305.00,132.26
4,306.00,112.34
5,307.00,104.48
6,308.00,90.50
7,309.00,88.39
8,310.00,65.41
9,311.00,64.61
10,312.00,63.71
11,313.00,64.41
12,314.00,54.53
13,315.00,52.83
14,316.00,43.80
15,317.00,47.82
16,318.00,42.99
17,319.00,47.73
18,320.00,49.88
19,321.00,64.08
20,322.00,67.60
21,323.00,75.97
22,324.00,79.39
23,325.00,93.45
24,326.00,97.50
25,327.00,110.25
26,328.00,122.21
27,329.00,130.43
28,330.00,135.30
29,331.00,144.62
30,332.00,148.94
31,333.00,151.01
32,334.00,168.10
33,335.00,173.93
34,336.00,204.39
35,337.00,222.59
36,338.00,248.93
37,339.00,283.94
38,340.00,303.07
39,341.00,341.18
40,342.00,371.99
41,343.00,422.34
42,344.00,451.96
43,345.00,500.39
44,346.00,557.91
45,347.00,627.51
46,348.00,696.86
47,349.00,776.35
48,350.00,883.33
49,351.00,995.61
50,352.00,1114.38
51,353.00,1259.53
52,354.00,1396.54
53,355.00,1572.27
54,356.00,1751.71
55,357.00,1963.67
56,358.00,2190.72
57,359.00,2470.57
58,360.00,2753.88
59,361.00,3094.89
60,362.00,3457.57
61,363.00,3831.18
62,364.00,4211.21
63,365.00,4581.80
64,366.00,4895.78
65,367.00,5186.07
66,368.00,5362.67
67,369.00,5479.46
68,370.00,5492.16
69,371.00,5468.31
70,372.00,5287.57
71,373.00,5114.64
72,374.00,4823.99
73,375.00,4567.70
74,376.00,4245.95
75,377.00,3968.21
76,378.00,3670.06
77,379.00,3439.54
78,380.00,3207.92
79,381.00,3019.96
80,382.00,2834.21
81,383.00,2633.26
82,384.00,2480.53
83,385.00,2336.71
84,386.00,2099.13
85,387.00,2081.90
86,388.00,1933.16
87,389.00,1842.79
88,390.00,1770.15
89,391.00,1722.34
90,392.00,1632.71
91,393.00,1616.68
92,394.00,1589.41
93,395.00,1602.00
94,396.00,1609.80
95,397.00,1687.66
96,398.00,1698.35
97,399.00,1734.18
98,400.00,1785.64
99,401.00,1884.06
100,402.00,1955.79
101,403.00,2015.54
102,404.00,2136.89
103,405.00,2340.52
104,406.00,2440.71
105,407.00,2631.29
106,408.00,2788.65
107,409.00,3126.73
108,410.00,3321.92
109,411.00,3592.88
110,412.00,3927.48
111,413.00,4265.03
112,414.00,4782.25
113,415.00,5425.41
114,416.00,6296.02
115,417.00,7540.53
116,418.00,9312.66
117,419.00,11869.75
118,420.00,15243.47
119,421.00,19603.88
120,422.00,24921.72
121,423.00,30462.08
122,424.00,35501.25
123,425.00,38638.03
124,426.00,38774.54
125,427.00,36993.05
126,428.00,32204.52
127,429.00,26908.58
128,430.00,21516.65
129,431.00,16845.08
130,432.00,13174.97
131,433.00,10356.18
132,434.00,8265.73
133,435.00,6927.33
134,436.00,5858.59
135,437.00,5102.83
136,438.00,4547.20
137,439.00,4066.38
138,440.00,3713.58
139,441.00,3340.03
140,442.00,2991.87
141,443.00,2690.88
142,444.00,2398.07
143,445.00,2134.85
144,446.00,1877.77
145,447.00,1693.43
146,448.00,1554.42
147,449.00,1457.97
148,450.00,1333.66
149,451.00,1277.65
150,452.00,1229.20
151,453.00,1197.01
152,454.00,1142.35
153,455.00,1115.14
154,456.00,1091.77
155,457.00,1048.41
156,458.00,1052.99
157,459.00,1000.69
158,460.00,995.84
159,461.00,968.50
160,462.00,953.29
161,463.00,901.25
162,464.00,875.77
163,465.00,870.69
164,466.00,877.54
165,467.00,858.33
166,468.00,858.81
167,469.00,868.15
168,470.00,913.10
169,471.00,906.76
170,472.00,951.09
171,473.00,956.60
172,474.00,1004.75
173,475.00,1018.70
174,476.00,1071.77
175,477.00,1102.86
176,478.00,1157.42
177,479.00,1234.04
178,480.00,1270.37
179,481.00,1342.58
180,482.00,1452.32
181,483.00,1534.27
182,484.00,1608.43
183,485.00,1767.04
184,486.00,2001.18
185,487.00,2250.38
186,488.00,2567.03
187,489.00,2888.57
188,490.00,3274.26
189,491.00,3658.65
190,492.00,4090.63
191,493.00,4417.60
192,494.00,4683.68
193,495.00,4854.87
194,496.00,4920.80
195,497.00,4856.94
196,498.00,4725.77
197,499.00,4478.44
198,500.00,4195.98
199,501.00,3844.48
200,502.00,3491.02
201,503.00,3126.94
202,504.00,2760.80
203,505.00,2392.75
204,506.00,2071.33
205,507.00,1775.20
206,508.00,1511.06
207,509.00,1288.88
208,510.00,1101.69
209,511.00,938.94
210,512.00,812.26
211,513.00,714.33
212,514.00,632.49
213,515.00,575.64
214,516.00,506.12
215,517.00,462.36
216,518.00,419.70
217,519.00,383.64
218,520.00,363.51
219,521.00,328.89
220,522.00,319.22
221,523.00,291.21
222,524.00,287.86
223,525.00,261.65
224,526.00,253.88
225,527.00,227.92
226,528.00,225.08
227,529.00,203.29
228,530.00,203.50
229,531.00,179.81
230,532.00,173.46
231,533.00,149.27
232,534.00,146.59
233,535.00,127.63
234,536.00,107.99
235,537.00,101.79
236,538.00,98.54
237,539.00,98.48
238,540.00,83.28
239,541.00,84.47
240,542.00,82.72
241,543.00,89.66
242,544.00,83.84
243,545.00,86.66
244,546.00,79.89
245,547.00,77.88
246,548.00,73.63
247,549.00,71.83
248,550.00,63.57
249,551.00,68.77
250,552.00,66.22
251,553.00,66.73
252,554.00,61.86
253,555.00,67.44
254,556.00,63.38
255,557.00,66.26
256,558.00,64.06
257,559.00,64.95
258,560.00,63.82
259,561.00,66.66
260,562.00,65.69
261,563.00,67.53
262,564.00,58.76
263,565.00,64.15
264,566.00,60.57
265,567.00,67.47
266,568.00,66.68
267,569.00,71.23
268,570.00,70.27
269,571.00,72.18
270,572.00,81.02
271,573.00,83.59
272,574.00,87.48
273,575.00,89.70
274,576.00,84.84
275,577.00,83.09
276,578.00,85.57
277,579.00,81.90
278,580.00,84.31
279,581.00,82.17
280,582.00,85.42
281,583.00,83.33
282,584.00,86.86
283,585.00,86.78
284,586.00,89.61
285,587.00,88.06
286,588.00,81.69
287,589.00,78.68
288,590.00,77.67
289,591.00,75.14
290,592.00,77.23
291,593.00,76.70
292,594.00,78.51
