ENLIGHTEN Version,4.1.44
Measurement ID,20260406-120841-943605-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_08_41 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 12:08:39.739055
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,6.2
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,669.31
1,303.00,676.21
2,304.00,681.56
3,305.00,688.51
4,306.00,665.84
5,307.00,666.91
6,308.00,631.07
7,309.00,629.50
8,310.00,582.65
9,311.00,541.23
10,312.00,487.94
11,313.00,445.15
12,314.00,390.62
13,315.00,354.26
14,316.00,275.08
15,317.00,238.69
16,318.00,217.66
17,319.00,182.40
18,320.00,168.06
19,321.00,132.02
20,322.00,147.22
21,323.00,99.83
22,324.00,111.79
23,325.00,68.41
24,326.00,80.25
25,327.00,50.69
26,328.00,65.48
27,329.00,35.25
28,330.00,37.14
29,331.00,23.86
30,332.00,32.35
31,333.00,29.76
32,334.00,39.14
33,335.00,37.17
34,336.00,72.40
35,337.00,91.64
36,338.00,128.73
37,339.00,141.89
38,340.00,194.97
39,341.00,218.25
40,342.00,262.22
41,343.00,289.61
42,344.00,301.55
43,345.00,348.55
44,346.00,391.72
45,347.00,446.24
46,348.00,481.37
47,349.00,539.17
48,350.00,600.40
49,351.00,694.17
50,352.00,796.32
51,353.00,903.50
52,354.00,1046.33
53,355.00,1225.95
54,356.00,1408.64
55,357.00,1634.41
56,358.00,1861.20
57,359.00,2118.57
58,360.00,2337.88
59,361.00,2628.39
60,362.00,2871.11
61,363.00,3175.47
62,364.00,3451.65
63,365.00,3803.10
64,366.00,4158.89
65,367.00,4590.65
66,368.00,4982.45
67,369.00,5419.64
68,370.00,5837.52
69,371.00,6213.76
70,372.00,6504.86
71,373.00,6734.89
72,374.00,6836.51
73,375.00,6930.93
74,376.00,6865.23
75,377.00,6785.65
76,378.00,6614.91
77,379.00,6422.32
78,380.00,6113.97
79,381.00,5827.15
80,382.00,5467.38
81,383.00,5146.85
82,384.00,4749.13
83,385.00,4401.47
84,386.00,4017.00
85,387.00,3693.65
86,388.00,3298.71
87,389.00,3009.21
88,390.00,2715.53
89,391.00,2501.16
90,392.00,2289.73
91,393.00,2140.54
92,394.00,2034.11
93,395.00,1964.51
94,396.00,1881.54
95,397.00,1869.80
96,398.00,1794.09
97,399.00,1772.49
98,400.00,1829.99
99,401.00,1791.10
100,402.00,1792.18
101,403.00,1915.69
102,404.00,1976.35
103,405.00,2179.88
104,406.00,2264.26
105,407.00,2440.21
106,408.00,2481.29
107,409.00,2471.22
108,410.00,2545.82
109,411.00,2579.21
110,412.00,2613.46
111,413.00,2702.42
112,414.00,2824.67
113,415.00,2995.08
114,416.00,3214.84
115,417.00,3612.12
116,418.00,3992.28
117,419.00,4435.28
118,420.00,4893.40
119,421.00,5443.10
120,422.00,5888.48
121,423.00,6449.29
122,424.00,6965.63
123,425.00,7631.76
124,426.00,8300.53
125,427.00,9114.70
126,428.00,10087.27
127,429.00,11305.70
128,430.00,12871.64
129,431.00,15043.00
130,432.00,17657.47
131,433.00,21389.14
132,434.00,25887.32
133,435.00,31535.45
134,436.00,38055.59
135,437.00,44331.96
136,438.00,50023.42
137,439.00,53463.56
138,440.00,53709.05
139,441.00,51688.48
140,442.00,45739.00
141,443.00,39320.40
142,444.00,32257.47
143,445.00,25697.53
144,446.00,20475.64
145,447.00,16347.86
146,448.00,13292.10
147,449.00,11244.36
148,450.00,9678.93
149,451.00,8614.39
150,452.00,7847.33
151,453.00,7175.91
152,454.00,6614.82
153,455.00,6080.42
154,456.00,5648.01
155,457.00,5147.21
156,458.00,4657.09
157,459.00,4244.38
158,460.00,3857.80
159,461.00,3503.23
160,462.00,3126.20
161,463.00,2882.57
162,464.00,2644.63
163,465.00,2485.88
164,466.00,2294.89
165,467.00,2199.79
166,468.00,2156.20
167,469.00,2117.84
168,470.00,2044.62
169,471.00,1995.11
170,472.00,1924.35
171,473.00,1870.07
172,474.00,1838.48
173,475.00,1731.82
174,476.00,1686.42
175,477.00,1605.18
176,478.00,1664.72
177,479.00,1614.84
178,480.00,1561.20
179,481.00,1520.74
180,482.00,1562.84
181,483.00,1549.97
182,484.00,1650.03
183,485.00,1748.62
184,486.00,1880.03
185,487.00,2037.81
186,488.00,2194.18
187,489.00,2448.38
188,490.00,2729.04
189,491.00,3006.51
190,492.00,3365.30
191,493.00,3729.09
192,494.00,4092.98
193,495.00,4456.42
194,496.00,4839.99
195,497.00,5257.62
196,498.00,5620.51
197,499.00,5898.71
198,500.00,6051.85
199,501.00,6171.59
200,502.00,6276.91
201,503.00,6130.13
202,504.00,6029.58
203,505.00,5670.83
204,506.00,5395.90
205,507.00,5018.13
206,508.00,4732.67
207,509.00,4387.23
208,510.00,4178.26
209,511.00,3910.52
210,512.00,3799.08
211,513.00,3621.76
212,514.00,3544.64
213,515.00,3440.31
214,516.00,3354.22
215,517.00,3285.91
216,518.00,3297.31
217,519.00,3245.19
218,520.00,3223.83
219,521.00,3180.58
220,522.00,3184.49
221,523.00,3178.81
222,524.00,3201.43
223,525.00,3211.50
224,526.00,3213.92
225,527.00,3306.17
226,528.00,3377.98
227,529.00,3532.43
228,530.00,3734.80
229,531.00,4014.58
230,532.00,4359.45
231,533.00,4803.30
232,534.00,5325.30
233,535.00,5925.19
234,536.00,6533.88
235,537.00,7144.03
236,538.00,7695.01
237,539.00,8218.22
238,540.00,8574.94
239,541.00,8775.11
240,542.00,8741.04
241,543.00,8476.42
242,544.00,7971.25
243,545.00,7266.89
244,546.00,6476.50
245,547.00,5625.52
246,548.00,4810.29
247,549.00,4091.82
248,550.00,3472.06
249,551.00,2970.48
250,552.00,2550.44
251,553.00,2242.85
252,554.00,1976.46
253,555.00,1776.23
254,556.00,1597.04
255,557.00,1455.35
256,558.00,1347.90
257,559.00,1262.43
258,560.00,1159.51
259,561.00,1101.71
260,562.00,976.37
261,563.00,902.81
262,564.00,776.60
263,565.00,693.04
264,566.00,601.20
265,567.00,527.32
266,568.00,434.21
267,569.00,360.28
268,570.00,322.27
269,571.00,260.22
270,572.00,241.08
271,573.00,197.35
272,574.00,181.98
273,575.00,163.23
274,576.00,140.20
275,577.00,118.96
276,578.00,100.27
277,579.00,94.50
278,580.00,82.96
279,581.00,69.76
280,582.00,77.05
281,583.00,76.08
282,584.00,79.76
283,585.00,75.60
284,586.00,84.70
285,587.00,83.83
286,588.00,80.39
287,589.00,78.42
288,590.00,76.03
289,591.00,80.59
290,592.00,77.67
291,593.00,76.28
292,594.00,75.50
293,595.00,79.97
294,596.00,79.14
295,597.00,85.09
296,598.00,87.43
297,599.00,95.85
298,600.00,103.61
299,601.00,115.03
300,602.00,118.30
301,603.00,121.51
302,604.00,127.54
303,605.00,139.22
304,606.00,135.97
305,607.00,152.86
306,608.00,169.12
307,609.00,195.66
308,610.00,197.49
309,611.00,228.81
310,612.00,238.21
311,613.00,255.85
312,614.00,262.13
313,615.00,279.93
314,616.00,296.55
315,617.00,301.57
316,618.00,300.07
317,619.00,300.50
318,620.00,313.44
319,621.00,309.91
320,622.00,297.78
321,623.00,305.88
322,624.00,324.65
323,625.00,341.75
324,626.00,394.52
325,627.00,453.35
326,628.00,567.60
327,629.00,673.69
328,630.00,755.70
329,631.00,868.58
330,632.00,917.53
331,633.00,939.45
332,634.00,911.63
333,635.00,841.04
334,636.00,741.67
335,637.00,653.97
336,638.00,581.52
337,639.00,490.13
338,640.00,430.73
339,641.00,350.64
340,642.00,304.19
341,643.00,270.96
342,644.00,224.54
343,645.00,207.59
344,646.00,185.21
345,647.00,187.93
346,648.00,183.19
347,649.00,172.91
348,650.00,173.22
349,651.00,160.78
350,652.00,163.30
351,653.00,146.08
352,654.00,150.01
353,655.00,137.35
354,656.00,141.00
355,657.00,141.01
356,658.00,150.48
357,659.00,167.05
358,660.00,174.75
359,661.00,198.50
360,662.00,202.79
361,663.00,212.93
362,664.00,204.73
363,665.00,221.27
364,666.00,222.92
365,667.00,229.31
366,668.00,253.45
367,669.00,245.42
368,670.00,235.76
369,671.00,228.98
370,672.00,196.61
371,673.00,188.87
372,674.00,178.26
373,675.00,159.25
374,676.00,140.95
375,677.00,124.96
376,678.00,115.13
377,679.00,107.80
378,680.00,107.74
379,681.00,105.87
380,682.00,110.58
381,683.00,112.23
382,684.00,111.44
383,685.00,106.16
384,686.00,112.02
385,687.00,109.98
386,688.00,89.88
387,689.00,98.21
388,690.00,99.52
389,691.00,99.65
390,692.00,81.01
391,693.00,83.96
392,694.00,87.22
393,695.00,86.25
394,696.00,75.63
395,697.00,80.80
396,698.00,87.22
397,699.00,89.43
398,700.00,91.29
399,701.00,88.49
400,702.00,95.01
401,703.00,90.89
402,704.00,90.40
403,705.00,90.39
404,706.00,91.47
405,707.00,88.31
406,708.00,83.97
407,709.00,82.95
408,710.00,77.91
409,711.00,75.01
410,712.00,74.72
411,713.00,78.50
412,714.00,71.30
413,715.00,79.17
414,716.00,77.76
415,717.00,84.23
416,718.00,80.21
417,719.00,85.99
418,720.00,84.10
419,721.00,92.52
420,722.00,83.04
421,723.00,86.00
422,724.00,81.49
423,725.00,87.96
424,726.00,81.83
425,727.00,87.45
426,728.00,83.33
427,729.00,89.53
428,730.00,93.69
429,731.00,101.09
430,732.00,94.19
431,733.00,103.92
432,734.00,106.57
433,735.00,108.46
434,736.00,104.72
435,737.00,107.35
436,738.00,104.80
437,739.00,106.50
438,740.00,110.01
439,741.00,122.75
440,742.00,133.89
441,743.00,152.91
442,744.00,181.02
443,745.00,197.31
444,746.00,248.50
445,747.00,265.31
446,748.00,304.14
447,749.00,315.92
448,750.00,346.31
449,751.00,355.05
450,752.00,372.40
451,753.00,381.97
452,754.00,398.76
453,755.00,424.54
454,756.00,423.78
455,757.00,465.95
456,758.00,501.46
457,759.00,541.31
458,760.00,610.74
459,761.00,657.22
460,762.00,750.01
461,763.00,801.60
462,764.00,862.18
463,765.00,944.45
464,766.00,1018.30
465,767.00,1079.47
466,768.00,1136.46
467,769.00,1235.11
468,770.00,1319.69
469,771.00,1423.84
470,772.00,1515.29
471,773.00,1628.58
472,774.00,1749.08
473,775.00,1854.93
474,776.00,1985.59
475,777.00,2164.40
476,778.00,2320.07
477,779.00,2527.95
478,780.00,2756.24
479,781.00,3032.66
480,782.00,3279.55
481,783.00,3605.41
482,784.00,3901.86
483,785.00,4216.05
484,786.00,4547.48
485,787.00,4909.10
486,788.00,5312.34
487,789.00,5712.39
488,790.00,6208.72
489,791.00,6761.33
490,792.00,7301.19
491,793.00,7921.58
492,794.00,8587.44
493,795.00,9227.78
494,796.00,9837.28
495,797.00,10355.17
496,798.00,10782.24
497,799.00,11044.38
498,800.00,11137.92
499,801.00,10996.66
500,802.00,10802.62
501,803.00,10408.79
502,804.00,10022.74
503,805.00,9720.43
504,806.00,9329.33
505,807.00,8925.33
506,808.00,8971.49
507,809.00,8806.83
508,810.00,8599.97
509,811.00,8554.58
510,812.00,8685.31
511,813.00,8780.90
512,814.00,8829.29
513,815.00,9046.36
514,816.00,9287.55
515,817.00,9507.42
516,818.00,9779.55
517,819.00,10027.70
518,820.00,10466.25
519,821.00,10940.54
520,822.00,11484.08
521,823.00,12467.04
522,824.00,13538.41
523,825.00,15034.82
524,826.00,16432.70
525,827.00,18360.30
526,828.00,20591.21
527,829.00,22678.20
528,830.00,24990.84
529,831.00,27285.94
530,832.00,29787.54
531,833.00,32054.98
532,834.00,34465.70
533,835.00,36781.39
534,836.00,39107.87
535,837.00,41217.35
536,838.00,43226.00
537,839.00,44697.21
538,840.00,45824.26
539,841.00,46214.03
540,842.00,45695.30
541,843.00,44383.01
542,844.00,42383.24
543,845.00,39633.23
544,846.00,36543.45
545,847.00,33257.50
546,848.00,29986.57
547,849.00,26827.93
548,850.00,23748.21
549,851.00,20963.15
550,852.00,18369.52
551,853.00,16184.46
552,854.00,14009.63
553,855.00,12363.47
554,856.00,10894.76
555,857.00,9731.51
556,858.00,8828.86
557,859.00,8018.77
558,860.00,7476.56
559,861.00,6902.87
560,862.00,6573.73
561,863.00,6183.78
562,864.00,5960.08
563,865.00,5666.12
564,866.00,5441.61
565,867.00,5248.49
566,868.00,5101.14
567,869.00,5040.22
568,870.00,4914.15
569,871.00,4897.25
570,872.00,4849.87
571,873.00,4910.37
572,874.00,4917.09
573,875.00,5022.68
574,876.00,5081.71
575,877.00,5276.05
576,878.00,5445.91
577,879.00,5653.19
578,880.00,5860.74
579,881.00,6054.47
580,882.00,6226.75
581,883.00,6336.24
582,884.00,6440.61
583,885.00,6406.14
584,886.00,6353.39
585,887.00,6201.10
586,888.00,6070.62
587,889.00,5944.72
588,890.00,5802.81
589,891.00,5703.03
590,892.00,5628.13
591,893.00,5585.75
592,894.00,5594.31
593,895.00,5633.24
594,896.00,5660.43
595,897.00,5746.07
596,898.00,5836.18
597,899.00,5954.88
598,900.00,6096.41
599,901.00,6255.61
600,902.00,6370.49
601,903.00,6536.25
602,904.00,6598.45
603,905.00,6748.08
604,906.00,6855.06
605,907.00,7004.43
606,908.00,7101.61
607,909.00,7272.97
608,910.00,7392.84
609,911.00,7556.49
610,912.00,7732.76
611,913.00,7862.91
612,914.00,8011.01
613,915.00,8071.18
614,916.00,8135.20
615,917.00,8069.43
616,918.00,7990.36
617,919.00,7768.47
618,920.00,7523.38
619,921.00,7188.31
620,922.00,6845.28
621,923.00,6506.60
622,924.00,6171.71
623,925.00,5862.29
624,926.00,5607.97
625,927.00,5401.77
626,928.00,5242.17
627,929.00,5120.91
628,930.00,5085.34
629,931.00,4998.40
630,932.00,4951.65
631,933.00,4841.38
632,934.00,4690.79
633,935.00,4480.31
634,936.00,4225.39
635,937.00,3920.09
636,938.00,3604.81
637,939.00,3289.59
638,940.00,3016.87
639,941.00,2759.86
640,942.00,2553.94
641,943.00,2405.09
642,944.00,2272.04
643,945.00,2164.24
644,946.00,2067.34
645,947.00,1955.21
646,948.00,1809.30
647,949.00,1638.87
648,950.00,1448.84
649,951.00,1247.97
650,952.00,1050.89
651,953.00,863.50
652,954.00,693.64
653,955.00,546.40
654,956.00,440.70
655,957.00,357.77
656,958.00,309.15
657,959.00,266.17
658,960.00,245.29
659,961.00,217.10
660,962.00,179.52
661,963.00,160.76
662,964.00,128.87
663,965.00,102.79
664,966.00,78.77
665,967.00,60.27
666,968.00,49.20
667,969.00,43.19
668,970.00,37.44
669,971.00,32.81
670,972.00,31.62
671,973.00,32.29
672,974.00,26.44
673,975.00,27.24
674,976.00,29.04
675,977.00,42.84
676,978.00,35.02
677,979.00,40.72
678,980.00,32.19
679,981.00,47.21
680,982.00,35.72
681,983.00,49.63
682,984.00,42.13
