ENLIGHTEN Version,4.1.44
Measurement ID,20260406-115923-368607-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_59_23 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:59:19.449777
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,5.5
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,12647.21
1,303.00,13724.03
2,304.00,14928.81
3,305.00,16263.95
4,306.00,17468.91
5,307.00,18303.21
6,308.00,18583.56
7,309.00,18175.27
8,310.00,17237.25
9,311.00,15672.60
10,312.00,13976.67
11,313.00,12114.02
12,314.00,10579.38
13,315.00,9083.97
14,316.00,7934.17
15,317.00,6979.00
16,318.00,6294.04
17,319.00,5730.57
18,320.00,5254.15
19,321.00,4846.70
20,322.00,4394.38
21,323.00,3999.52
22,324.00,3560.00
23,325.00,3078.61
24,326.00,2711.32
25,327.00,2314.34
26,328.00,2043.68
27,329.00,1737.01
28,330.00,1557.01
29,331.00,1325.54
30,332.00,1168.79
31,333.00,947.10
32,334.00,686.52
33,335.00,495.05
34,336.00,322.90
35,337.00,199.87
36,338.00,127.30
37,339.00,82.50
38,340.00,48.64
39,341.00,30.54
40,342.00,25.44
41,343.00,21.28
42,344.00,22.13
43,345.00,21.22
44,346.00,31.23
45,347.00,22.32
46,348.00,48.33
47,349.00,59.84
48,350.00,100.39
49,351.00,126.41
50,352.00,189.82
51,353.00,287.85
52,354.00,401.43
53,355.00,583.77
54,356.00,787.12
55,357.00,984.99
56,358.00,1221.79
57,359.00,1305.35
58,360.00,1402.12
59,361.00,1251.61
60,362.00,1162.73
61,363.00,1004.47
62,364.00,971.77
63,365.00,803.19
64,366.00,705.63
65,367.00,608.20
66,368.00,567.14
67,369.00,522.63
68,370.00,486.77
69,371.00,485.00
70,372.00,501.91
71,373.00,534.37
72,374.00,608.59
73,375.00,674.86
74,376.00,770.92
75,377.00,889.55
76,378.00,1057.28
77,379.00,1260.39
78,380.00,1512.98
79,381.00,1754.81
80,382.00,1976.80
81,383.00,2256.85
82,384.00,2527.07
83,385.00,2843.48
84,386.00,3210.21
85,387.00,3612.30
86,388.00,4092.69
87,389.00,4673.87
88,390.00,5390.31
89,391.00,6137.24
90,392.00,6972.33
91,393.00,7646.46
92,394.00,8236.13
93,395.00,8536.30
94,396.00,8554.49
95,397.00,8316.43
96,398.00,7771.13
97,399.00,7204.44
98,400.00,6513.53
99,401.00,5922.32
100,402.00,5408.56
101,403.00,4998.38
102,404.00,4617.90
103,405.00,4372.12
104,406.00,4133.40
105,407.00,3975.69
106,408.00,3757.49
107,409.00,3574.34
108,410.00,3338.55
109,411.00,3106.85
110,412.00,2848.74
111,413.00,2570.30
112,414.00,2344.33
113,415.00,2114.50
114,416.00,1893.21
115,417.00,1679.89
116,418.00,1529.49
117,419.00,1389.99
118,420.00,1262.71
119,421.00,1120.85
120,422.00,1012.12
121,423.00,896.21
122,424.00,777.60
123,425.00,685.93
124,426.00,583.73
125,427.00,505.61
126,428.00,445.02
127,429.00,399.26
128,430.00,364.65
129,431.00,340.17
130,432.00,338.32
131,433.00,318.19
132,434.00,314.97
133,435.00,306.84
134,436.00,294.07
135,437.00,268.23
136,438.00,295.50
137,439.00,285.31
138,440.00,295.67
139,441.00,314.72
140,442.00,351.20
141,443.00,397.08
142,444.00,446.97
143,445.00,533.73
144,446.00,658.68
145,447.00,816.62
146,448.00,967.14
147,449.00,1183.62
148,450.00,1370.57
149,451.00,1520.13
150,452.00,1615.77
151,453.00,1607.16
152,454.00,1560.32
153,455.00,1376.19
154,456.00,1220.26
155,457.00,1051.13
156,458.00,958.53
157,459.00,824.41
158,460.00,738.53
159,461.00,697.81
160,462.00,665.99
161,463.00,660.11
162,464.00,641.78
163,465.00,665.76
164,466.00,662.56
165,467.00,698.04
166,468.00,682.49
167,469.00,706.93
168,470.00,711.87
169,471.00,735.10
170,472.00,718.72
171,473.00,750.69
172,474.00,767.94
173,475.00,796.43
174,476.00,802.12
175,477.00,865.31
176,478.00,907.18
177,479.00,948.33
178,480.00,978.33
179,481.00,1018.55
180,482.00,1063.96
181,483.00,1093.06
182,484.00,1115.27
183,485.00,1152.67
184,486.00,1161.22
185,487.00,1202.43
186,488.00,1223.17
187,489.00,1272.35
188,490.00,1313.47
189,491.00,1367.91
190,492.00,1397.78
191,493.00,1451.98
192,494.00,1516.12
193,495.00,1603.81
194,496.00,1696.12
195,497.00,1793.36
196,498.00,1898.74
197,499.00,2038.06
198,500.00,2154.96
199,501.00,2276.65
200,502.00,2343.48
201,503.00,2448.38
202,504.00,2469.42
203,505.00,2480.89
204,506.00,2404.29
205,507.00,2334.68
206,508.00,2190.58
207,509.00,2040.53
208,510.00,1859.31
209,511.00,1692.02
210,512.00,1508.58
211,513.00,1350.42
212,514.00,1217.96
213,515.00,1094.80
214,516.00,987.95
215,517.00,906.07
216,518.00,831.81
217,519.00,771.14
218,520.00,675.18
219,521.00,617.66
220,522.00,571.98
221,523.00,509.89
222,524.00,472.43
223,525.00,426.14
224,526.00,407.89
225,527.00,367.61
226,528.00,350.63
227,529.00,313.72
228,530.00,302.80
229,531.00,261.95
230,532.00,251.38
231,533.00,225.49
232,534.00,205.70
233,535.00,190.43
234,536.00,170.09
235,537.00,166.67
236,538.00,152.50
237,539.00,157.37
238,540.00,158.47
239,541.00,156.49
240,542.00,150.01
241,543.00,148.12
242,544.00,133.84
243,545.00,122.39
244,546.00,113.37
245,547.00,112.58
246,548.00,106.44
247,549.00,108.41
248,550.00,98.08
249,551.00,95.31
250,552.00,98.53
251,553.00,90.52
252,554.00,81.71
253,555.00,84.53
254,556.00,78.01
255,557.00,79.53
256,558.00,75.43
257,559.00,75.42
258,560.00,79.35
259,561.00,88.51
260,562.00,89.35
261,563.00,87.26
262,564.00,85.80
263,565.00,88.68
264,566.00,81.63
265,567.00,82.79
266,568.00,80.93
267,569.00,74.13
268,570.00,73.91
269,571.00,74.28
270,572.00,87.28
271,573.00,83.72
272,574.00,86.19
273,575.00,84.07
274,576.00,83.50
275,577.00,81.18
276,578.00,81.27
277,579.00,78.77
278,580.00,78.48
279,581.00,74.09
280,582.00,74.73
281,583.00,68.22
282,584.00,72.00
283,585.00,62.77
284,586.00,68.53
285,587.00,65.94
286,588.00,70.62
287,589.00,67.59
288,590.00,74.08
289,591.00,74.59
290,592.00,75.69
291,593.00,71.73
292,594.00,71.04
293,595.00,73.59
294,596.00,67.69
295,597.00,66.56
296,598.00,64.84
297,599.00,60.08
298,600.00,64.46
299,601.00,58.78
300,602.00,69.11
301,603.00,62.18
302,604.00,79.51
303,605.00,75.46
304,606.00,78.30
305,607.00,77.23
306,608.00,84.32
307,609.00,76.47
308,610.00,78.32
309,611.00,78.62
310,612.00,76.70
311,613.00,72.98
312,614.00,74.24
313,615.00,71.89
314,616.00,77.31
315,617.00,76.37
316,618.00,80.92
317,619.00,78.85
318,620.00,83.04
319,621.00,79.11
320,622.00,82.46
321,623.00,80.41
322,624.00,77.07
323,625.00,78.71
324,626.00,76.43
