ENLIGHTEN Version,4.1.44
Measurement ID,20260406-113337-374492-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_33_37 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:33:34.308309
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,12.8
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,3794.13
1,303.00,3366.94
2,304.00,2774.06
3,305.00,2113.57
4,306.00,1502.85
5,307.00,1021.90
6,308.00,676.46
7,309.00,463.21
8,310.00,334.11
9,311.00,258.75
10,312.00,202.72
11,313.00,185.07
12,314.00,185.12
13,315.00,193.26
14,316.00,232.02
15,317.00,254.87
16,318.00,272.67
17,319.00,256.39
18,320.00,230.40
19,321.00,187.55
20,322.00,120.51
21,323.00,86.28
22,324.00,47.30
23,325.00,32.15
24,326.00,18.34
25,327.00,19.88
26,328.00,13.99
27,329.00,11.74
28,330.00,11.59
29,331.00,8.22
30,332.00,15.88
31,333.00,14.83
32,334.00,26.92
33,335.00,23.93
34,336.00,45.71
35,337.00,56.93
36,338.00,69.24
37,339.00,95.97
38,340.00,122.52
39,341.00,162.51
40,342.00,178.83
41,343.00,226.25
42,344.00,256.05
43,345.00,321.96
44,346.00,355.01
45,347.00,423.11
46,348.00,490.40
47,349.00,568.00
48,350.00,621.74
49,351.00,700.80
50,352.00,750.11
51,353.00,814.14
52,354.00,851.36
53,355.00,918.17
54,356.00,957.98
55,357.00,1020.30
56,358.00,1095.10
57,359.00,1192.83
58,360.00,1286.88
59,361.00,1429.77
60,362.00,1569.71
61,363.00,1733.55
62,364.00,1888.88
63,365.00,2080.59
64,366.00,2249.32
65,367.00,2472.73
66,368.00,2646.49
67,369.00,2890.75
68,370.00,3135.80
69,371.00,3424.79
70,372.00,3772.98
71,373.00,4189.21
72,374.00,4722.84
73,375.00,5356.82
74,376.00,6129.15
75,377.00,7043.34
76,378.00,8170.78
77,379.00,9297.65
78,380.00,10504.63
79,381.00,11536.20
80,382.00,12435.42
81,383.00,12984.77
82,384.00,13001.76
83,385.00,12808.44
84,386.00,11995.37
85,387.00,11050.59
86,388.00,9850.45
87,389.00,8585.42
88,390.00,7348.85
89,391.00,6186.92
90,392.00,5163.06
91,393.00,4330.64
92,394.00,3580.17
93,395.00,2967.86
94,396.00,2495.48
95,397.00,2061.98
96,398.00,1736.13
97,399.00,1469.52
98,400.00,1253.89
99,401.00,1080.50
100,402.00,899.29
101,403.00,766.73
102,404.00,643.88
103,405.00,550.24
104,406.00,441.07
105,407.00,384.18
106,408.00,306.03
107,409.00,270.40
108,410.00,231.42
109,411.00,202.34
110,412.00,165.39
111,413.00,146.67
112,414.00,130.08
113,415.00,113.24
114,416.00,100.48
115,417.00,95.52
116,418.00,86.82
117,419.00,80.52
118,420.00,83.37
119,421.00,78.78
120,422.00,81.66
121,423.00,76.10
122,424.00,86.66
123,425.00,80.51
124,426.00,82.62
125,427.00,82.30
126,428.00,83.71
127,429.00,84.62
128,430.00,96.16
129,431.00,92.81
130,432.00,123.01
131,433.00,132.00
132,434.00,151.98
133,435.00,148.50
134,436.00,154.88
135,437.00,143.89
136,438.00,146.24
137,439.00,127.51
138,440.00,136.42
139,441.00,139.53
140,442.00,139.27
141,443.00,144.38
142,444.00,173.88
143,445.00,183.26
144,446.00,203.07
145,447.00,197.28
146,448.00,221.22
147,449.00,230.38
148,450.00,234.47
149,451.00,222.31
150,452.00,209.55
151,453.00,185.41
152,454.00,176.68
153,455.00,152.41
154,456.00,154.76
155,457.00,130.90
156,458.00,141.48
157,459.00,119.37
158,460.00,124.38
159,461.00,115.28
160,462.00,128.55
161,463.00,121.07
162,464.00,139.40
