ENLIGHTEN Version,4.1.44
Measurement ID,20260406-114736-302211-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_47_36 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:47:19.735861
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,27.3
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,524.63
1,303.00,481.48
2,304.00,393.02
3,305.00,339.82
4,306.00,269.30
5,307.00,224.44
6,308.00,181.95
7,309.00,150.99
8,310.00,138.96
9,311.00,120.75
10,312.00,127.21
11,313.00,105.98
12,314.00,114.75
13,315.00,106.54
14,316.00,98.70
15,317.00,102.72
16,318.00,100.22
17,319.00,101.43
18,320.00,95.66
19,321.00,104.37
20,322.00,105.34
21,323.00,99.53
22,324.00,104.43
23,325.00,104.07
24,326.00,108.67
25,327.00,96.52
26,328.00,99.20
27,329.00,97.61
28,330.00,106.10
29,331.00,99.84
30,332.00,92.69
31,333.00,101.62
32,334.00,102.29
33,335.00,104.74
34,336.00,126.75
35,337.00,140.47
36,338.00,136.20
37,339.00,154.98
38,340.00,154.81
39,341.00,178.45
40,342.00,175.27
41,343.00,177.26
42,344.00,152.20
43,345.00,159.04
44,346.00,143.83
45,347.00,155.56
46,348.00,154.97
47,349.00,169.97
48,350.00,176.16
49,351.00,202.00
50,352.00,289.25
51,353.00,311.04
52,354.00,308.43
53,355.00,293.11
54,356.00,260.31
55,357.00,261.95
56,358.00,270.43
57,359.00,282.34
58,360.00,307.54
59,361.00,334.17
60,362.00,360.68
61,363.00,419.83
62,364.00,467.45
63,365.00,511.93
64,366.00,541.56
65,367.00,564.35
66,368.00,464.67
67,369.00,439.98
68,370.00,436.93
69,371.00,447.47
70,372.00,438.57
71,373.00,465.19
72,374.00,516.58
73,375.00,562.83
74,376.00,651.72
75,377.00,738.76
76,378.00,788.31
77,379.00,863.24
78,380.00,873.99
79,381.00,855.44
80,382.00,842.54
81,383.00,748.46
82,384.00,620.41
83,385.00,554.53
84,386.00,492.52
