ENLIGHTEN Version,4.1.44
Measurement ID,20260406-113610-939096-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_36_10 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:36:05.443101
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,12.3
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,39.98
1,303.00,32.36
2,304.00,36.49
3,305.00,24.65
4,306.00,29.33
5,307.00,19.78
6,308.00,22.34
7,309.00,15.66
8,310.00,17.41
9,311.00,16.32
10,312.00,22.18
11,313.00,18.74
12,314.00,22.65
13,315.00,20.44
14,316.00,29.84
15,317.00,28.25
16,318.00,28.38
17,319.00,23.64
18,320.00,23.94
19,321.00,17.61
20,322.00,21.25
21,323.00,16.55
22,324.00,18.25
23,325.00,12.31
24,326.00,17.32
25,327.00,13.83
26,328.00,20.08
27,329.00,16.99
28,330.00,19.93
29,331.00,13.94
30,332.00,21.44
31,333.00,20.13
32,334.00,21.81
33,335.00,20.21
34,336.00,26.63
35,337.00,20.70
36,338.00,32.05
37,339.00,27.69
38,340.00,31.97
39,341.00,20.57
40,342.00,31.40
41,343.00,27.88
42,344.00,27.96
43,345.00,27.25
44,346.00,27.01
45,347.00,20.67
46,348.00,28.77
47,349.00,23.56
48,350.00,30.92
49,351.00,30.24
50,352.00,43.89
51,353.00,40.73
52,354.00,60.73
53,355.00,59.40
54,356.00,85.35
55,357.00,85.14
56,358.00,80.09
57,359.00,80.69
58,360.00,85.06
59,361.00,79.27
60,362.00,68.63
61,363.00,60.22
62,364.00,70.02
63,365.00,69.99
64,366.00,73.47
65,367.00,81.30
66,368.00,144.06
67,369.00,171.75
68,370.00,204.50
69,371.00,261.57
70,372.00,272.88
71,373.00,316.54
72,374.00,305.83
73,375.00,320.55
74,376.00,315.95
75,377.00,336.42
76,378.00,326.09
77,379.00,337.94
78,380.00,376.43
79,381.00,381.63
80,382.00,418.68
81,383.00,416.81
82,384.00,486.22
83,385.00,466.57
84,386.00,508.90
85,387.00,493.80
86,388.00,498.32
87,389.00,470.12
88,390.00,495.20
89,391.00,489.78
90,392.00,488.13
91,393.00,497.62
92,394.00,516.16
93,395.00,553.23
94,396.00,569.74
95,397.00,596.26
96,398.00,614.34
97,399.00,621.15
98,400.00,641.43
99,401.00,618.11
100,402.00,621.95
101,403.00,607.81
102,404.00,573.56
103,405.00,567.90
104,406.00,569.73
105,407.00,580.11
106,408.00,574.65
107,409.00,608.19
108,410.00,629.37
109,411.00,682.92
110,412.00,701.20
111,413.00,754.17
112,414.00,769.59
113,415.00,790.84
114,416.00,749.03
115,417.00,742.68
116,418.00,720.85
117,419.00,710.41
118,420.00,677.95
119,421.00,684.47
120,422.00,685.60
121,423.00,694.98
122,424.00,688.69
123,425.00,714.53
124,426.00,713.99
125,427.00,732.88
126,428.00,750.81
127,429.00,770.06
128,430.00,798.11
129,431.00,811.50
130,432.00,885.85
131,433.00,912.88
132,434.00,946.35
133,435.00,962.84
134,436.00,955.90
135,437.00,976.26
136,438.00,1005.34
137,439.00,1000.87
138,440.00,996.47
139,441.00,992.37
140,442.00,974.37
141,443.00,963.95
142,444.00,968.89
143,445.00,965.37
144,446.00,989.11
145,447.00,1007.10
146,448.00,1058.21
147,449.00,1098.87
148,450.00,1125.72
149,451.00,1152.24
150,452.00,1135.46
151,453.00,1154.04
152,454.00,1172.27
153,455.00,1180.47
154,456.00,1215.60
155,457.00,1235.47
156,458.00,1266.08
157,459.00,1287.14
158,460.00,1308.97
159,461.00,1325.59
160,462.00,1350.57
161,463.00,1380.91
162,464.00,1413.99
163,465.00,1429.90
164,466.00,1453.97
165,467.00,1456.38
166,468.00,1444.50
167,469.00,1410.06
168,470.00,1381.36
169,471.00,1342.27
170,472.00,1300.10
171,473.00,1233.77
172,474.00,1182.98
173,475.00,1135.06
174,476.00,1079.18
175,477.00,1045.58
176,478.00,1007.09
177,479.00,1004.11
178,480.00,1006.39
179,481.00,1030.73
180,482.00,1042.15
181,483.00,1077.27
182,484.00,1088.30
183,485.00,1121.89
184,486.00,1125.61
185,487.00,1146.75
186,488.00,1115.20
187,489.00,1105.80
188,490.00,1079.41
189,491.00,1045.43
190,492.00,1007.62
191,493.00,993.76
192,494.00,962.31
193,495.00,933.57
194,496.00,900.51
195,497.00,883.21
196,498.00,858.68
197,499.00,828.62
198,500.00,795.66
199,501.00,773.71
200,502.00,730.17
201,503.00,697.77
202,504.00,641.93
203,505.00,610.14
204,506.00,572.92
205,507.00,546.19
206,508.00,479.81
207,509.00,446.95
208,510.00,424.68
209,511.00,390.61
210,512.00,373.79
211,513.00,341.60
212,514.00,352.41
213,515.00,323.04
214,516.00,329.10
215,517.00,309.12
216,518.00,312.76
217,519.00,291.82
218,520.00,279.46
219,521.00,274.55
220,522.00,272.60
221,523.00,267.23
222,524.00,268.75
223,525.00,275.36
224,526.00,276.21
225,527.00,279.35
226,528.00,280.02
227,529.00,274.37
228,530.00,269.09
229,531.00,244.25
230,532.00,229.50
