ENLIGHTEN Version,4.1.44
Measurement ID,20260406-113637-450975-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_36_37 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:36:35.740727
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,43.93
1,303.00,46.27
2,304.00,46.93
3,305.00,47.83
4,306.00,53.06
5,307.00,54.30
6,308.00,58.32
7,309.00,63.16
8,310.00,69.53
9,311.00,72.38
10,312.00,75.70
11,313.00,89.29
12,314.00,81.61
13,315.00,88.24
14,316.00,86.50
15,317.00,98.66
16,318.00,88.24
17,319.00,93.45
18,320.00,92.69
19,321.00,94.76
20,322.00,86.82
21,323.00,87.47
22,324.00,78.39
23,325.00,74.74
24,326.00,76.32
25,327.00,73.82
26,328.00,68.23
27,329.00,71.00
28,330.00,69.41
29,331.00,70.21
30,332.00,69.08
31,333.00,72.59
32,334.00,69.13
33,335.00,69.20
34,336.00,69.70
35,337.00,65.24
36,338.00,62.86
37,339.00,57.84
38,340.00,54.77
39,341.00,48.38
40,342.00,48.41
41,343.00,45.47
42,344.00,41.30
43,345.00,41.49
44,346.00,43.00
45,347.00,39.13
46,348.00,40.13
47,349.00,41.57
48,350.00,43.26
49,351.00,42.70
50,352.00,46.53
51,353.00,42.33
52,354.00,41.99
53,355.00,40.16
54,356.00,39.94
55,357.00,37.27
56,358.00,37.12
57,359.00,37.94
58,360.00,37.22
59,361.00,40.58
60,362.00,41.31
61,363.00,40.49
62,364.00,41.27
63,365.00,41.83
64,366.00,41.33
65,367.00,41.52
66,368.00,56.05
67,369.00,57.53
68,370.00,52.65
69,371.00,50.57
70,372.00,50.21
