ENLIGHTEN Version,4.1.44
Measurement ID,20260406-113709-491195-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_37_09 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:37:07.945723
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,7.5
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,44.94
1,303.00,57.20
2,304.00,58.57
3,305.00,58.40
4,306.00,64.85
5,307.00,78.06
6,308.00,72.78
7,309.00,70.93
8,310.00,66.64
9,311.00,69.17
10,312.00,67.21
11,313.00,67.15
12,314.00,58.01
13,315.00,60.10
14,316.00,73.00
15,317.00,62.82
16,318.00,66.44
17,319.00,67.92
18,320.00,70.49
19,321.00,57.28
20,322.00,60.81
21,323.00,52.48
22,324.00,53.23
23,325.00,40.71
24,326.00,44.62
25,327.00,37.98
26,328.00,45.56
27,329.00,37.58
28,330.00,43.07
29,331.00,37.42
30,332.00,52.03
31,333.00,39.90
32,334.00,47.45
33,335.00,43.66
34,336.00,46.19
35,337.00,31.86
36,338.00,35.59
37,339.00,26.89
38,340.00,25.25
39,341.00,14.66
40,342.00,14.83
41,343.00,13.43
42,344.00,15.80
43,345.00,12.75
44,346.00,13.74
45,347.00,13.69
46,348.00,19.18
47,349.00,13.36
48,350.00,13.76
49,351.00,10.41
50,352.00,14.43
51,353.00,7.16
52,354.00,15.25
53,355.00,15.91
54,356.00,16.19
55,357.00,8.61
56,358.00,18.80
57,359.00,17.25
58,360.00,21.25
59,361.00,15.91
60,362.00,19.67
61,363.00,12.26
62,364.00,19.74
63,365.00,10.27
64,366.00,15.92
65,367.00,12.11
66,368.00,28.41
67,369.00,34.34
68,370.00,44.24
69,371.00,72.36
70,372.00,93.57
71,373.00,103.49
72,374.00,109.84
73,375.00,129.22
74,376.00,111.22
75,377.00,111.22
76,378.00,78.05
77,379.00,64.13
78,380.00,70.80
79,381.00,60.84
80,382.00,60.18
81,383.00,62.20
82,384.00,103.92
83,385.00,108.29
84,386.00,133.56
85,387.00,155.91
86,388.00,163.62
87,389.00,176.92
88,390.00,147.91
89,391.00,171.80
90,392.00,150.67
91,393.00,163.88
92,394.00,135.58
93,395.00,151.10
94,396.00,164.63
95,397.00,169.30
96,398.00,176.31
97,399.00,186.23
98,400.00,214.89
99,401.00,211.12
100,402.00,219.41
101,403.00,235.13
102,404.00,232.91
103,405.00,238.67
104,406.00,243.85
105,407.00,261.63
106,408.00,270.65
107,409.00,286.26
108,410.00,297.92
109,411.00,322.64
110,412.00,348.24
111,413.00,349.25
112,414.00,369.47
113,415.00,373.04
114,416.00,407.25
115,417.00,398.35
116,418.00,408.03
117,419.00,414.94
118,420.00,411.71
119,421.00,414.60
120,422.00,427.02
121,423.00,446.07
122,424.00,440.63
123,425.00,462.41
124,426.00,469.52
125,427.00,515.05
126,428.00,530.10
127,429.00,552.49
128,430.00,556.54
129,431.00,562.76
130,432.00,553.56
131,433.00,542.33
132,434.00,524.55
133,435.00,518.33
134,436.00,500.38
135,437.00,494.87
136,438.00,502.46
137,439.00,509.00
138,440.00,489.99
139,441.00,488.89
140,442.00,494.28
141,443.00,499.78
142,444.00,483.65
143,445.00,485.80
144,446.00,501.44
145,447.00,503.54
146,448.00,540.90
147,449.00,548.16
148,450.00,564.88
149,451.00,566.12
150,452.00,565.23
151,453.00,559.50
152,454.00,554.79
153,455.00,551.13
154,456.00,532.16
155,457.00,522.94
156,458.00,516.00
157,459.00,527.15
158,460.00,513.18
159,461.00,519.56
160,462.00,536.87
161,463.00,549.38
162,464.00,560.79
163,465.00,568.65
164,466.00,580.67
165,467.00,586.48
166,468.00,589.62
167,469.00,589.10
168,470.00,599.11
169,471.00,620.86
170,472.00,615.17
171,473.00,623.48
172,474.00,621.95
173,475.00,639.85
