ENLIGHTEN Version,4.1.44
Measurement ID,20260406-113742-029215-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,11_37_42 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,2000
Timestamp,2026-04-06 11:37:40.192618
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,15.5
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,668.39
1,303.00,729.39
2,304.00,788.85
3,305.00,881.35
4,306.00,1021.71
5,307.00,1148.88
6,308.00,1316.51
7,309.00,1447.94
8,310.00,1595.47
9,311.00,1676.54
10,312.00,1712.09
11,313.00,1671.98
12,314.00,1614.36
13,315.00,1485.81
14,316.00,1339.65
15,317.00,1163.98
16,318.00,1022.55
17,319.00,880.01
18,320.00,762.76
19,321.00,656.50
20,322.00,587.17
21,323.00,532.52
22,324.00,471.68
23,325.00,446.62
24,326.00,411.14
25,327.00,390.10
26,328.00,354.53
27,329.00,324.21
28,330.00,294.93
29,331.00,264.36
30,332.00,232.84
31,333.00,214.20
32,334.00,201.99
33,335.00,172.10
34,336.00,159.90
35,337.00,150.65
36,338.00,143.25
37,339.00,130.09
38,340.00,126.98
39,341.00,127.13
40,342.00,104.22
41,343.00,105.30
42,344.00,93.59
43,345.00,94.84
44,346.00,77.04
45,347.00,55.88
46,348.00,52.27
47,349.00,47.68
48,350.00,44.25
49,351.00,44.47
50,352.00,47.72
51,353.00,47.97
52,354.00,58.46
53,355.00,76.35
54,356.00,107.78
55,357.00,133.29
56,358.00,162.27
57,359.00,186.83
58,360.00,242.68
59,361.00,265.49
60,362.00,287.82
61,363.00,316.36
62,364.00,347.83
63,365.00,393.33
64,366.00,440.30
65,367.00,526.27
66,368.00,610.10
67,369.00,728.47
68,370.00,870.76
69,371.00,1040.28
70,372.00,1218.90
71,373.00,1406.82
72,374.00,1620.60
73,375.00,1817.06
74,376.00,1976.95
75,377.00,2156.34
76,378.00,2321.58
77,379.00,2494.34
78,380.00,2635.50
79,381.00,2831.93
80,382.00,3020.37
81,383.00,3264.59
82,384.00,3476.64
83,385.00,3756.62
84,386.00,3976.42
85,387.00,4195.83
86,388.00,4347.95
87,389.00,4459.37
88,390.00,4491.59
89,391.00,4470.37
90,392.00,4400.55
91,393.00,4291.81
92,394.00,4149.29
93,395.00,3995.66
94,396.00,3855.30
95,397.00,3705.16
96,398.00,3584.12
97,399.00,3452.08
98,400.00,3370.44
99,401.00,3259.21
100,402.00,3162.31
101,403.00,3018.42
102,404.00,2915.04
103,405.00,2747.98
104,406.00,2546.12
105,407.00,2325.79
106,408.00,2102.58
107,409.00,1899.89
108,410.00,1673.99
109,411.00,1471.29
110,412.00,1316.78
111,413.00,1153.05
112,414.00,1008.05
113,415.00,876.90
114,416.00,776.17
115,417.00,690.38
116,418.00,605.34
117,419.00,542.62
118,420.00,467.19
119,421.00,419.33
120,422.00,374.00
121,423.00,336.13
122,424.00,300.79
123,425.00,263.56
124,426.00,259.06
125,427.00,197.40
126,428.00,184.66
127,429.00,146.51
128,430.00,141.77
129,431.00,99.72
130,432.00,93.20
131,433.00,72.08
132,434.00,75.75
133,435.00,76.26
134,436.00,83.36
135,437.00,91.95
136,438.00,117.64
137,439.00,137.19
138,440.00,161.79
139,441.00,181.57
140,442.00,220.20
141,443.00,256.69
142,444.00,316.07
143,445.00,356.67
144,446.00,406.32
145,447.00,487.70
146,448.00,634.97
147,449.00,775.56
148,450.00,898.00
149,451.00,1037.96
150,452.00,1154.74
151,453.00,1288.41
152,454.00,1433.34
