ENLIGHTEN Version,4.1.44
Measurement ID,20260406-120252-076688-WP-01990
Serial Number,WP-01990
Model,WP-785XS-F13-A-I
Detector,IMX385
Label,12_02_52 WP-01990
Declared Match,Unknown
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,
Baseline Correction Algo,
ROI Pixel Start,-1
ROI Pixel End,-1
ROI Start Line,370
ROI Stop Line,730
CCD C4,-1.4183285622360042e-12
Slit Width,20
Cropped,True
Interpolated,False
Wavenumber Correction,0.49108069410960475
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB:0x24aa:0x4000:0:5>
FW Version,1.0.53.9
FPGA Version,01.4.31
BLE Version,
Prefix,enlighten
Suffix,
Preset,Good
Auto-Raman,True
Image Format,
Session Count,0
Plugin Name,
Integration Time,913
Timestamp,2026-04-06 12:02:50.334086
Note,
Temperature,0
CCD C0,756.0833740234375
CCD C1,0.1774686872959137
CCD C2,-4.1083956602960825e-05
CCD C3,1.0994865462521375e-08
CCD Offset,40
CCD Gain,0.0
CCD Offset Odd,0
CCD Gain Odd,0.0
Laser Wavelength,784.896
Laser Enable,True
Laser Power %,100.0
Laser Temperature,0
Pixel Count,1952
DalaiRamanID.ID Engine,Pearson
DalaiRamanID.DALAI Enabled,False
DalaiRamanID.DALAI Model,

Pixel,Wavenumber,Processed
0,302.00,313.42
1,303.00,312.13
2,304.00,320.73
3,305.00,304.86
4,306.00,288.65
5,307.00,270.56
6,308.00,264.22
7,309.00,253.23
8,310.00,228.54
9,311.00,223.17
10,312.00,217.32
11,313.00,205.80
12,314.00,195.60
13,315.00,190.05
14,316.00,186.43
15,317.00,184.52
16,318.00,172.86
17,319.00,174.58
18,320.00,173.88
19,321.00,165.40
20,322.00,145.95
21,323.00,141.55
22,324.00,137.67
23,325.00,123.86
24,326.00,118.72
25,327.00,103.93
26,328.00,115.54
27,329.00,92.91
28,330.00,91.85
29,331.00,74.42
30,332.00,79.34
31,333.00,61.77
32,334.00,68.55
33,335.00,54.96
34,336.00,60.50
35,337.00,51.29
36,338.00,50.74
37,339.00,47.70
38,340.00,51.25
39,341.00,40.22
40,342.00,44.88
41,343.00,38.11
42,344.00,44.64
43,345.00,35.65
44,346.00,38.93
45,347.00,37.06
46,348.00,42.82
47,349.00,36.22
48,350.00,41.09
49,351.00,38.03
50,352.00,41.79
51,353.00,36.72
52,354.00,36.82
53,355.00,36.47
54,356.00,35.48
55,357.00,31.40
56,358.00,31.00
57,359.00,28.32
58,360.00,31.15
59,361.00,26.25
60,362.00,27.54
61,363.00,25.44
62,364.00,29.29
63,365.00,26.32
64,366.00,27.31
65,367.00,25.86
66,368.00,29.88
67,369.00,25.52
68,370.00,30.88
69,371.00,28.62
70,372.00,34.46
71,373.00,31.99
72,374.00,31.70
73,375.00,31.40
74,376.00,30.79
75,377.00,26.68
76,378.00,26.21
77,379.00,24.89
78,380.00,27.49
79,381.00,22.18
80,382.00,26.16
81,383.00,24.26
82,384.00,28.80
83,385.00,24.83
84,386.00,29.80
85,387.00,29.80
86,388.00,32.24
87,389.00,28.61
88,390.00,33.28
89,391.00,28.57
90,392.00,30.32
91,393.00,22.44
92,394.00,27.32
93,395.00,20.40
94,396.00,28.26
95,397.00,22.45
96,398.00,29.10
97,399.00,25.59
98,400.00,34.07
99,401.00,32.19
100,402.00,39.69
101,403.00,41.48
102,404.00,44.51
103,405.00,46.86
104,406.00,58.68
105,407.00,55.61
106,408.00,60.42
107,409.00,51.20
108,410.00,64.74
109,411.00,58.75
110,412.00,68.57
111,413.00,61.80
112,414.00,71.94
113,415.00,72.13
114,416.00,71.36
115,417.00,72.10
116,418.00,81.64
117,419.00,76.77
118,420.00,83.31
119,421.00,79.80
120,422.00,84.52
121,423.00,81.05
122,424.00,84.72
123,425.00,83.01
124,426.00,89.39
125,427.00,77.95
126,428.00,85.37
127,429.00,78.76
128,430.00,76.47
129,431.00,67.07
130,432.00,68.44
131,433.00,61.32
132,434.00,65.11
133,435.00,56.91
134,436.00,64.09
135,437.00,57.39
136,438.00,60.10
137,439.00,56.93
138,440.00,61.82
139,441.00,56.26
140,442.00,58.82
141,443.00,52.05
142,444.00,56.22
143,445.00,50.61
144,446.00,53.73
145,447.00,51.60
146,448.00,54.91
147,449.00,50.72
148,450.00,53.90
149,451.00,47.29
150,452.00,54.59
151,453.00,48.00
152,454.00,48.69
153,455.00,44.51
154,456.00,50.48
155,457.00,45.18
156,458.00,47.68
157,459.00,45.72
158,460.00,50.69
159,461.00,46.24
160,462.00,50.68
161,463.00,48.87
162,464.00,49.94
163,465.00,45.66
164,466.00,51.04
165,467.00,44.20
166,468.00,48.50
167,469.00,43.02
